gas_dt,poi_nb,meter_nm,meter_nb,calc_mcf
2000-01-01 00:00:00,500134,TW/CITIZENS UTILITIES FLAGSTAFF,9213,-8275
2000-01-02 00:00:00,500134,TW/CITIZENS UTILITIES FLAGSTAFF,9213,-9324
2000-01-03 00:00:00,500134,TW/CITIZENS UTILITIES FLAGSTAFF,9213,-9525
2000-01-04 00:00:00,500134,TW/CITIZENS UTILITIES FLAGSTAFF,9213,-8752
2000-01-05 00:00:00,500134,TW/CITIZENS UTILITIES FLAGSTAFF,9213,-8662
2000-01-06 00:00:00,500134,TW/CITIZENS UTILITIES FLAGSTAFF,9213,-9439
2000-01-07 00:00:00,500134,TW/CITIZENS UTILITIES FLAGSTAFF,9213,-9225
2000-01-08 00:00:00,500134,TW/CITIZENS UTILITIES FLAGSTAFF,9213,-8770
2000-01-09 00:00:00,500134,TW/CITIZENS UTILITIES FLAGSTAFF,9213,-8306
2000-01-10 00:00:00,500134,TW/CITIZENS UTILITIES FLAGSTAFF,9213,-7965
2000-01-11 00:00:00,500134,TW/CITIZENS UTILITIES FLAGSTAFF,9213,-7455
2000-01-12 00:00:00,500134,TW/CITIZENS UTILITIES FLAGSTAFF,9213,-7365
2000-01-13 00:00:00,500134,TW/CITIZENS UTILITIES FLAGSTAFF,9213,-7355
2000-01-14 00:00:00,500134,TW/CITIZENS UTILITIES FLAGSTAFF,9213,-7235
2000-01-15 00:00:00,500134,TW/CITIZENS UTILITIES FLAGSTAFF,9213,-7203
2000-01-16 00:00:00,500134,TW/CITIZENS UTILITIES FLAGSTAFF,9213,-6675
2000-01-17 00:00:00,500134,TW/CITIZENS UTILITIES FLAGSTAFF,9213,-6610
2000-01-18 00:00:00,500134,TW/CITIZENS UTILITIES FLAGSTAFF,9213,-6631
2000-01-19 00:00:00,500134,TW/CITIZENS UTILITIES FLAGSTAFF,9213,-6776
2000-01-20 00:00:00,500134,TW/CITIZENS UTILITIES FLAGSTAFF,9213,-6696
2000-01-21 00:00:00,500134,TW/CITIZENS UTILITIES FLAGSTAFF,9213,-6776
2000-01-22 00:00:00,500134,TW/CITIZENS UTILITIES FLAGSTAFF,9213,-7350
2000-01-23 00:00:00,500134,TW/CITIZENS UTILITIES FLAGSTAFF,9213,-7257
2000-01-24 00:00:00,500134,TW/CITIZENS UTILITIES FLAGSTAFF,9213,-6604
2000-01-25 00:00:00,500134,TW/CITIZENS UTILITIES FLAGSTAFF,9213,-6990
2000-01-26 00:00:00,500134,TW/CITIZENS UTILITIES FLAGSTAFF,9213,-8043
2000-01-27 00:00:00,500134,TW/CITIZENS UTILITIES FLAGSTAFF,9213,-8300
2000-01-28 00:00:00,500134,TW/CITIZENS UTILITIES FLAGSTAFF,9213,-8712
2000-01-29 00:00:00,500134,TW/CITIZENS UTILITIES FLAGSTAFF,9213,-8647
2000-01-30 00:00:00,500134,TW/CITIZENS UTILITIES FLAGSTAFF,9213,-7834
2000-01-31 00:00:00,500134,TW/CITIZENS UTILITIES FLAGSTAFF,9213,-8221
2000-02-01 00:00:00,500134,TW/CITIZENS UTILITIES FLAGSTAFF,9213,-8120
2000-02-02 00:00:00,500134,TW/CITIZENS UTILITIES FLAGSTAFF,9213,-7641
2000-02-03 00:00:00,500134,TW/CITIZENS UTILITIES FLAGSTAFF,9213,-7544
2000-02-04 00:00:00,500134,TW/CITIZENS UTILITIES FLAGSTAFF,9213,-7610
2000-02-05 00:00:00,500134,TW/CITIZENS UTILITIES FLAGSTAFF,9213,-7405
2000-02-06 00:00:00,500134,TW/CITIZENS UTILITIES FLAGSTAFF,9213,-7472
2000-02-07 00:00:00,500134,TW/CITIZENS UTILITIES FLAGSTAFF,9213,-7316
2000-02-08 00:00:00,500134,TW/CITIZENS UTILITIES FLAGSTAFF,9213,-6856
2000-02-09 00:00:00,500134,TW/CITIZENS UTILITIES FLAGSTAFF,9213,-6644
2000-02-10 00:00:00,500134,TW/CITIZENS UTILITIES FLAGSTAFF,9213,-6873
2000-02-11 00:00:00,500134,TW/CITIZENS UTILITIES FLAGSTAFF,9213,-7084
2000-02-12 00:00:00,500134,TW/CITIZENS UTILITIES FLAGSTAFF,9213,-8240
2000-02-13 00:00:00,500134,TW/CITIZENS UTILITIES FLAGSTAFF,9213,-7694
2000-02-14 00:00:00,500134,TW/CITIZENS UTILITIES FLAGSTAFF,9213,-6885
2000-02-15 00:00:00,500134,TW/CITIZENS UTILITIES FLAGSTAFF,9213,-6992
2000-02-16 00:00:00,500134,TW/CITIZENS UTILITIES FLAGSTAFF,9213,-7438
2000-02-17 00:00:00,500134,TW/CITIZENS UTILITIES FLAGSTAFF,9213,-8822
2000-02-18 00:00:00,500134,TW/CITIZENS UTILITIES FLAGSTAFF,9213,-7834
2000-02-19 00:00:00,500134,TW/CITIZENS UTILITIES FLAGSTAFF,9213,-7459
2000-02-20 00:00:00,500134,TW/CITIZENS UTILITIES FLAGSTAFF,9213,-7199
2000-02-21 00:00:00,500134,TW/CITIZENS UTILITIES FLAGSTAFF,9213,-7655
2000-02-22 00:00:00,500134,TW/CITIZENS UTILITIES FLAGSTAFF,9213,-7944
2000-02-23 00:00:00,500134,TW/CITIZENS UTILITIES FLAGSTAFF,9213,-7712
2000-02-24 00:00:00,500134,TW/CITIZENS UTILITIES FLAGSTAFF,9213,-8886
2000-02-25 00:00:00,500134,TW/CITIZENS UTILITIES FLAGSTAFF,9213,-9020
2000-02-26 00:00:00,500134,TW/CITIZENS UTILITIES FLAGSTAFF,9213,-7955
2000-02-27 00:00:00,500134,TW/CITIZENS UTILITIES FLAGSTAFF,9213,-7047
2000-02-28 00:00:00,500134,TW/CITIZENS UTILITIES FLAGSTAFF,9213,-8358
2000-02-29 00:00:00,500134,TW/CITIZENS UTILITIES FLAGSTAFF,9213,-7277
2000-03-01 00:00:00,500134,TW/CITIZENS UTILITIES FLAGSTAFF,9213,-8443
2000-03-02 00:00:00,500134,TW/CITIZENS UTILITIES FLAGSTAFF,9213,-7638
2000-03-03 00:00:00,500134,TW/CITIZENS UTILITIES FLAGSTAFF,9213,-7109
2000-03-04 00:00:00,500134,TW/CITIZENS UTILITIES FLAGSTAFF,9213,-6603
2000-03-05 00:00:00,500134,TW/CITIZENS UTILITIES FLAGSTAFF,9213,-8065
2000-03-06 00:00:00,500134,TW/CITIZENS UTILITIES FLAGSTAFF,9213,-8405
2000-03-07 00:00:00,500134,TW/CITIZENS UTILITIES FLAGSTAFF,9213,-8288
2000-03-08 00:00:00,500134,TW/CITIZENS UTILITIES FLAGSTAFF,9213,-8094
2000-03-09 00:00:00,500134,TW/CITIZENS UTILITIES FLAGSTAFF,9213,-8142
2000-03-10 00:00:00,500134,TW/CITIZENS UTILITIES FLAGSTAFF,9213,-7852
2000-03-11 00:00:00,500134,TW/CITIZENS UTILITIES FLAGSTAFF,9213,-7468
2000-03-12 00:00:00,500134,TW/CITIZENS UTILITIES FLAGSTAFF,9213,-7040
2000-03-13 00:00:00,500134,TW/CITIZENS UTILITIES FLAGSTAFF,9213,-6743
2000-03-14 00:00:00,500134,TW/CITIZENS UTILITIES FLAGSTAFF,9213,-6478
2000-03-15 00:00:00,500134,TW/CITIZENS UTILITIES FLAGSTAFF,9213,-6625
2000-03-16 00:00:00,500134,TW/CITIZENS UTILITIES FLAGSTAFF,9213,-6938
2000-03-17 00:00:00,500134,TW/CITIZENS UTILITIES FLAGSTAFF,9213,-6631
2000-03-18 00:00:00,500134,TW/CITIZENS UTILITIES FLAGSTAFF,9213,-7135
2000-03-19 00:00:00,500134,TW/CITIZENS UTILITIES FLAGSTAFF,9213,-6450
2000-03-20 00:00:00,500134,TW/CITIZENS UTILITIES FLAGSTAFF,9213,-8502
2000-03-21 00:00:00,500134,TW/CITIZENS UTILITIES FLAGSTAFF,9213,-8708
2000-03-22 00:00:00,500134,TW/CITIZENS UTILITIES FLAGSTAFF,9213,-8136
2000-03-23 00:00:00,500134,TW/CITIZENS UTILITIES FLAGSTAFF,9213,-7146
2000-03-24 00:00:00,500134,TW/CITIZENS UTILITIES FLAGSTAFF,9213,-6793
2000-03-25 00:00:00,500134,TW/CITIZENS UTILITIES FLAGSTAFF,9213,-6510
2000-03-26 00:00:00,500134,TW/CITIZENS UTILITIES FLAGSTAFF,9213,-6183
2000-03-27 00:00:00,500134,TW/CITIZENS UTILITIES FLAGSTAFF,9213,-6163
2000-03-28 00:00:00,500134,TW/CITIZENS UTILITIES FLAGSTAFF,9213,-6925
2000-03-29 00:00:00,500134,TW/CITIZENS UTILITIES FLAGSTAFF,9213,-6662
2000-03-30 00:00:00,500134,TW/CITIZENS UTILITIES FLAGSTAFF,9213,-7745
2000-03-31 00:00:00,500134,TW/CITIZENS UTILITIES FLAGSTAFF,9213,-7702
2000-04-01 00:00:00,500134,TW/CITIZENS UTILITIES FLAGSTAFF,9213,-7380
2000-04-02 00:00:00,500134,TW/CITIZENS UTILITIES FLAGSTAFF,9213,-6610
2000-04-03 00:00:00,500134,TW/CITIZENS UTILITIES FLAGSTAFF,9213,-5989
