Counterparty,Buy or Sell?,Start Date,End Date,Volume (MMBtu/d),Delivery Point,Pricing,Contract Value,Comments
Kennedy Oil,Buy,2001-12-01 00:00:00,2003-10-31 00:00:00,10000,Glenrock,IF NGPL Midcontinent - $0.47,570482,
,Buy,2001-12-01 00:00:00,2003-10-31 00:00:00,5000,Glenrock,NYMEX - $0.62,265183,
,Buy,2001-12-01 00:00:00,2003-10-31 00:00:00,"80% of Nom. less 15,000",Glenrock,IF CIG - $0.03,346100,
,Buy,2001-12-01 00:00:00,2003-10-31 00:00:00,remaining production,,CIG GD - $0.03,162870,
,,,,,,,1344635,
,,,,,,,,
J.M. Huber,Buy,2002-06-01 00:00:00,2013-05-31 00:00:00,42000,Gage,IF NGPL MidContinent - $0.01,6500000,
,,,,,,,,
POGO,Buy,current,2005-08-01 00:00:00,15000,Lost Creek,IF CIG,875609,
,Buy,current,2002-08-01 00:00:00,7500,Lost Creek,IF CIG + $0.03,151948,
,,,,,,,1027557,
,,,,,,,,
Devon,Buy,2002-01-01 00:00:00,2002-12-31 00:00:00,1.8 Bcf over the year,Lost Creek,IF CIG or CIG GD (Devon's option),50000,
,,,,,,,,
Williams,Buy,current,2005-10-31 00:00:00,10000,Opal,NYMEX - $0.33,-748824,
,Sell,current,2005-10-31 00:00:00,10000,WIC,NYMEX - $0.33,747334,
,,,,,,,-1490,
,,,,,,,,
Burlington Resources,Buy,current,2005-10-31 00:00:00,10000,WIC,IF CIG + $0.035,144144,
,,,,,,,,
MPC Storage Blowdown,Sell,2001-12-01 00:00:00,2003-03-31 00:00:00,"200,000 / month",CIG,IF CIG,2000000,
,,,,,,,,
Cascade,Sell,current,2003-10-31 00:00:00,5800,Sumas,3.67,3771740,
,Sell,current,2003-10-31 00:00:00,4200,Opal,3.075,1737540,
,,,,,,,5509280,
,,,,,,,,
,,,,,,,,
,,,,,,Total Contract Value = ,16574126,
