EOLTRAN,DATE,TIME,COMBINED,DAY,USERNM,USER#,COUNTERPTY,ENRON,BEGDATE,ENDDATE,TENOR,QUAN,VOLUME,MEA,P,PRICEINDEX,QUOTED,INDEX,TRDPR,DISC,US000,TRADE,SETTL
791161,2001-01-22 00:00:00,07:47:00,2001-01-22 07:47:00,MON,DAVEBA,70526,BANK OF AM,N,2001-03-01 00:00:00,2001-03-31 00:00:00,3,1,25000,   ,L,NXC2      ,30.07,     ,30.07,    ,751,     ,     
976376,2001-03-09 00:00:00,07:49:00,2001-03-09 07:49:00,MON,JOHNRE,56631,BNP PARIBA,N,2001-04-01 00:00:00,2001-04-30 00:00:00,2,1,25000,   ,L,NXC2      ,28.33,     ,28.33,    ,708,     ,     
1128356,2001-04-16 00:00:00,20:21:00,2001-04-16 20:21:00,MON,VETALI,669,BP OIL SUP,N,2001-05-01 00:00:00,2001-05-31 00:00:00,2,1,25000,   ,S,NXC2      ,28.78,     ,28.78,    ,719,     ,     
898791,2001-02-16 00:00:00,07:55:00,2001-02-16 07:55:00,MON,JOHN W,26644,CLEAN FUEL,Y,2001-03-01 00:00:00,2001-03-31 00:00:00,2,1,25000,   ,S,NXC1      ,29.14,     ,29.13,    ,728,     ,     
898847,2001-02-16 00:00:00,07:59:00,2001-02-16 07:59:00,MON,JOHN W,26644,CLEAN FUEL,Y,2001-03-01 00:00:00,2001-03-31 00:00:00,2,1,25000,   ,S,NXC1      ,29.18,     ,29.18,    ,729,     ,     
919074,2001-02-23 00:00:00,07:33:00,2001-02-23 07:33:00,MON,JOHN W,26644,CLEAN FUEL,Y,2001-04-01 00:00:00,2001-04-30 00:00:00,3,1,25000,   ,S,NXC1      ,28.9,     ,28.9,    ,722,     ,     
919250,2001-02-23 00:00:00,07:47:00,2001-02-23 07:47:00,MON,JOHN W,26644,CLEAN FUEL,Y,2001-04-01 00:00:00,2001-04-30 00:00:00,3,1,25000,   ,S,NXC1      ,28.92,     ,28.92,    ,723,     ,     
964149,2001-03-07 00:00:00,07:09:00,2001-03-07 07:09:00,MON,JOHN W,26644,CLEAN FUEL,Y,2001-04-01 00:00:00,2001-04-30 00:00:00,2,1,25000,   ,S,NXC1      ,28.55,     ,28.54,    ,713,     ,     
1032368,2001-03-23 00:00:00,07:32:00,2001-03-23 07:32:00,MON,JOHN W,26644,CLEAN FUEL,Y,2001-05-01 00:00:00,2001-05-31 00:00:00,3,1,50000,   ,S,NXC2      ,26.94,     ,26.94,    ,1347,     ,     
1129423,2001-04-17 00:00:00,07:54:00,2001-04-17 07:54:00,MON,JOHN W,26644,CLEAN FUEL,Y,2001-05-01 00:00:00,2001-05-31 00:00:00,2,1,50000,   ,L,NXC2      ,28.6,     ,28.6,    ,1430,     ,     
1134610,2001-04-18 00:00:00,07:24:00,2001-04-18 07:24:00,MON,JOHN W,26644,CLEAN FUEL,Y,2001-05-01 00:00:00,2001-05-31 00:00:00,2,1,50000,   ,S,NXC1      ,27.78,     ,27.78,    ,1389,     ,     
740797,2001-01-04 00:00:00,18:19:00,2001-01-04 18:19:00,MON,JALTIL,29605,CONAGRA EN,N,2001-02-01 00:00:00,2001-02-28 00:00:00,2,1,25000,   ,S,NXC2      ,28.01,     ,28.01,5.55,695,28.13,27.63
740798,2001-01-04 00:00:00,18:32:00,2001-01-04 18:32:00,MON,JALTIL,29605,CONAGRA EN,N,2001-02-01 00:00:00,2001-02-28 00:00:00,2,1,25000,   ,S,NXC2      ,28.03,     ,28.03,5.55,696,28.13,27.63
760892,2001-01-10 00:00:00,18:00:00,2001-01-10 18:00:00,MON,JALTIL,29605,CONAGRA EN,N,2001-02-01 00:00:00,2001-02-28 00:00:00,2,1,25000,   ,S,NXC2      ,29.51,     ,29.51,    ,737,     ,     
775813,2001-01-17 00:00:00,08:00:00,2001-01-17 08:00:00,MON,JALTIL,29605,CONAGRA EN,N,2001-02-01 00:00:00,2001-02-28 00:00:00,2,1,25000,   ,L,NXC2      ,30.02,     ,30.02,    ,750,     ,     
780461,2001-01-17 00:00:00,18:14:00,2001-01-17 18:14:00,MON,JALTIL,29605,CONAGRA EN,N,2001-02-01 00:00:00,2001-02-28 00:00:00,2,1,25000,   ,S,NXC2      ,29.74,     ,29.74,    ,743,     ,     
794235,2001-01-22 00:00:00,19:55:00,2001-01-22 19:55:00,MON,JALTIL,29605,CONAGRA EN,N,2001-03-01 00:00:00,2001-03-31 00:00:00,3,1,25000,   ,L,NXC2      ,29.62,     ,29.62,    ,740,     ,     
794236,2001-01-22 00:00:00,20:05:00,2001-01-22 20:05:00,MON,JALTIL,29605,CONAGRA EN,N,2001-03-01 00:00:00,2001-03-31 00:00:00,3,1,25000,   ,L,NXC2      ,29.59,     ,29.59,    ,739,     ,     
847440,2001-02-04 00:00:00,20:14:00,2001-02-04 20:14:00,MON,JALTIL,29605,CONAGRA EN,N,2001-03-01 00:00:00,2001-03-31 00:00:00,2,1,25000,   ,S,NXC2      ,31.1,     ,31.1,    ,777,     ,     
847441,2001-02-04 00:00:00,20:32:00,2001-02-04 20:32:00,MON,JALTIL,29605,CONAGRA EN,N,2001-03-01 00:00:00,2001-03-31 00:00:00,2,1,25000,   ,S,NXC2      ,31.12,     ,31.12,    ,778,     ,     
847442,2001-02-04 00:00:00,20:49:00,2001-02-04 20:49:00,MON,JALTIL,29605,CONAGRA EN,N,2001-04-01 00:00:00,2001-04-30 00:00:00,3,1,25000,   ,S,NXC2      ,30.35,     ,30.35,    ,758,     ,     
875872,2001-02-11 00:00:00,19:08:00,2001-02-11 19:08:00,MON,JALTIL,29605,CONAGRA EN,N,2001-03-01 00:00:00,2001-03-31 00:00:00,2,1,25000,   ,S,NXC2      ,30.96,     ,30.95,    ,774,     ,     
907878,2001-02-20 00:00:00,18:03:00,2001-02-20 18:03:00,MON,JALTIL,29605,CONAGRA EN,N,2001-04-01 00:00:00,2001-04-30 00:00:00,3,1,25000,   ,S,NXC2      ,28.7,     ,28.7,    ,717,     ,     
942208,2001-02-28 00:00:00,22:08:00,2001-02-28 22:08:00,MON,KEVING,29605,CONAGRA EN,N,2001-04-01 00:00:00,2001-04-30 00:00:00,3,1,25000,   ,S,NXC2      ,27.46,     ,27.45,    ,686,     ,     
998669,2001-03-15 00:00:00,01:00:00,2001-03-15 01:00:00,MON,JALTIL,29605,CONAGRA EN,N,2001-04-01 00:00:00,2001-04-30 00:00:00,2,1,10000,   ,S,NXC2      ,26.55,     ,26.54,    ,265,     ,     
1100760,2001-04-08 00:00:00,19:57:00,2001-04-08 19:57:00,MON,JALTIL,29605,CONAGRA EN,N,2001-05-01 00:00:00,2001-05-31 00:00:00,2,1,25000,   ,S,NXC2      ,27.1,     ,27.1,    ,677,     ,     
948609,2001-03-02 00:00:00,07:45:00,2001-03-02 07:45:00,MON,BRADHO,71243,CONECTIV E,N,2001-04-01 00:00:00,2001-04-30 00:00:00,2,1,25000,   ,L,NXC1      ,27.76,     ,27.76,    ,694,     ,     
948722,2001-03-02 00:00:00,07:54:00,2001-03-02 07:54:00,MON,BRADHO,71243,CONECTIV E,N,2001-04-01 00:00:00,2001-04-30 00:00:00,2,1,25000,   ,L,NXC1      ,27.72,     ,27.71,    ,693,     ,     
942205,2001-02-28 00:00:00,20:44:00,2001-02-28 20:44:00,MON,KWGEIG,49747,CORAL ENER,N,2001-04-01 00:00:00,2001-04-30 00:00:00,3,1,25000,   ,S,NXC1      ,27.4,     ,27.4,    ,685,     ,     
1014561,2001-03-19 00:00:00,18:03:00,2001-03-19 18:03:00,MON,KWGEIG,49747,CORAL ENER,N,2001-04-01 00:00:00,2001-04-30 00:00:00,2,1,25000,   ,S,NXC1      ,26.18,     ,26.18,    ,654,     ,     
1100756,2001-04-08 00:00:00,18:39:00,2001-04-08 18:39:00,MON,KWGEIG,49747,CORAL ENER,N,2001-05-01 00:00:00,2001-05-31 00:00:00,2,1,25000,   ,S,NXC1      ,27.1,     ,27.1,    ,677,     ,     
1107170,2001-04-10 00:00:00,06:39:00,2001-04-10 06:39:00,MON,KWGEIG,49747,CORAL ENER,N,2001-05-01 00:00:00,2001-05-31 00:00:00,2,1,50000,   ,S,NXC1      ,27.78,     ,27.78,    ,1389,     ,     
1082054,2001-04-04 00:00:00,07:12:00,2001-04-04 07:12:00,MON,SHIMON,57251,CXY ENERGY,N,2001-05-01 00:00:00,2001-05-31 00:00:00,2,1,25000,   ,L,NXC1      ,26.66,     ,26.66,    ,666,     ,     
741571,2001-01-05 00:00:00,07:48:00,2001-01-05 07:48:00,MON,PHIL C,71811,DISTILLATE,Y,2001-02-01 00:00:00,2001-02-28 00:00:00,2,1,25000,   ,S,NXC2      ,28.22,     ,28.21,5.36,701,27.95,0.111
741574,2001-01-05 00:00:00,07:48:00,2001-01-05 07:48:00,MON,PHIL C,71811,DISTILLATE,Y,2001-02-01 00:00:00,2001-02-28 00:00:00,2,1,25000,   ,S,NXC2      ,28.24,     ,28.24,5.36,701,27.95,0.111
770884,2001-01-16 00:00:00,07:17:00,2001-01-16 07:17:00,MON,PHIL C,71811,DISTILLATE,Y,2001-02-01 00:00:00,2001-02-28 00:00:00,2,1,25000,   ,S,NXC2      ,30.2,     ,30.2,    ,755,     ,     
770885,2001-01-16 00:00:00,07:17:00,2001-01-16 07:17:00,MON,PHIL C,71811,DISTILLATE,Y,2001-02-01 00:00:00,2001-02-28 00:00:00,2,1,25000,   ,S,NXC2      ,30.23,     ,30.23,    ,755,     ,     
770886,2001-01-16 00:00:00,07:17:00,2001-01-16 07:17:00,MON,PHIL C,71811,DISTILLATE,Y,2001-02-01 00:00:00,2001-02-28 00:00:00,2,1,25000,   ,S,NXC2      ,30.26,     ,30.26,    ,756,     ,     
770887,2001-01-16 00:00:00,07:18:00,2001-01-16 07:18:00,MON,PHIL C,71811,DISTILLATE,Y,2001-02-01 00:00:00,2001-02-28 00:00:00,2,1,25000,   ,S,NXC2      ,30.29,     ,30.29,    ,757,     ,     
770888,2001-01-16 00:00:00,07:18:00,2001-01-16 07:18:00,MON,PHIL C,71811,DISTILLATE,Y,2001-02-01 00:00:00,2001-02-28 00:00:00,2,1,25000,   ,S,NXC2      ,30.32,     ,30.32,    ,758,     ,     
771117,2001-01-16 00:00:00,07:59:00,2001-01-16 07:59:00,MON,PHIL C,71811,DISTILLATE,Y,2001-02-01 00:00:00,2001-02-28 00:00:00,2,1,25000,   ,S,NXC2      ,30.26,     ,30.26,    ,756,     ,     
880953,2001-02-12 00:00:00,22:38:00,2001-02-12 22:38:00,MON,PHIL C,71811,DISTILLATE,Y,2001-03-01 00:00:00,2001-03-31 00:00:00,2,1,25000,   ,L,NXC2      ,30.4,     ,30.4,    ,760,     ,     
880954,2001-02-12 00:00:00,22:38:00,2001-02-12 22:38:00,MON,PHIL C,71811,DISTILLATE,Y,2001-03-01 00:00:00,2001-03-31 00:00:00,2,1,25000,   ,L,NXC2      ,30.38,     ,30.37,    ,759,     ,     
880955,2001-02-12 00:00:00,22:38:00,2001-02-12 22:38:00,MON,PHIL C,71811,DISTILLATE,Y,2001-03-01 00:00:00,2001-03-31 00:00:00,2,1,25000,   ,L,NXC2      ,30.36,     ,30.36,    ,759,     ,     
880956,2001-02-12 00:00:00,22:38:00,2001-02-12 22:38:00,MON,PHIL C,71811,DISTILLATE,Y,2001-03-01 00:00:00,2001-03-31 00:00:00,2,1,25000,   ,L,NXC2      ,30.34,     ,30.34,    ,758,     ,     
892363,2001-02-14 00:00:00,18:04:00,2001-02-14 18:04:00,MON,PHIL C,71811,DISTILLATE,Y,2001-03-01 00:00:00,2001-03-31 00:00:00,2,1,25000,   ,L,NXC2      ,29.4,     ,29.4,    ,735,     ,     
892364,2001-02-14 00:00:00,18:04:00,2001-02-14 18:04:00,MON,PHIL C,71811,DISTILLATE,Y,2001-03-01 00:00:00,2001-03-31 00:00:00,2,1,25000,   ,L,NXC2      ,29.38,     ,29.37,    ,734,     ,     
892365,2001-02-14 00:00:00,18:04:00,2001-02-14 18:04:00,MON,PHIL C,71811,DISTILLATE,Y,2001-03-01 00:00:00,2001-03-31 00:00:00,2,1,25000,   ,L,NXC2      ,29.36,     ,29.36,    ,734,     ,     
892367,2001-02-14 00:00:00,18:20:00,2001-02-14 18:20:00,MON,PHIL C,71811,DISTILLATE,Y,2001-03-01 00:00:00,2001-03-31 00:00:00,2,1,25000,   ,S,NXC2      ,29.36,     ,29.36,    ,734,     ,     
903251,2001-02-19 00:00:00,20:45:00,2001-02-19 20:45:00,MON,PHIL C,71811,DISTILLATE,Y,2001-03-01 00:00:00,2001-03-31 00:00:00,2,1,10000,   ,S,NXC1      ,29.53,     ,29.53,    ,295,     ,     
903252,2001-02-19 00:00:00,21:42:00,2001-02-19 21:42:00,MON,PHIL C,71811,DISTILLATE,Y,2001-03-01 00:00:00,2001-03-31 00:00:00,2,1,15000,   ,S,NXC1      ,29.53,     ,29.53,    ,442,     ,     
913050,2001-02-21 00:00:00,22:04:00,2001-02-21 22:04:00,MON,PHIL C,71811,DISTILLATE,Y,2001-04-01 00:00:00,2001-04-30 00:00:00,3,1,25000,   ,S,NXC2      ,28.92,     ,28.92,    ,723,     ,     
923881,2001-02-25 00:00:00,18:11:00,2001-02-25 18:11:00,MON,PHIL C,71811,DISTILLATE,Y,2001-04-01 00:00:00,2001-04-30 00:00:00,3,1,25000,   ,L,NXC2      ,29.12,     ,29.12,    ,728,     ,     
923882,2001-02-25 00:00:00,18:14:00,2001-02-25 18:14:00,MON,PHIL C,71811,DISTILLATE,Y,2001-04-01 00:00:00,2001-04-30 00:00:00,3,1,25000,   ,L,NXC2      ,29.1,     ,29.1,    ,727,     ,     
923888,2001-02-25 00:00:00,18:19:00,2001-02-25 18:19:00,MON,PHIL C,71811,DISTILLATE,Y,2001-04-01 00:00:00,2001-04-30 00:00:00,3,1,25000,   ,L,NXC2      ,29.06,     ,29.05,    ,726,     ,     
953027,2001-03-04 00:00:00,18:11:00,2001-03-04 18:11:00,MON,PHIL C,71811,DISTILLATE,Y,2001-04-01 00:00:00,2001-04-30 00:00:00,2,1,25000,   ,S,NXC2      ,27.98,     ,27.98,    ,699,     ,     
953028,2001-03-04 00:00:00,18:11:00,2001-03-04 18:11:00,MON,PHIL C,71811,DISTILLATE,Y,2001-04-01 00:00:00,2001-04-30 00:00:00,2,1,25000,   ,S,NXC2      ,28,     ,28,    ,700,     ,     
953045,2001-03-04 00:00:00,21:14:00,2001-03-04 21:14:00,MON,PHIL C,71811,DISTILLATE,Y,2001-04-01 00:00:00,2001-04-30 00:00:00,2,1,25000,   ,L,NXC2      ,28,     ,28,    ,700,     ,     
953046,2001-03-04 00:00:00,21:14:00,2001-03-04 21:14:00,MON,PHIL C,71811,DISTILLATE,Y,2001-04-01 00:00:00,2001-04-30 00:00:00,2,1,25000,   ,L,NXC2      ,27.98,     ,27.98,    ,699,     ,     
741568,2001-01-05 00:00:00,07:48:00,2001-01-05 07:48:00,MON,MRPINK,54979,DUKE ENERG,N,2001-02-01 00:00:00,2001-02-28 00:00:00,2,1,25000,   ,S,NXC2      ,28.2,     ,28.2,5.36,700,27.95,0.111
766087,2001-01-12 00:00:00,07:38:00,2001-01-12 07:38:00,MON,MRPINK,54979,DUKE ENERG,N,2001-02-01 00:00:00,2001-02-28 00:00:00,2,1,25000,   ,S,NXC2      ,29.5,     ,29.5,    ,737,     ,     
770095,2001-01-15 00:00:00,19:14:00,2001-01-15 19:14:00,MON,MRPINK,54979,DUKE ENERG,N,2001-02-01 00:00:00,2001-02-28 00:00:00,2,1,25000,   ,S,NXC2      ,30.38,     ,30.37,    ,759,     ,     
770096,2001-01-15 00:00:00,19:15:00,2001-01-15 19:15:00,MON,MRPINK,54979,DUKE ENERG,N,2001-02-01 00:00:00,2001-02-28 00:00:00,2,1,25000,   ,S,NXC2      ,30.42,     ,30.42,    ,760,     ,     
770961,2001-01-16 00:00:00,07:35:00,2001-01-16 07:35:00,MON,MRPINK,54979,DUKE ENERG,N,2001-02-01 00:00:00,2001-02-28 00:00:00,2,1,25000,   ,L,NXC2      ,30.26,     ,30.26,    ,756,     ,     
780996,2001-01-18 00:00:00,07:02:00,2001-01-18 07:02:00,MON,MRPINK,54979,DUKE ENERG,N,2001-02-01 00:00:00,2001-02-28 00:00:00,2,1,25000,   ,S,NXC2      ,29.69,     ,29.69,    ,742,     ,     
781000,2001-01-18 00:00:00,07:03:00,2001-01-18 07:03:00,MON,MRPINK,54979,DUKE ENERG,N,2001-03-01 00:00:00,2001-03-31 00:00:00,3,1,25000,   ,S,NXC2      ,27.87,     ,27.87,    ,696,     ,     
781032,2001-01-18 00:00:00,07:11:00,2001-01-18 07:11:00,MON,MRPINK,54979,DUKE ENERG,N,2001-02-01 00:00:00,2001-02-28 00:00:00,2,1,25000,   ,S,NXC2      ,29.75,     ,29.75,    ,743,     ,     
781355,2001-01-18 00:00:00,08:00:00,2001-01-18 08:00:00,MON,MRPINK,54979,DUKE ENERG,N,2001-03-01 00:00:00,2001-03-31 00:00:00,3,1,25000,   ,S,NXC2      ,27.97,     ,27.96,    ,699,     ,     
800077,2001-01-24 00:00:00,07:38:00,2001-01-24 07:38:00,MON,MRPINK,54979,DUKE ENERG,N,2001-03-01 00:00:00,2001-03-31 00:00:00,3,1,25000,   ,L,NXC2      ,28.96,     ,28.95,    ,724,     ,     
800082,2001-01-24 00:00:00,07:40:00,2001-01-24 07:40:00,MON,MRPINK,54979,DUKE ENERG,N,2001-03-01 00:00:00,2001-03-31 00:00:00,3,1,25000,   ,L,NXC2      ,28.94,     ,28.94,    ,723,     ,     
816029,2001-01-29 00:00:00,07:15:00,2001-01-29 07:15:00,MON,MRPINK,54979,DUKE ENERG,N,2001-03-01 00:00:00,2001-03-31 00:00:00,3,1,25000,   ,S,NXC2      ,30.04,     ,30.04,    ,751,     ,     
816041,2001-01-29 00:00:00,07:17:00,2001-01-29 07:17:00,MON,MRPINK,54979,DUKE ENERG,N,2001-03-01 00:00:00,2001-03-31 00:00:00,3,1,25000,   ,S,NXC2      ,30.06,     ,30.05,    ,751,     ,     
828788,2001-01-31 00:00:00,07:12:00,2001-01-31 07:12:00,MON,MRPINK,54979,DUKE ENERG,N,2001-03-01 00:00:00,2001-03-31 00:00:00,3,1,25000,   ,L,NXC2      ,29.2,     ,29.2,    ,730,     ,     
865844,2001-02-08 00:00:00,07:52:00,2001-02-08 07:52:00,MON,MRPINK,54979,DUKE ENERG,N,2001-03-01 00:00:00,2001-03-31 00:00:00,2,1,25000,   ,L,NXC2      ,31.18,     ,31.18,    ,779,     ,     
865849,2001-02-08 00:00:00,07:52:00,2001-02-08 07:52:00,MON,MRPINK,54979,DUKE ENERG,N,2001-03-01 00:00:00,2001-03-31 00:00:00,2,1,25000,   ,L,NXC2      ,31.18,     ,31.18,    ,779,     ,     
865854,2001-02-08 00:00:00,07:52:00,2001-02-08 07:52:00,MON,MRPINK,54979,DUKE ENERG,N,2001-03-01 00:00:00,2001-03-31 00:00:00,2,1,25000,   ,L,NXC2      ,31.18,     ,31.18,    ,779,     ,     
865857,2001-02-08 00:00:00,07:52:00,2001-02-08 07:52:00,MON,MRPINK,54979,DUKE ENERG,N,2001-03-01 00:00:00,2001-03-31 00:00:00,2,1,25000,   ,L,NXC2      ,31.18,     ,31.18,    ,779,     ,     
902926,2001-02-19 00:00:00,07:54:00,2001-02-19 07:54:00,MON,MRPINK,54979,DUKE ENERG,N,2001-04-01 00:00:00,2001-04-30 00:00:00,3,1,20000,   ,L,NXC1      ,29.55,     ,29.54,    ,591,     ,     
902927,2001-02-19 00:00:00,07:54:00,2001-02-19 07:54:00,MON,MRPINK,54979,DUKE ENERG,N,2001-04-01 00:00:00,2001-04-30 00:00:00,3,1,25000,   ,L,NXC1      ,29.48,     ,29.48,    ,737,     ,     
