2001-10-03 12:51:17,,,,,,,Elk Basin,,,,,,,,,,,
,,,,,,,Capactiy,100000,,,,KN-55/KN-740 Plants,,,,,,
,,,,,,,MTD,100000,,,,Capactiy,265000,,,,,
,,,,,,,Current,100000,,,,MTD Average,210001,,,,,
,,,,,,,,,,,,CurrentDay,218746,,,,,
,,,Kemmerer,,,,,,,,,,,,,,,
,,,Capactiy,474000,,,,,,,,,,,,,,
,,,MTD,-321451,,,,,,,,,,,,,,
,,,Current,-349045,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Powder River,,,,,,,,
,Opal Plant,,,,Lost Creek,,Wind River Lateral,,,Capactiy,104000,,Medicine Bow,,,,,
,Capactiy,986142,,,Capactiy,,Capactiy,270000,,MTD,97000,,Capactiy,457000,,,,
,MTD,677627,,,MTD,,MTD,97000,,Current,104000,,MTD,438000,,,,
,Current,599618,,,Current,,Current,96000,,,,,Current,448000,,,,
,,,,,,,,,,,,,,,,,,
Utah Total Demand,,,,,,,,,,,,,,Rockport Lateral,,,,
MTD,240365,,,,,,,,,,,,,Capactiy,121000,,,
Current,0,,,,,,,,,,,,,MTD Average,119341,,,
,,,,,,,Uinta Lateral,,,,,,,CurrentDay,119340,,,
,,,,,,,Capactiy,225000,,,,,,,,,,
,,,,,,,MTD,139000,,,,,,,,,Dull Knife,
Clay Basin,,,,,,,Current,151000,,,,,,,,,Capactiy,539000.0
MTD,220774,,,,,,,,,,,,,,,,MTD Average,538500.0
Current,258131,,,,,,,,,,,,,,CIG Storage,,CurrentDay,539000.0
,,,,,,,,,,,,,,,MTD Average,0,,
,,,,,,Transco Northern Rec,,,,,,,,,CurrentDay,0,,
,,,,,,Capactiy,395000,,,,,,,,,,,
,,,,,,MTD,143022,,,,,,,,,,,
,,,,,,Current,108823,,,,,,,,,,,
,,,,,,,,,,,,,,,,KIT Carson,,
,,,,,,,,,,,,,,,,Capactiy,315000,
,,,,,,,,,,,,,,,,MTD Average,315000,
NW Plants Total,,,,,,,,,,,,,,,,CurrentDay,315000,
Capactiy,1114009,,,,,,,,,,,,,,,,,
MTD,745749,,,,,,,,,,,,,,,,,
Current,736667,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
NW Interconnects Total,,,,,,,,,,,,,,,,,,
Capactiy,893194,,,,,,,,,,,,,,,,,
MTD,196491,,,,,,,,,,,,,,,,,
Current,192806,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,La Plata B,,,,,,,,,,,,,,,
,,La Plata B,,,,,,,,,,,,,,,,
,,MTD,182010,,,,,,,,,,,,,,,
,,Current,147010,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,EPNG SJ Total,,,,Transco-Southern Rec,,,,,,,,,,,,,
,Capactiy,2810000,,,Capactiy,1209400,,,,,,,,,,,,
,MTD Average,2715066,,,MTD Average,179102,,,,,,,,,,,,
,CurrentDay,2651735,Transwestern SJ Total,,CurrentDay,208458,,,,,,,,,,,,
,,,Capactiy,510000,,,,,,,,,,,,,,
,,,MTD Average,1428853,,,,,,,,,,,,,,
,,,CurrentDay,1366762,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Name,Value,Reference,Path,File,Sheet,Cell,Cell Column, Cell Row,Source Name,Source Column,Source Cell,,,,,,
,Opal Plant,986142,Capactiy,O:\WebContent\FundamentalsSecure\ENA\Gas\Pipelines\Ops Reports\West\,MajorRockiesPlants_d1.xls,Sheet1,D7,D,7,Total,C,C7,,,,,,
,,677627,MTD,O:\WebContent\FundamentalsSecure\ENA\Gas\Pipelines\Ops Reports\West\,MajorRockiesPlants_d1.xls,Sheet1,U7,U,7,Total,C,C7,,,,,,
,,599618,Current,O:\WebContent\FundamentalsSecure\ENA\Gas\Pipelines\Ops Reports\West\,MajorRockiesPlants_d1.xls,Sheet1,F7,F,7,Total,C,C7,,,,,,
,Kemmerer,474000,Capactiy,O:\WebContent\FundamentalsSecure\ENA\Gas\Pipelines\Ops Reports\West\,NorthwestPgt_d1.xls,Sheet1,C11,C,11,Kemmerer,B,B11,,,,,,
,,-321451,MTD,O:\WebContent\FundamentalsSecure\ENA\Gas\Pipelines\Ops Reports\West\,NorthwestPgt_d1.xls,Sheet1,T11,T,11,Kemmerer,B,B11,,,,,,
,,-349045,Current,O:\WebContent\FundamentalsSecure\ENA\Gas\Pipelines\Ops Reports\West\,NorthwestPgt_d1.xls,Sheet1,E11,E,11,Kemmerer,B,B11,,,,,,
,Elk Basin,100000,Capactiy,O:\WebContent\FundamentalsSecure\ENA\Gas\Pipelines\Ops Reports\West\,MajorRockiesPlants_d1.xls,Sheet1,D44,D,44,Elk Basin,C,C44,,,,,,
,,100000,MTD,O:\WebContent\FundamentalsSecure\ENA\Gas\Pipelines\Ops Reports\West\,MajorRockiesPlants_d1.xls,Sheet1,U44,U,44,Elk Basin,C,C44,,,,,,
,,100000,Current,O:\WebContent\FundamentalsSecure\ENA\Gas\Pipelines\Ops Reports\West\,MajorRockiesPlants_d1.xls,Sheet1,F44,F,44,Elk Basin,C,C44,,,,,,
,Lost Creek-CIG,na,Capactiy,O:\WebContent\FundamentalsSecure\ENA\Gas\Pipelines\Ops Reports\West\,CIG_WIC_d1.xls,Sheet1,C8,C,8,Lost Creek - CIG,B,B8,,,,,,
,,0,MTD,O:\WebContent\FundamentalsSecure\ENA\Gas\Pipelines\Ops Reports\West\,CIG_WIC_d1.xls,Sheet1,O8,O,8,Lost Creek - CIG,B,B8,,,,,,
,,na,Current,O:\WebContent\FundamentalsSecure\ENA\Gas\Pipelines\Ops Reports\West\,CIG_WIC_d1.xls,Sheet1,E8,E,8,Lost Creek - CIG,B,B8,,,,,,
,Lost Creek-WIC,na,Capactiy,O:\WebContent\FundamentalsSecure\ENA\Gas\Pipelines\Ops Reports\West\,CIG_WIC_d1.xls,Sheet1,C21,C,21,Lost Creek - WIC,B,B21,,,,,,
,,na,MTD,O:\WebContent\FundamentalsSecure\ENA\Gas\Pipelines\Ops Reports\West\,CIG_WIC_d1.xls,Sheet1,O21,O,21,Lost Creek - WIC,B,B21,,,,,,
,,na,Current,O:\WebContent\FundamentalsSecure\ENA\Gas\Pipelines\Ops Reports\West\,CIG_WIC_d1.xls,Sheet1,E21,E,21,Lost Creek - WIC,B,B21,,,,,,
,Wind River Lat,270000,Capactiy,O:\WebContent\FundamentalsSecure\ENA\Gas\Pipelines\Ops Reports\West\,CIG_WIC_d1.xls,Sheet1,C10,C,10,Wind River Lat,B,B10,,,,,,
,,97000,MTD,O:\WebContent\FundamentalsSecure\ENA\Gas\Pipelines\Ops Reports\West\,CIG_WIC_d1.xls,Sheet1,O10,O,10,Wind River Lat,B,B10,,,,,,
,,96000,Current,O:\WebContent\FundamentalsSecure\ENA\Gas\Pipelines\Ops Reports\West\,CIG_WIC_d1.xls,Sheet1,E10,E,10,Wind River Lat,B,B10,,,,,,
,Powder River,53000,Capactiy,O:\WebContent\FundamentalsSecure\ENA\Gas\Pipelines\Ops Reports\West\,CIG_WIC_d1.xls,Sheet1,C11,C,11,Powder River,B,B11,,,,,,
,,47000,MTD,O:\WebContent\FundamentalsSecure\ENA\Gas\Pipelines\Ops Reports\West\,CIG_WIC_d1.xls,Sheet1,O11,O,11,Powder River,B,B11,,,,,,
,,53000,Current,O:\WebContent\FundamentalsSecure\ENA\Gas\Pipelines\Ops Reports\West\,CIG_WIC_d1.xls,Sheet1,E11,E,11,Powder River,B,B11,,,,,,
,Powder River Lateral,51000,Capactiy,O:\WebContent\FundamentalsSecure\ENA\Gas\Pipelines\Ops Reports\West\,CIG_WIC_d1.xls,Sheet1,C18,C,18,Powder River Lat,B,B18,,,,,,
