,Owens Corning - Prepaid,,,,,,,,,,,
,,,Inputs,,,Results,,,,,,
,,,Interest Rate,0.06,,Capital Outflows,4500000,,,,,
,,,Term,60,,IDC,0,,,,,
,,,IDC Capitalized;,,,,,,,,,
,,,"0=Y, 1=N",1,,Permanent Loan,4500000,,,,,
,,,Payments Begin,1999-10-01 00:00:00,,,,,,,,
,,,Structuring Fee,0,,,,,,,,
,,,Mid Rate (9/13/99),0.06,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,Construction,Construction,Outstanding,,,,,O/S Principle,,Total Interest
,Payback,Date,Outflows,Interest,Balance,Structuring Fee,,Debt Service,,Balance,Total Cash Flows,Revenue
,Period,,,,(incl. IDC),(Upfront Pmt),Ttl Amm,Prin,Interest,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
0.0,0,1999-09-01 00:00:00,4500000,,4500000,,,,,4500000,,
1.0,1,1999-10-01 00:00:00,,,,,37500,37500,,4462500,,
1.0,2,1999-11-01 00:00:00,,,,,37500,37500,,4425000,,
1.0,3,1999-12-01 00:00:00,,,,,37500,37500,,4387500,,
1.0,4,2000-01-01 00:00:00,,,,,37500,37500,,4350000,,
1.0,5,2000-02-01 00:00:00,,,,,37500,37500,,4312500,,
1.0,6,2000-03-01 00:00:00,,,,,37500,37500,,4275000,,
1.0,7,2000-04-01 00:00:00,,,,,37500,37500,,4237500,,
1.0,8,2000-05-01 00:00:00,,,,,37500,37500,,4200000,,
1.0,9,2000-06-01 00:00:00,,,,,37500,37500,,4162500,,
1.0,10,2000-07-01 00:00:00,,,,,37500,37500,,4125000,,
1.0,11,2000-08-01 00:00:00,,,,,37500,37500,,4087500,,
1.0,12,2000-09-01 00:00:00,,,,,37500,37500,,4050000,,
1.0,13,2000-10-01 00:00:00,,,,,84375,84375,,3965625,,
1.0,14,2000-11-01 00:00:00,,,,,84375,84375,,3881250,,
1.0,15,2000-12-01 00:00:00,,,,,84375,84375,,3796875,,
1.0,16,2001-01-01 00:00:00,,,,,84375,84375,,3712500,,
1.0,17,2001-02-01 00:00:00,,,,,84375,84375,,3628125,,
1.0,18,2001-03-01 00:00:00,,,,,84375,84375,,3543750,,
1.0,19,2001-04-01 00:00:00,,,,,84375,84375,,3459375,,
1.0,20,2001-05-01 00:00:00,,,,,84375,84375,,3375000,,
1.0,21,2001-06-01 00:00:00,,,,,84375,84375,,3290625,,
1.0,22,2001-07-01 00:00:00,,,,,84375,84375,,3206250,,
1.0,23,2001-08-01 00:00:00,,,,,84375,84375,,3121875,,
1.0,24,2001-09-01 00:00:00,,,,,84375,84375,,3037500,,
1.0,25,2001-10-01 00:00:00,,,,,84375,84375,,2953125,,
1.0,26,2001-11-01 00:00:00,,,,,84375,84375,,2868750,,
1.0,27,2001-12-01 00:00:00,,,,,84375,84375,,2784375,,
1.0,28,2002-01-01 00:00:00,,,,,84375,84375,,2700000,,
1.0,29,2002-02-01 00:00:00,,,,,84375,84375,,2615625,,
1.0,30,2002-03-01 00:00:00,,,,,84375,84375,,2531250,,
1.0,31,2002-04-01 00:00:00,,,,,84375,84375,,2446875,,
1.0,32,2002-05-01 00:00:00,,,,,84375,84375,,2362500,,
1.0,33,2002-06-01 00:00:00,,,,,84375,84375,,2278125,,
1.0,34,2002-07-01 00:00:00,,,,,84375,84375,,2193750,,
1.0,35,2002-08-01 00:00:00,,,,,84375,84375,,2109375,,
1.0,36,2002-09-01 00:00:00,,,,,84375,84375,,2025000,,
1.0,37,2002-10-01 00:00:00,,,,,84375,84375,,1940625,,
1.0,38,2002-11-01 00:00:00,,,,,84375,84375,,1856250,,
1.0,39,2002-12-01 00:00:00,,,,,84375,84375,,1771875,,
1.0,40,2003-01-01 00:00:00,,,,,84375,84375,,1687500,,
1.0,41,2003-02-01 00:00:00,,,,,84375,84375,,1603125,,
1.0,42,2003-03-01 00:00:00,,,,,84375,84375,,1518750,,
1.0,43,2003-04-01 00:00:00,,,,,84375,84375,,1434375,,
1.0,44,2003-05-01 00:00:00,,,,,84375,84375,,1350000,,
1.0,45,2003-06-01 00:00:00,,,,,84375,84375,,1265625,,
1.0,46,2003-07-01 00:00:00,,,,,84375,84375,,1181250,,
1.0,47,2003-08-01 00:00:00,,,,,84375,84375,,1096875,,
1.0,48,2003-09-01 00:00:00,,,,,84375,84375,,1012500,,
1.0,49,2003-10-01 00:00:00,,,,,84375,84375,,928125,,
1.0,50,2003-11-01 00:00:00,,,,,84375,84375,,843750,,
1.0,51,2003-12-01 00:00:00,,,,,84375,84375,,759375,,
1.0,52,2004-01-01 00:00:00,,,,,84375,84375,,675000,,
1.0,53,2004-02-01 00:00:00,,,,,84375,84375,,590625,,
1.0,54,2004-03-01 00:00:00,,,,,84375,84375,,506250,,
1.0,55,2004-04-01 00:00:00,,,,,84375,84375,,421875,,
1.0,56,2004-05-01 00:00:00,,,,,84375,84375,,337500,,
1.0,57,2004-06-01 00:00:00,,,,,84375,84375,,253125,,
1.0,58,2004-07-01 00:00:00,,,,,84375,84375,,168750,,
1.0,59,2004-08-01 00:00:00,,,,,84375,84375,,84375,,
1.0,60,2004-09-01 00:00:00,,,,,84375,84375,,0,,
