,,,,,,
,,,,,,
,Desk,Data,,,,
,EPMI-ST-SW,,EPMI-ST-WROCK,,Total Sum of Gross MW,Total Sum of Total Amt
Act Date,Sum of Gross MW,Sum of Total Amt,Sum of Gross MW,Sum of Total Amt,,
2001-08-02 00:00:00,,,-10,-28.4,-10,-28.4
2001-08-07 00:00:00,-25,-71,,,-25,-71
Grand Total,-25,-71,-10,-28.4,-35,-99.4
,,,,,,
,,,,,,
"Schedule 1    Scheduling, System Control, and Dispatch Services -  $0.047 per MWh",,,,,,
ST_SW 25 MW x 0.047 = 1.18,,,,,,
ST_WROCKIES 10 MW x 0.047 = 0.47,,,,,,
Total: 35 MW x 0.047 = $1.65,,,,,,
,,,,,,
Schedule 2    Reactive Supply and Voltage Control - $0.066 per MWh,,,,,,
ST_SW 25 MW x 0.066 = 1.65,,,,,,
ST_WROCKIES 10 MW x 0.066 = 0.66,,,,,,
35 MW x 0.066 = $2.31,,,,,,
,,,,,,
Schedule 9    Loss Compensation Service - $2.76 per MWh (3% of cap price $91.87),,,,,,
ST_SW 25 MW x $2.7561 = 68.9025,,,,,,
ST_WROCKIES 10 MW x $2.7561 = 27.561,,,,,,
35 MW x $2.7561 = $96.46,,,,,,
,,,,,,
New Mexico Gross Receipts Tax - 5.75% of gross charges for the month,,,,,,
ST_SW [2.84 x 25 MW + (1.18 + 1.65 + 68.90)] x 5.75% = 8.21,,,,,,
ST_WROCKIES [2.84 x 10 MW + (0.47 + 0.66 + 27.561)] x 5.75% = 3.28,,,,,,
($99.40 energy charge + $100.42 ancillary charge total) x 5.75% = $ 11.49,,,,,,
,,,,,,
Total ST_SW Annuity #  775592.1 for $79.94,,,,,,
Total ST_WROCKIES Annuity #  775676.1for $31.97,,,,,,
