Trunkline LNG Company,,,,,,,,
"Daily Inventory & Sendout Analysis  for March, 2001",,,,,,,,
,,,,,,,,
Terminal BTU -  1.124,,,,,,,,
,,,,,,,,
Customer: Enron,,,,,,,,
,,,,,,,,
,,,,,,,,
Delivery,Begin,Volume,Ct #12618,Ct#16264,Total ,,Reduce,Ending
Date,Inventory,Received,Sendout,Sendout,Sendout,Fuel,Invent,Inventory
2001-03-01 00:00:00,3160200,,186317,0,186317,3319,189636,2970564
2001-03-02 00:00:00,2970564,,186152,0,186152,3316,189468,2781096
2001-03-03 00:00:00,2781096,,186152,0,186152,3316,189468,2591628
2001-03-04 00:00:00,2591628,,186152,0,186152,3316,189468,2402160
2001-03-05 00:00:00,2402160,,186152,0,186152,3316,189468,2212692
2001-03-06 00:00:00,2212692,,186152,0,186152,3316,189468,2023224
2001-03-07 00:00:00,2023224,,185152,0,185152,3298,188450,1834774
2001-03-08 00:00:00,1834774,,179960,0,179960,3205,183165,1651609
2001-03-09 00:00:00,1651609,0,186464,0,186464,3321,189785,1461824
2001-03-10 00:00:00,1461824,0,186464,0,186464,3321,189785,1272039
2001-03-11 00:00:00,1272039,,186464,0,186464,3321,189785,1082254
2001-03-12 00:00:00,1082254,2702390,186464,0,186464,3321,189785,3594859
2001-03-13 00:00:00,3594859,,186464,0,186464,3321,189785,3405074
2001-03-14 00:00:00,3405074,,186464,0,186464,3321,189785,3215289
2001-03-15 00:00:00,3215289,,186464,0,186464,3321,189785,3025504
2001-03-16 00:00:00,3025504,,186112,0,186112,3315,189427,2836077
2001-03-17 00:00:00,2836077,,186112,0,186112,3315,189427,2646650
2001-03-18 00:00:00,2646650,,186112,0,186112,3315,189427,2457223
2001-03-19 00:00:00,2457223,,186112,0,186112,3315,189427,2267796
2001-03-20 00:00:00,2267796,,186112,0,186112,3315,189427,2078369
2001-03-21 00:00:00,2078369,,186112,0,186112,3315,189427,1888942
2001-03-22 00:00:00,1888942,,186489,0,186489,3322,189811,1699131
2001-03-23 00:00:00,1699131,,186075,0,186075,3314,189389,1509742
2001-03-24 00:00:00,1509742,,186075,0,186075,3314,189389,1320353
2001-03-25 00:00:00,1320353,,186075,0,186075,3314,189389,1130964
2001-03-26 00:00:00,1130964,,191575,0,191575,3412,194987,935977
2001-03-27 00:00:00,935977,,187175,0,187175,3334,190509,745468
2001-03-28 00:00:00,745468,,187175,0,187175,3334,190509,554959
2001-03-29 00:00:00,554959,,187175,0,187175,3334,190509,364450
2001-03-30 00:00:00,364450,,187179,0,187179,3334,190513,173937
2001-03-31 00:00:00,173937,,187198,0,187198,3334,190532,-16595
,,2702390,5776300,0,5776300,102885,5879185,
