,,,,,,,,,,,,,,,
,,,,,,,,,Quantities (Bcf),,,Transaction Originated,Enter Value of,,
Deal #,,Originated,,Customer,,EGS Origination,,(Sales),,Purchases,,(In Thousands),Deal Here,Originator,Book ID
,,,,,,,,,,,,Formula - DO NOT TOUCH,,,
QJ9931,,2001-01-05 00:00:00,,Goldston Oil,,Gas Assets,,,,,,86.49491,86494.91,Lamphier,OPTIONS
EZ9490.7,,2001-01-08 00:00:00,,Dan A. Hughes,,Gas Assets,,,,0.084,,3.347,3347,Lamphier,FT-HPLC
NB6478.8/9/10,,2001-03-08 00:00:00,,Dixie Chemical,,Gas Assets,,-2.661,,,,304.666,304666,G. Lamphier,FT-HPLC
N37355.6,,2001-03-28 00:00:00,,Williams Terminal,,Gas Assets,,,-0.012673,,,0.319,319,G. Lamphier,FT-HPLC
N37355.7,,2001-03-28 00:00:00,,Williams Terminal,,Gas Assets,,-0.045261,,,,2.431,2431,G. Lamphier,FT-HPLC
N37355.8,,2001-03-28 00:00:00,,Williams Terminal,,Gas Assets,,-0.018104,,,,0.973,973,G. Lamphier,FT-HPLC
V01188.1,,2001-03-28 00:00:00,,Shell Chemical,,Gas Assets,,-1.609165,,,,8.203,8203,G. Lamphier,FT-HPLC
V01195.1,,2001-03-28 00:00:00,,West Va Co,,Gas Assets,,-16.11502,,,,34.007,34007,G. Lamphier,FT-HPLC
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,440440.91000000003,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
QN5781,,2001-01-25 00:00:00,,Reliant Energy Entex,,Gas Assets,,,,1.4,,21,21000,J. Wallis,FT-HPLC
Q28677.6,,2001-01-25 00:00:00,,Entex Gas Resources,,Gas Assets,,-0.28,,,,0.699,699,J. Wallis,FT-HPLC
QO2533.1,,2001-01-29 00:00:00,,Entex Gas Resources,,Gas Assets,,-0.14,,,,0.7,700,J. Wallis,FT-HPLC
Q28677.7,,2001-02-26 00:00:00,,Entex Gas Resources,,Gas Assets,,,,,,0.775,775,J. Wallis,FT-HPLC
QZ5055.1,,2001-03-27 00:00:00,,Entex ,,Gas Assets,,,,0.3,,0.749,749,J. Wallis,FT-HPLC
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,23923,,
