Page: 1,,,VSMTMACCT,,2001-12-11 08:34:00,,,,,,,,,,,,,,
ZAI*NET v6.02,,,Database: zainet_adhoc_prod,,a/o 10DEC01,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
ETS MTM Financial Position and P&L report,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Company,Book,Group,Group Desc,Trd Date,Start,End,Market,Comp,B/S,Instrument,Volume,Price 1,Price 2,Trd Diff,MTM,cpty_xref,Cpty,hedge_spec,
NNG,NTHE,00002,Base Gas,2001-10-24 00:00:00,2002-06-01 00:00:00,2002-10-31 00:00:00,NYMEX,NG,B,FIXED SWAP,3825000,2.972,3.1,0,-482437.52,YD6460.1,RMTC,HEDGE,
NNG,NTHE,00002,Base Gas,2001-10-30 00:00:00,2002-06-01 00:00:00,2002-06-30 00:00:00,NYMEX,NG,B,FIXED SWAP,316667,2.91,3.275,0,-114519.86,YF5420.1,RMTC,HEDGE,
NNG,NTHE,00002,Base Gas,2001-10-30 00:00:00,2002-07-01 00:00:00,2002-07-31 00:00:00,NYMEX,NG,B,FIXED SWAP,825000,2.955,3.275,0,-261131.28,YF5420.2,RMTC,HEDGE,
NNG,NTHE,00002,Base Gas,2001-10-30 00:00:00,2002-08-01 00:00:00,2002-08-31 00:00:00,NYMEX,NG,B,FIXED SWAP,825000,3,3.275,0,-223917.93,YF5420.3,RMTC,HEDGE,
NNG,NTHE,00002,Base Gas,2001-10-30 00:00:00,2002-09-01 00:00:00,2002-09-30 00:00:00,NYMEX,NG,B,FIXED SWAP,850000,2.99,3.275,0,-238587.91,YF5420.4,RMTC,HEDGE,
NNG,NTHE,00002,Base Gas,2001-10-30 00:00:00,2002-10-01 00:00:00,2002-10-31 00:00:00,NYMEX,NG,B,FIXED SWAP,1358333,3.005,3.275,0,-360409.61,YF5420.5,RMTC,HEDGE,
,,,,,,,,,,,,,,,-1681004.1099999999,OCI reduction,,,
,,,,,,,,,,,,,,,-1730705.48,,RMTC Total,,
,,,,,,,,,,,,,,,,,,,
NNG,NTHE,00002,Base Gas,2000-05-31 00:00:00,2002-06-01 00:00:00,2002-10-31 00:00:00,IFERC,DEMARC,S,FIXED SWAP,-15000000,2.882,3.3,0,6089974.65,NK7775.1,ENA,SPEC,
NNG,NTHS,00008,Basis Back to Back,2001-01-10 00:00:00,2002-04-01 00:00:00,2002-04-30 00:00:00,NYMEX,NG,B,BASIS SWAP,0,2.707,2.797,0.01,-49701.37,QK7503.1,RMTC,SPEC,
NNG,NTHS,0000P,Basis Back to Back,2001-06-25 00:00:00,2001-12-01 00:00:00,2001-12-31 00:00:00,NYMEX,NG,S,BASIS SWAP,0,2.34,2.316,-0.0125,0,VJ5699.1,RMTC,SPEC,
,,,,,,,,,,,,,,,6040273.28,Income hit,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,4359269.17,Net position,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Company,Book,Group,Group Desc,Trd Date,Start,End,Market,Comp,B/S,Instrument,Volume,Price 1,Price 2,Trd Diff,MTM -- A/R,cpty_xref,Cpty,hedge_spec,A/R
TW,TTFW,00009,Fuel Hedge,2000-05-18 00:00:00,2001-01-01 00:00:00,2001-12-31 00:00:00,IFERC,PERMEP,S,FIXED SWAP,-305000,2.57,3.23,0,202400,NI8156.1,ENA,HEDGE,202400
TW,TTFW,00009,Fuel Hedge,2000-05-30 00:00:00,2001-01-01 00:00:00,2001-12-31 00:00:00,IFERC,PERMEP,S,FIXED SWAP,-305000,2.57,3.74,0,357950,NK4742.1,ENA,HEDGE,357950
