DIRECT  O & M COSTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002 - 2004 PLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTHERN NATURAL GAS COMPANY-COMMERCIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
( $ In Millions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2000 Actuals,2000 Actuals,2000 Actuals,2000 Actuals,2000 Actuals,2000 Actuals,2000 Actuals,2000 Actuals,2000 Actuals,,Restated 2001 Plan,,,,,,,,,,2001 2nd Current Estimate,,,,,,,,,,2002 Plan,,,,,,,,,
,,,,,,Project,,,,,,,,,,Project,,,,,,,,,,Project,,,,,,,,,,Project,,,,,,,
,,,,,,Specific,,Overhead,,,,,,,,Specific,,Overhead,,,,,,,,Specific,,Overhead,,,,,,,,Specific,,Overhead,,,,,
,,,,Gross,,Capital,,Capital,,Allocations,,Net,,Gross,,Capital,,Capital,,Allocations,,Net,,Gross,,Capital,,Capital,,Allocations,,Net,,Gross,,Capital,,Capital,,Allocations,,Net,
Department,,,,O & M,,O & M,,O & M,,In/(Out),,O & M,,O & M,,O & M,,O & M,,In/(Out),,O & M,,O & M,,O & M,,O & M,,In/(Out),,O & M,,O & M,,O & M,,O & M,,In/(Out),,O & M,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNG-Direct,,,,,,,,,,,,13.9,,17.4,,,,2.14,,-0.9000000000000001,,14.359999999999998,,17.4,,,,2.14,,-0.9000000000000001,,14.359999999999998,,17.4,,,,2.1,,-0.8,,14.499999999999998,
,,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,
Revenue Mgmt Amort,,,,,,,,,,,,0,,0.9,,,,,,,,0.9,,0.9,,,,,,,,0.9,,1.6,,,,,,,,1.6,
ETS Support,,,,,,,,,,,,0,,0.3,,,,,,,,0.3,,0.3,,,,,,,,0.3,,0.4,,,,,,,,0.4,
Aviation,,,,,,,,,,,,1.7,,1.7,,,,,,,,1.7,,1.2,,,,,,,,1.2,,0.2,,,,,,,,0.2,
