NewPower Storage Inventory Valuation,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Pipeline Storage,,,Inventory as of:,,,,,,,,,,,
Pipeline,LDC,Type,2001-07-31 00:00:00,2001-08-31 00:00:00,2001-09-30 00:00:00,2001-10-31 00:00:00,2001-11-30 00:00:00,2001-12-31 00:00:00,2001-01-31 00:00:00,2001-02-28 00:00:00,2001-03-31 00:00:00,,,
Columbia Gas,COH,FSS,5243772,6138531,7066081,7338781,6604903,4403269,1834696,733879,0,,,
Columbia Gas,COH (AES),FSS,685595,804415,927845,946834,696834,696834,696834,250000,0,,,
Sonat,AGL,CSS,612335,860335,1100335,1293235,1173000,763000,353000,50000,0,,,
Transco,AGL,WSS,265291,337867,410443,483019,438019,298019,153019,58019,0,,,
Transco,AGL,ESS,14700,18600,22500,25350,20280,15210,10140,5070,0,,,
,,Sub-Total,6821693,8159748,9527204,10087219,8933036,6176332,3047689,1096968,0,,,
,,,,,,,,,,,,,,
LDC / Virtual Storage,,,Inventory as of:,,,,,,,,,,,
LDC,Description,Type,2001-07-31 00:00:00,2001-08-31 00:00:00,2001-09-30 00:00:00,2001-10-31 00:00:00,2001-11-30 00:00:00,2001-12-31 00:00:00,2001-01-31 00:00:00,2001-02-28 00:00:00,2001-03-31 00:00:00,,,
AGL,Peaking,On-system,314500,425500,518000,518000,483000,355000,195000,65000,0,,,
AGL,PRS,On-System,152567,202167,247167,293667,268667,172167,75667,25667,0,,,
BG&E,Col. Gas,FSS,32946,41546,46546,46546,43924,31624,18504,9648,0,,,
BG&E,Dominion,GSS,4873,6445,7966,9538,8998,6498,3862,2118,0,,,
CG&E  (AES),Imbalance,On-system,28028,13303,0,0,0,0,0,0,0,,,
EOG  (AES),,On-system,13152,16274,19309,21672,20588,14086,7584,2166,0,,,
MichCon,,On-system,369499,378786,409868,393164,339741,243091,201131,137358,100595,,,
Nipsco,,On-system,258836,312812,367412,390000,335400,241800,148200,54600,0,,,
PNG  (AES),Dominion,GSS,222016,273110,322785,354719,301511,248303,159623,53207,0,,,
PNG  (AES),,On-system,152717,180145,195818,195818,186027,127282,68537,19582,0,,,
WGL,Col. Gas,FSS,75990,86990,97990,101990,86635,60254,31673,11892,0,,,
WGL  (AES),Col. Gas,FSS,22988,20187,15410,15410,13098,9708,6318,2928,0,,,
,,Sub-Total,1648112,1957265,2248271,2340524,2087589,1509813,916099,384166,100595,,,
,,,,,,,,,,,,,,
,           Total  Volumes,,8469805,10117013,11775475,12427743,11020625,7686145,3963788,1481134,100595,,,24151692.0
,,,,,,,,,,,,,,
,,Current NYMEX,,3.14,3.19,3.42,3.7,3.82,3.76,3.65,,,,
,,,,,,,,,,,,,,
,,Value,,31767420.82,37563765.25,42502881.06,40776312.5,29361073.9,14903842.879999999,5406139.1,,,,
,,,,,,,,,,,,,,
,,Winter NYMEX,,3.744970264609204,3.744970264609204,3.744970264609204,3.744970264609204,3.744970264609204,3.744970264609204,3.744970264609204,,,,
,,,,,,,,,,,,,,
,,Value,,37887912.85166475,44098803.72664906,46541527.99120518,41271912.922408804,28784384.47447471,14844268.195214787,5546802.787901688,,,,
