2001-08-27 00:00:00,,,,,,,
,,,,,,,
,,,,,,,
,Primary,,3 yr. MTM,,,,Region 
Client,Group,Product,Value,Update,Closure,Lead,Contact
,,,,,,,
,,,,,,,
EES,Operations,NY EDI,,Phase II/III rules: completed. Being posted for comments.,2001-12-01 00:00:00,Vinio,Frank
,,,,NY EDI Working Group being formed. First meeting August 22.,,Vinio,
,,,,Phase I testing has started.,,Vinio,
,,,,Coordination with EES and CSC to plan for Phase II/III testing.,,Vinio,
,,,,,,,
EES/,Operations,ERCOT Retail Rules,,PIWG:  Pilot opened 8/01 (Ramp-up/Back-log),2001-12-01 00:00:00,Nancy,
EWS,Physical,,,RMS:  Multiple Market Issues,,Nancy,
,Desk,,,TX SET:  Continued development of standardized electronic transactions,,Nancy,
,,,,,,,
EES,Operations,Operational Support ,,,,,
,,Ohio,,,,,
,,Ohio Bill ready UDC billing,,Submitted a joint marketer proposal last week,2001-09-01 00:00:00,Gloria,Donald
,,Ohio CRES consolidated billing,,Working on fundamental questions,2001-09-01 00:00:00,Gloria,Donald
,,Ohio Purchase of receivables stipulation,,Stipulation now filed with the commission,2001-09-01 00:00:00,Gloria,Donald
,,Slamming Rules,,Participated in the OSPO discussion on this issue,2001-09-01 00:00:00,Gloria,Donald
,,PUCO Education on wholesale issues,,Planning the meeting and agenda,2001-09-01 00:00:00,Gloria,Donald
,,Texas,,,,,
,,Enron Direct,,Working on draft Enron Direct contract with legal,2001-09-01 00:00:00,Gloria,Donald
,,Non-PTB Customers,,Reviewing Reliant's filings for grounds to file complaint,2001-09-01 00:00:00,Gloria,Donald
,,TX Pilot,,Working with EES to determine possible pilot participation in TXU and Reliant,,Nancy,
,,Taxes,,Working with EES Tax Department to understand Tax implications,,Nancy,
,,Illinois,,,,,
,,ComEd,,Meeting with ComEd to go over the agreements,2001-09-01 00:00:00,Gloria,Donald
,,ComEd,,Setting up meeting with ComEd and IP to review Operations,,Nancy,
,Operations - EES/EWS,EISB,,Meeting 7/23.  Report at 8/14 GISB/DOE Industry meeting - support but slow moving,,Nancy,
