NEW GAS FIRED PLANT ADDITIONS (1999 THROUGH 2005),,,,,,,,,,,,,,,,,,,
NERC REGION,YEAR,Plant Description,Pipeline,State,Probability,Type,Month,Operational?,Plant Capacity,Merchant Capacity,Machine Type,Tot Plant Capacity High,Tot Plant Capacity Medium,Tot Plant Capacity Low,Tot Gas Usage High,Tot Gas Usage Medium,Tot Gas Usage Low,Summer Only,ID
ECAR,1999,Detroit Edison - Greenwood,ANR,MI,High,CT,Sept,Y,226,0,,226,0,0,41584,0,0,41584,49
ECAR,1999,Kentucky Utilities - EW Brown 6/7,Tennessee,KY,High,CT,August,Y,328,0,,328,0,0,60352,0,0,60352,51
ECAR,1999,East Kentucky Power Coop - Clark County,,KY,High,CT,Feb-May,Y,330,0,,330,0,0,60720,0,0,60720,50
ECAR,1999,Detroit Edison - Belle River,ANR,MI,High,CT,Sept,Y,216,0,,216,0,0,39744,0,0,39744,47
ECAR,1999,Dayton Power & Light - Dayton,,OH,High,1,June,N,84,0,,84,0,0,15456,0,0,15456,46
ECAR,1999,CMS Energy/DTE Energy Dearborn,PEPL/MichCon,MI,High,Cogen,July,Y,135.2,0,,135.2,0,0,21091.2,0,0,0,45
ECAR,1999,CMS Energy  - Livingston,,KY,High,1,June,Y,144,0,,144,0,0,26496,0,0,26496,44
ECAR,1999,AES (Hoosier) moved to 2000 and sold to Williams,,IN,Low,1,June,N,0,0,,0,0,0,0,0,0,0,38
ECAR,1999,AMP-Ohio - St. Mary GT,,MI,Low,1,June,N,0,0,,0,0,0,0,0,0,0,42
ECAR,1999,AMP-Ohio - DistGen Project Phase II,,MI,Low,1,June,N,0,0,,0,0,0,0,0,0,0,41
ECAR,1999,AMP-Ohio - DistGen Project Phase I,,MI,Low,1,June,N,0,0,,0,0,0,0,0,0,0,40
ECAR,1999,CMS Energy  - Otsego/Kalamazoo,,MI,High,1,June,Y,65,0,,65,0,0,11960,0,0,11960,43
ECAR,2000,PG&E - Galion,,OH,Med,CT,July,N,50,50,,0,50,0,0,9200,0,2300,134
ECAR,2000,PG&E - Napoleon,,OH,Med,CT,July,N,50,50,,0,50,0,0,9200,0,2300,135
ECAR,2000,PG&E - Bowling Green,,OH,High,CT,August,Y,16.5,16.5,,16.5,0,0,3036,0,0,3036,136
ECAR,2000,Toledo Edison - Richland,,OH,High,CT,July,N,260,0,,260,0,0,47840,0,0,47840,137
ECAR,2000,Toledo Edison - Richland,,OH,High,CT,September,N,130,0,,130,0,0,23920,0,0,23920,138
ECAR,2000,Trigen-Cinergy - Middle Works,,OH,Low,Cogen,,N,230,230,,0,0,230,0,0,35880,0,139
ECAR,2000,Trigen-Cinergy - Lafarge Gypsum,,KY,Low,Cogen,,N,20,20,,0,0,20,0,0,3120,0,140
ECAR,2000,Dayton Power & Light - Montpelier Station,,OH,High,CT,June,Y,200.3,200.3,,200.3,0,0,36855.2,0,0,36855.2,694
ECAR,2000,Williams (Hoosier Energy Rural),,IN,Med,1,June,N,400,400,,0,400,0,0,73600,0,18400,142
ECAR,2000,PG&E - Canton,,OH,Med,CT,July,N,50,50,,0,50,0,0,9200,0,2300,133
ECAR,2000,Indianapolis Power & Light - Gerogetown,,IN,High,CT,June,Y,72.5,72.5,,72.5,0,0,13340,0,0,13340,220
ECAR,2000,IP&L/DTE - Pike Township (Georgetown),PEPL,IN,High,CT,June,N,240,160,,240,0,0,44160,0,0,44160,130
ECAR,2000,AMP-Ohio - Bowling Green,,OH,High,CT,June,Y,27.2,0,,27.2,0,0,5004.8,0,0,5004.8,661
ECAR,2000,Trigen-Cinergy - Ashtabula,,OH,High,Cogen,October,N,28,0,,28,0,0,4368,0,0,0,141
ECAR,2000,Detroit Edison - Del-Ray,ANR,MI,High,1,June,N,70,0,,70,0,0,12880,0,0,12880,124
