,Forward curve as of,,Date,Nymex promt hist.
Date,2002-02-04 00:00:00,,1993-01-04 00:00:00,1.554
2002-03-01 00:00:00,2.184,,1993-01-05 00:00:00,1.584
2002-04-01 00:00:00,2.252,,1993-01-06 00:00:00,1.582
2002-05-01 00:00:00,2.317,,1993-01-07 00:00:00,1.6
2002-06-01 00:00:00,2.377,,1993-01-08 00:00:00,1.559
2002-07-01 00:00:00,2.432,,1993-01-11 00:00:00,1.614
2002-08-01 00:00:00,2.432,,1993-01-12 00:00:00,1.598
2002-09-01 00:00:00,2.459,,1993-01-13 00:00:00,1.612
2002-10-01 00:00:00,2.679,,1993-01-14 00:00:00,1.646
2002-11-01 00:00:00,2.879,,1993-01-15 00:00:00,1.647
2002-12-01 00:00:00,2.969,,1993-01-18 00:00:00,1.603
2003-01-01 00:00:00,2.922,,1993-01-19 00:00:00,1.551
2003-02-01 00:00:00,2.842,,1993-01-20 00:00:00,1.631
2003-03-01 00:00:00,2.734,,1993-01-21 00:00:00,1.677
2003-04-01 00:00:00,2.744,,1993-01-22 00:00:00,1.634
2003-05-01 00:00:00,2.794,,1993-01-25 00:00:00,1.573
2003-06-01 00:00:00,2.829,,1993-01-26 00:00:00,1.589
2003-07-01 00:00:00,2.879,,1993-01-27 00:00:00,1.575
2003-08-01 00:00:00,2.89,,1993-01-28 00:00:00,1.588
2003-09-01 00:00:00,2.901,,1993-01-29 00:00:00,1.597
2003-10-01 00:00:00,3.069,,1993-01-31 00:00:00,1.6
2003-11-01 00:00:00,3.236,,1993-02-01 00:00:00,1.627
2003-12-01 00:00:00,3.326,,1993-02-02 00:00:00,1.569
2004-01-01 00:00:00,3.256,,1993-02-03 00:00:00,1.583
2004-02-01 00:00:00,3.122,,1993-02-04 00:00:00,1.618
2004-03-01 00:00:00,2.953,,1993-02-08 00:00:00,1.741
2004-04-01 00:00:00,2.964,,1993-02-09 00:00:00,1.686
2004-05-01 00:00:00,2.999,,1993-02-10 00:00:00,1.712
2004-06-01 00:00:00,3.044,,1993-02-11 00:00:00,1.745
2004-07-01 00:00:00,3.089,,1993-02-12 00:00:00,1.71
2004-08-01 00:00:00,3.071,,1993-02-16 00:00:00,1.765
2004-09-01 00:00:00,3.089,,1993-02-17 00:00:00,1.797
2004-10-01 00:00:00,3.258,,1993-02-18 00:00:00,1.873
2004-11-01 00:00:00,3.436,,1993-03-02 00:00:00,1.827
2004-12-01 00:00:00,3.501,,1993-03-03 00:00:00,1.764
2005-01-01 00:00:00,3.396,,1993-03-04 00:00:00,1.798
2005-02-01 00:00:00,3.276,,1993-03-05 00:00:00,1.787
2005-03-01 00:00:00,3.121,,1993-03-08 00:00:00,1.824
2005-04-01 00:00:00,3.111,,1993-03-09 00:00:00,1.921
2005-05-01 00:00:00,3.136,,1993-03-10 00:00:00,1.926
2005-06-01 00:00:00,3.161,,1993-03-11 00:00:00,1.945
2005-07-01 00:00:00,3.187,,1993-03-12 00:00:00,1.915
2005-08-01 00:00:00,3.187,,1993-03-15 00:00:00,1.965
2005-09-01 00:00:00,3.197,,1993-03-16 00:00:00,1.913
2005-10-01 00:00:00,3.347,,1993-03-17 00:00:00,2.013
2005-11-01 00:00:00,3.497,,1993-03-18 00:00:00,2.031
2005-12-01 00:00:00,3.586,,1993-03-19 00:00:00,2.087
2006-01-01 00:00:00,3.481,,1993-03-22 00:00:00,2.042
2006-02-01 00:00:00,3.361,,1993-03-23 00:00:00,2.117
2006-03-01 00:00:00,3.206,,1993-03-24 00:00:00,2.224
2006-04-01 00:00:00,3.196,,1993-03-25 00:00:00,2.023
2006-05-01 00:00:00,3.221,,1993-03-26 00:00:00,1.975
2006-06-01 00:00:00,3.246,,1993-03-29 00:00:00,2.027
2006-07-01 00:00:00,3.272,,1993-03-30 00:00:00,2.042
2006-08-01 00:00:00,3.272,,1993-03-31 00:00:00,2.069
2006-09-01 00:00:00,3.282,,1993-04-01 00:00:00,2.037
2006-10-01 00:00:00,3.432,,1993-04-02 00:00:00,2.025
2006-11-01 00:00:00,3.582,,1993-04-05 00:00:00,2.093
2006-12-01 00:00:00,3.676,,1993-04-06 00:00:00,2.153
,,,1993-04-07 00:00:00,2.154
,,,1993-04-08 00:00:00,2.229
,,,1993-04-12 00:00:00,2.344
,,,1993-04-13 00:00:00,2.32
,,,1993-04-14 00:00:00,2.364
,,,1993-04-15 00:00:00,2.357
,,,1993-04-16 00:00:00,2.391
,,,1993-04-19 00:00:00,2.408
,,,1993-04-20 00:00:00,2.442
,,,1993-04-21 00:00:00,2.633
,,,1993-04-22 00:00:00,2.728
,,,1993-04-23 00:00:00,2.758
,,,1993-04-26 00:00:00,2.317
,,,1993-04-27 00:00:00,2.318
,,,1993-04-28 00:00:00,2.354
,,,1993-04-29 00:00:00,2.372
,,,1993-04-30 00:00:00,2.365
,,,1993-05-03 00:00:00,2.289
,,,1993-05-04 00:00:00,2.317
,,,1993-05-05 00:00:00,2.224
,,,1993-05-06 00:00:00,2.174
,,,1993-05-07 00:00:00,2.162
,,,1993-05-10 00:00:00,2.082
,,,1993-05-11 00:00:00,2.157
,,,1993-05-12 00:00:00,2.215
,,,1993-05-13 00:00:00,2.271
,,,1993-05-14 00:00:00,2.262
,,,1993-05-17 00:00:00,2.314
,,,1993-05-18 00:00:00,2.349
,,,1993-05-19 00:00:00,2.315
,,,1993-05-20 00:00:00,2.322
,,,1993-05-21 00:00:00,2.119
,,,1993-05-24 00:00:00,2.009
,,,1993-05-25 00:00:00,2.084
,,,1993-05-26 00:00:00,2.086
,,,1993-05-27 00:00:00,2.104
,,,1993-05-28 00:00:00,2.141
