,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,SINK,SINK,SINK,SINK,SINK,SINK,SINK,,,SOURCE,SOURCE,SOURCE,SOURCE,SOURCE,SOURCE,SOURCE
,SOURCE,,E R C O T E ,E R C O T E ,E R C O T N,E R C O T N,G R D A ,G R D A ,,SINK,,E R C O T E ,E R C O T E ,E R C O T N,E R C O T N,G R D A ,G R D A 
,SOURCE,,On-Peak,Off-Peak,On-Peak,Off-Peak,On-Peak,Off-Peak,,SINK,,On-Peak,Off-Peak,On-Peak,Off-Peak,On-Peak,Off-Peak
,SOURCE,AECI,4.356,2.7760000000000002,4.37,2.79,8.559,8.559,,SINK,AECI,2.92,2.92,2.92,2.92,2.98,2.98
,SOURCE,AMRN,4.354,2.774,4.369000000000001,2.789,8.54,8.54,,SINK,AMRN,2.9,2.9,2.92,2.92,2.98,2.98
,SOURCE,CLEC,4.378,2.798,4.377,2.797,8.586,8.586,,SINK,CLEC,4.37,2.79,4.38,2.8,4.45,2.87
,SOURCE,CSWS,4.4110000000000005,2.8310000000000004,4.423,2.843,8.639,8.639,,SINK,CSWS,4.38,2.8,4.38,2.8,4.47,2.89
,SOURCE,EDE,4.406000000000001,2.826,4.414000000000001,2.834,8.626999999999999,8.626999999999999,,SINK,EDE,5.09,3.15,5.09,3.15,5.18,3.24
,SOURCE,EES,4.374,2.7940000000000005,4.375000000000001,2.795,8.581999999999999,8.581999999999999,,SINK,EES,2.92,2.92,3,3,3,3
,SOURCE,ERCOTE,,,NIP,NIP,8.635,8.635,,SINK,ERCOTE,,,,,4.5,2.92
,SOURCE,ERCOTN,NIP,NIP,,,8.645,8.645,,SINK,ERCOTN,,,,,4.51,2.93
,SOURCE,GRDA,4.495,2.915,4.514,2.934,,,,SINK,GRDA,8.64,8.64,8.65,8.65,,
,SOURCE,GRE,4.21,2.63,4.22,2.64,8.36,8.36,,SINK,GRE,3.58,3.58,3.59,3.59,3.59,3.59
,SOURCE,INDN,8.27,2.7300000000000004,4.341,2.761,8.498,8.498,,SINK,INDN,3.65,3.65,3.71,3.71,3.74,3.74
,SOURCE,KCPL,4.346,2.766,4.357,2.777,8.545,8.545,,SINK,KCPL,3.68,3.68,3.71,3.71,3.75,3.75
,SOURCE,LAGN,4.374,2.7940000000000005,1.895,4.375000000000001,8.581999999999999,8.581999999999999,,SINK,LAGN,4.38,2.8,4.38,2.8,4.44,2.86
,SOURCE,MEC,4.338,2.758,4.357,2.777,8.546,8.546,,SINK,MEC,3.71,3.71,3.73,3.73,3.79,3.79
,SOURCE,MHEB,4.3500000000000005,2.7700000000000005,4.368,2.7880000000000003,8.547,8.547,,SINK,MHEB,3.72,3.72,3.74,3.74,3.79,3.79
,SOURCE,MMPA,4.351,2.771,4.3580000000000005,2.7780000000000005,8.547,8.547,,SINK,MMPA,3.72,3.72,3.73,3.73,3.79,3.79
,SOURCE,MP,4.340000000000001,2.7600000000000002,4.368,2.7880000000000003,8.536999999999999,8.536999999999999,,SINK,MP,3.71,3.71,3.74,3.74,3.79,3.79
,SOURCE,MPS,4.323,2.7430000000000003,4.25,2.773,8.511,8.511,,SINK,MPS,3.69,3.69,3.72,3.72,3.76,3.76
,SOURCE,NPPD,4.356000000000001,2.7860000000000005,3.286,2.7860000000000005,8.565,8.565,,SINK,NPPD,3.72,3.72,3.74,3.74,3.8,3.8
,SOURCE,NSP,4.351,2.771,4.3580000000000005,2.7780000000000005,8.547,8.547,,SINK,NSP,3.72,3.72,3.73,3.73,3.79,3.79
,SOURCE,OKGE,4.476999999999999,2.8970000000000002,4.506,2.926,8.700999999999999,8.700999999999999,,SINK,OKGE,2.98,2.98,3.01,3.01,3.07,3.07
,SOURCE,OPPD,4.335,2.755,4.356,2.7760000000000002,8.533,8.533,,SINK,OPPD,3.71,3.71,3.73,3.73,3.77,3.77
,SOURCE,OTP,4.349,2.769,4.368,2.7880000000000003,8.557,8.557,,SINK,OTP,3.72,3.72,3.74,3.74,3.78,3.78
,SOURCE,WAPA,4.348,2.7680000000000002,4.367,2.787,8.556,8.556,,SINK,WAPA,3.72,3.72,3.73,3.73,3.79,3.79
,SOURCE,WR,4.4990000000000006,2.919,4.522,2.0420000000000003,8.709,8.709,,SINK,WR,3.13,3.13,3.15,3.15,3.2,3.2
