,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,128b,129,131,,,,,,,,,,,
Description,Total Cost,Status of,Project,Information,Right of,,,,Engineering &,,,Telecomm.,,,
,,Construction,Number,Reported,Way,Surveys,Materials,Labor,Inspection,Taxes,Freight,Equip,Overheads,AFUDC,Contingencies
,,,,,,,,,,,,,,,
TW Mainline Station 1,23225000,,,1,0,10000,12950000,2625000,1989991,732894,488596,30000,394300,1794077,2210142
,,,, ,,,,,,,,,,,
TW Mainline Station 2,23225000,,,1,0,10000,12950000,2625000,1989991,732894,488596,30000,394300,1794077,2210142
,,,, ,,,,,,,,,,,
TW Mainline Station 3,23225000,,,1,0,10000,12950000,2625000,1989991,732894,488596,30000,394300,1794077,2210142
,,,, ,,,,,,,,,,,
TW Mainline Station 4,23225000,,,1,0,10000,12950000,2625000,1989991,732894,488596,30000,394300,1794077,2210142
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
GRAND TOTAL,92900000,0,0,4,0,40000,51800000,10500000,7959964,2931576,1954384,120000,1577200,7176308,8840568
