,,,,,,,,,,
Contract,Last,Open,High,Low,Change,% Change,Last Update,Bid,Mid,Ask
2002-03-01 08:28:22,2.138,2.105,2.15,2.095,0.058,0,2002-01-31 02:21:07,2.145,2.1475,2.15
2002-04-01 08:28:22,2.19,2.165,2.205,2.15,0.043,0,2002-01-31 02:21:38,0,0,0
2002-05-01 08:28:22,2.258,2.25,2.28,2.23,0.028,0,2002-01-31 01:59:49,2.26,1.13,0
2002-06-01 08:28:22,2.326,2.325,2.345,2.31,0.016,0,2002-01-31 01:59:57,2.325,1.1625,0
2002-07-01 08:28:22,2.391,2.4,2.425,2.38,0.011,0,2002-01-31 01:59:41,0,0,0
2002-08-01 08:28:22,2.448,2.465,2.485,2.43,0.008,0,2002-01-31 01:56:00,0,1.23,2.46
2002-09-01 08:28:22,2.448,2.48,2.48,2.43,0.008,0,2002-01-31 01:56:49,0,1.23,2.46
2002-10-01 08:28:22,2.472,2.48,2.495,2.455,0.006,0,2002-01-31 02:01:07,0,0,0
2002-11-01 08:28:22,2.699,2.705,2.735,2.685,0.005,0,2002-01-31 02:00:05,0,0,0
2002-12-01 08:28:22,2.904,2.92,2.945,2.904,-0.005,0,2002-01-31 02:00:08,0,0,0
2003-01-01 08:28:22,2.994,3.015,3.03,2.985,-0.013,0,2002-01-31 01:59:31,0,1.505,3.01
2003-02-01 08:28:22,2.947,2.97,2.98,2.94,-0.018,0,2002-01-31 01:53:25,0,1.48,2.96
2003-03-01 08:28:22,2.864,2.91,2.91,2.86,-0.023,0,2002-01-31 01:53:41,0,1.4425,2.885
2003-04-01 08:28:22,2.745,2.79,2.79,2.745,-0.022,0,2002-01-31 11:24:32,0,1.385,2.77
2003-05-01 08:28:22,2.755,2.79,2.79,2.755,-0.027,0,2002-01-31 01:54:37,0,1.39,2.78
2003-06-01 08:28:22,2.805,2.85,2.85,2.805,-0.035,0,2002-01-31 01:54:44,0,0,0
2003-07-01 08:28:22,2.84,2.9,2.9,2.84,-0.04,0,2002-01-31 12:02:41,2.86,1.43,0
2003-08-01 08:28:22,2.888,2.94,2.94,2.888,-0.042,0,2002-01-31 10:26:17,0,0,0
2003-09-01 08:28:22,2.903,2.94,2.94,2.903,-0.042,0,2002-01-31 01:25:17,0,0,0
2003-10-01 08:28:22,2.923,2.97,2.97,2.923,-0.047,0,2002-01-31 01:03:03,0,0,0
2003-11-01 08:28:22,3.088,3.088,3.088,3.088,-0.052,0,2002-01-30 09:49:54,0,0,0
2003-12-01 08:28:22,3.245,3.245,3.245,3.245,-0.052,0,2002-01-30 10:44:34,0,1.6575,3.315
2004-01-01 08:28:22,3.335,3.35,3.35,3.335,-0.042,0,2002-01-31 01:49:49,3.36,1.68,0
2004-02-01 08:28:22,3.259,3.27,3.27,3.259,-0.042,0,2002-01-31 11:27:18,0,0,0
2004-03-01 08:28:22,3.125,3.21,3.21,3.125,-0.047,0,2002-01-31 12:20:04,0,0,0
2004-04-01 08:28:22,2.952,2.952,2.952,2.952,-0.052,0,2002-01-30 10:44:54,0,0,0
2004-05-01 08:28:22,2.963,3.05,3.05,2.963,-0.057,0,2002-01-31 09:39:40,0,0,0
2004-06-01 08:28:22,2.998,3.04,3.04,2.998,-0.062,0,2002-01-31 11:42:22,0,0,0
2004-07-01 08:28:22,3.045,3.045,3.045,3.045,-0.062,0,2002-01-22 09:52:46,3.05,1.525,0
2004-08-01 08:28:22,3.095,3.16,3.16,3.095,-0.064,0,2002-01-31 10:15:31,0,0,0
2004-09-01 08:28:22,3.075,3.075,3.075,3.075,-0.064,0,2002-01-22 09:51:46,0,1.595,3.19
2004-10-01 08:28:22,3.095,3.15,3.15,3.095,-0.07,0,2002-01-31 12:03:14,0,0,0
2004-11-01 08:28:22,3.265,3.34,3.34,3.265,-0.07,0,2002-01-31 10:15:41,0,1.6675,3.335
2004-12-01 08:28:22,3.443,3.51,3.51,3.443,-0.07,0,2002-01-31 10:37:35,0,1.7565,3.513
2005-01-01 08:28:22,3.508,3.508,3.508,3.508,-0.07,0,2002-01-25 01:50:37,0,1.789,3.578
2005-02-01 08:28:22, , , , , , , , , , 
