---------------,----------,---------,---------,-----,-----,----,-------,------------,-----,-------,-------,-------,-------,-------,--------,--------,--------,-----------,-----------,---------,-------------,-------------,-------------,-------------,---------,---------,---------,---------,-------------,-----------,---------,,
,,Exp Dt,Date,Hr,Hr,Per,Mwh,,,PRICE,PRICE,BASIS,PRICE,Fwd,VOLAT,VOLAT,INT,Peak,Off Peak,,,,,Gas,Gas,Gas,Cross,$ Deal,$,,,,
Cnterparty,Deal,MM/DD/YY,MM/DD/YY,Strt,End,Typ,/hr,mwhrs,P/C,Mid,,Mid,Cntrct,Mid,Mid,GasMid,Rate,Delta,Delta,GAMMA,RHO,VEGA,THETA,DRIFT,Delta,Gamma,Gamma,Vega,Mid Val,Cash,Eta,Intrinsic,Extrinsic
---------------,---------,--------,--------,----,----,---,------,-----------,----,underly,strike,------,------,------,-------,-------,-------,----------,----------,--------,------------,------------,------------,------------,--------,--------,--------,--------,------------,----------,--------,,
UTAHASSMUNPOWSY,804470.01,2001-11-30 00:00:00,2001-12-01 00:00:00,600,700,P,25,25,CALL,22.98,30.5,0,61,22.98,1.5347,1.115,0.0225,2,0,1,0,15,-117,3,-1,0,-1,-8,3,,-49,0,3
UTAHASSMUNPOWSY,804470.01,2001-11-30 00:00:00,2001-12-01 00:00:00,700,800,P,25,25,CALL,28.37,30.5,0,61,28.37,1.5347,1.115,0.0225,10,0,2,-2,51,-411,32,-8,2,-2,-26,32,,-165,0,32
UTAHASSMUNPOWSY,804470.01,2001-11-30 00:00:00,2001-12-01 00:00:00,800,900,P,25,25,CALL,28.87,30.5,0,61,28.87,1.5347,1.115,0.0225,10,0,2,-2,53,-432,37,-9,2,-2,-27,37,,-171,0,37
UTAHASSMUNPOWSY,804470.01,2001-11-30 00:00:00,2001-12-01 00:00:00,900,1000,P,25,25,CALL,31.44,30.5,0,61,31.44,1.5347,1.115,0.0225,15,0,2,-5,57,-494,71,-13,2,-2,-29,69,,-185,23.500000000000032,45.49999999999997
UTAHASSMUNPOWSY,804470.01,2001-11-30 00:00:00,2001-12-01 00:00:00,1000,1100,P,25,25,CALL,32.2,30.5,0,61,32.2,1.5347,1.115,0.0225,16,0,2,-5,56,-499,83,-14,2,-2,-28,81,,-181,42.50000000000007,38.49999999999993
UTAHASSMUNPOWSY,804470.01,2001-11-30 00:00:00,2001-12-01 00:00:00,1100,1200,P,25,25,CALL,31.62,30.5,0,61,31.62,1.5347,1.115,0.0225,15,0,2,-5,57,-496,73,-14,2,-2,-29,72,,-184,28.000000000000025,43.99999999999997
UTAHASSMUNPOWSY,804470.01,2001-11-30 00:00:00,2001-12-01 00:00:00,1200,1300,P,25,25,CALL,31.4,30.5,0,61,31.4,1.5347,1.115,0.0225,15,0,2,-5,57,-494,70,-13,2,-2,-29,69,,-185,22.499999999999964,46.500000000000036
UTAHASSMUNPOWSY,804470.01,2001-11-30 00:00:00,2001-12-01 00:00:00,1300,1400,P,25,25,CALL,31.93,30.5,0,61,31.93,1.5347,1.115,0.0225,16,0,2,-5,57,-498,78,-14,2,-2,-28,77,,-183,35.74999999999999,41.25000000000001
