Plant,,,,Region,Fuel,MW,Begin Date,End Date,Reason
West Phoenix 4,,,,DSW,Gas,33,1990-01-01 00:00:00,2002-07-15 00:00:00,Scheduled
Alamitos 1,,,,SP15,Gas,175,2000-11-16 00:00:00,2001-05-26 00:00:00,Forced
Redondo Beach 5,,,,SP15,Gas,175,2000-11-16 00:00:00,2001-05-25 00:00:00,Scheduled
Hunter 1,,,,PNW,Coal,415,2000-11-24 00:00:00,2001-04-29 00:00:00,Forced
Broadway (CA) B1,,,,SP15,Gas,42,2000-12-01 00:00:00,2001-06-01 00:00:00,Forced
Broadway (CA) B2,,,,SP15,Gas,42,2000-12-01 00:00:00,2001-05-15 00:00:00,Forced
Alameda Combustion Turbines 1,,,,NP15,Gas,24,2001-01-25 00:00:00,2001-05-10 00:00:00,Forced
Alameda Combustion Turbines 2,,,,NP15,Gas,25,2001-01-25 00:00:00,2001-05-10 00:00:00,Forced
Highgrove 1,,,,SP15,Gas,32,2001-01-25 00:00:00,2001-05-27 00:00:00,Scheduled
Highgrove 2,,,,SP15,Gas,33,2001-01-25 00:00:00,2001-05-27 00:00:00,Scheduled
Highgrove 3,,,,SP15,Gas,44,2001-01-25 00:00:00,2001-05-27 00:00:00,Scheduled
Highgrove 4,,,,SP15,Gas,45,2001-01-25 00:00:00,2001-05-27 00:00:00,Scheduled
San Bernardino 1,,,,SP15,Gas,63,2001-01-25 00:00:00,2001-04-25 00:00:00,Scheduled
San Bernardino 2,,,,SP15,Gas,63,2001-01-25 00:00:00,2001-04-25 00:00:00,Scheduled
El Segundo 3,,,,SP15,Gas,335,2001-01-27 00:00:00,2001-05-16 00:00:00,Scheduled
Etiwanda 4,,,,SP15,Gas,320,2001-01-28 00:00:00,2001-05-15 00:00:00,Scheduled
Roseville Combustion Turbines 2,,,,NP15,Gas,25,2001-01-29 00:00:00,2001-05-10 00:00:00,Scheduled
San Onofre 3,,,,SP15,Nuke,1080,2001-02-13 00:00:00,2001-06-15 00:00:00,Forced
Fredonia (WA) 1,,,,PNW,Gas,108,2001-02-24 00:00:00,2001-06-21 00:00:00,Forced
AES Placerita Incorported 1,,,,SP15,Gas,100,2001-02-26 00:00:00,2001-04-25 00:00:00,Scheduled
Beaver 7,,,,PNW,Gas,141,2001-03-03 00:00:00,2001-04-27 00:00:00,Scheduled
Alamitos 4,,,,SP15,Gas,320,2001-03-05 00:00:00,2001-05-03 00:00:00,Scheduled
Haynes Generating Station 6,,,,SP15,Gas,341,2001-03-07 00:00:00,2001-04-28 00:00:00,Scheduled
Stockton CoGen Co. ALL,,,,NP15,Alt,55,2001-03-09 00:00:00,2001-05-03 00:00:00,Scheduled
Craig 2,,,,RM,Coal,428,2001-03-10 00:00:00,2001-04-30 00:00:00,Scheduled
Alamitos 3,,,,SP15,Gas,320,2001-03-14 00:00:00,2001-04-27 00:00:00,Forced
Yuma Axis 1,,,,DSW,Gas,75,2001-03-16 00:00:00,2001-04-24 00:00:00,Scheduled
Colstrip 3,,,,PNW,Coal,727,2001-03-16 00:00:00,2001-05-13 00:00:00,Scheduled
Pittsburg 5,,,,NP15,Gas,325,2001-03-18 00:00:00,2001-05-21 00:00:00,Scheduled
Cool Water 4ABC,,,,SP15,Gas,40,2001-03-21 00:00:00,2001-04-26 00:00:00,Forced
ACE Cogeneration Plant 1,,,,SP15,Coal,96,2001-03-22 00:00:00,2001-05-22 00:00:00,Forced
High Sierra ALL,,,,ZP26,Alt,48,2001-03-24 00:00:00,2001-05-10 00:00:00,Scheduled
