Law and Organizational Economics Center,Law and Organizational Economics Center,Law and Organizational Economics Center,Law and Organizational Economics Center,Law and Organizational Economics Center
Number of Judicial Participants by Court and State,Number of Judicial Participants by Court and State,Number of Judicial Participants by Court and State,Number of Judicial Participants by Court and State,Number of Judicial Participants by Court and State
,,,,
State,Total,Supreme Court,Appellate Court,District Court
Alabama,13,2,0,11
Alaska,3,0,0,3
Arizona,27,0,3,24
Arkansas,5,0,1,4
California,87,1,15,71
Colorado,14,2,8,4
Connecticut,5,1,3,1
Delaware,3,1,0,2
Florida,29,0,9,20
Georgia,10,1,2,7
Hawaii,2,1,0,1
Idaho,4,1,0,3
Illinois,49,0,10,39
Indiana,46,1,5,40
Iowa,24,0,2,22
Kansas,63,5,12,46
Kentucky,21,1,5,15
Louisiana,17,1,8,8
Maine,14,4,0,10
Maryland,8,0,2,6
Massachusetts,7,0,0,7
Michigan,36,4,10,22
Minnesota,39,1,4,34
Mississippi,12,2,4,6
Missouri,50,5,4,41
Montana,1,0,0,1
Nebraska,14,1,1,12
Nevada,2,0,0,2
New Jersey,19,0,0,19
New Mexico,15,1,8,6
New York,30,0,15,15
North Carolina,9,0,3,6
North Dakota,8,2,0,6
Ohio,45,0,10,35
Oklahoma,29,3,6,20
Oregon,10,2,1,7
Pennsylvania,20,0,1,19
Puerto Rico,6,0,4,2
South Carolina,2,0,0,2
South Dakota,1,0,0,1
Tennesse,15,0,3,12
Texas,69,3,23,43
Utah,1,0,1,0
Vermont,5,0,0,5
Virginia,15,0,0,15
Washington,5,0,0,5
West Virginia,4,1,0,3
Wisconsin,23,0,2,21
Wyoming,2,2,0,0
TOTAL,938,49,185,704
