Sta,Name,Chart Rotation,Meter Type
,,,
,,,
710051,BALTIC - TBS #1,16,Chart Recorder
710181,CENTERVILLE - TBS #1,16,Chart Recorder
710251,COLTON - TBS #1,16,Chart Recorder
710321,DELL RAPIDS - TBS #1,16,Chart Recorder
710350,ELLIS S.D   TBS #1,16,Chart Recorder
710371,FLANDREAU - TBS #1,16,Chart Recorder
710471,HARRISBURG - TBS #1,16,Chart Recorder
710481,HARTFORD - TBS #1,16,Chart Recorder
710561,LENNOX - TBS #1,16,Chart Recorder
710611,MONTROSE - TBS #1,16,Chart Recorder
710711,RAMONA - TBS #1,16,Chart Recorder
710741,SALEM - TBS #1,16,Chart Recorder
710921,WORTHING - TBS #1,16,Chart Recorder
712202,VERMILLION - T.B.S. #1A-MECKLING,7,Chart Recorder
735011,BADGER - TBS #1,16,Chart Recorder
735023,FORT DODGE -T.B.S.#2,7,Chart Recorder
735051,CALLENDER - T.B.S. #1,16,Chart Recorder
735081,DUNCOMBE - T.B.S. #1,16,Chart Recorder
735101,COALVILLE - TBS #1,16,Chart Recorder
735261,OTHO - TBS #1,16,Chart Recorder
736021,ALTOONA - TBS #1,16,Chart Recorder
736061,CARSON - TBS #1,16,Chart Recorder
736071,COLFAX - TBS #1,16,Chart Recorder
736081,DALLAS CENTER - TBS #1,16,Chart Recorder
736090,DES MOINES TBS #13(PIONEER),16,Chart Recorder
736098,DES MOINES-IND.ASPHALT OF IA.,16,Chart Recorder
736101,DEXTER - TBS #1,16,Chart Recorder
736111,DUNLAP - TBS #1,16,Chart Recorder
736121,EARLHAM - TBS #1,16,Chart Recorder
736131,DES MOINES  TBS 1-D,16,Chart Recorder
736141,GRISWOLD - TBS #1,16,Chart Recorder
736151,HANCOCK - TBS #1,16,Chart Recorder
736161,KIMBALLTON - TBS #1,16,Chart Recorder
736171,LINDEN - TBS #1,16,Chart Recorder
736181,LOGAN - TBS #1,16,Chart Recorder
736191,MACEDONIA - TBS #1,16,Chart Recorder
736201,MARNE - TBS #1,16,Chart Recorder
736211,MINDEN - TBS #1,16,Chart Recorder
,,,
,,,
736221,MINEOLA - TBS #1,16,Chart Recorder
736231,MINGO - TBS #1,16,Chart Recorder
736241,MITCHELLVILLE - TBS #1,16,Chart Recorder
736271,NEOLA - TBS #1,16,Chart Recorder
736291,PERSIA - TBS #1,16,Chart Recorder
736301,PORTSMOUTH - TBS #1,16,Chart Recorder
736321,SHELBY - TBS #1,16,Chart Recorder
736331,SILVER CITY - TBS #1,16,Chart Recorder
736341,STUART - TBS #1,16,Chart Recorder
736351,TREYNOR - TBS #1,16,Chart Recorder
736361,WALNUT - TBS #1,16,Chart Recorder
736371,UNDERWOOD - T.B.S. #1,16,Chart Recorder
736501,MINBURN - T.B.S. #1,16,Chart Recorder
736561,MONROE  IOWA T.B.S. #1,16,Chart Recorder
736761,PRAIRIE CITY  IOWA T.B.S. #1,16,Chart Recorder
736801,POLK CITY - T.B.S. #1,16,Chart Recorder
737011,AKRON - TBS #1,16,Chart Recorder
737021,ALCESTER - TBS #1,16,Chart Recorder
737031,ALTON - TBS #1,16,Chart Recorder
737041,ALVORD - TBS #1,16,Chart Recorder
