CINERGY PRICE CURVES W/ ILLINOIS BASIS . MID PRICES AND MID VOLS,,,,,,2018-12-04 00:00:00
,,,,,,
Start,2003-01-01 00:00:00,,JAN - DEC,NOV  - MAR,APR - OCT,
End,2017-12-31 00:00:00,,ALL-IN,32 MW DAILY CALLS,23  MW MONTHLY CALLS,
Years,15.008219178082191,,,,,
,,,,,,
,,Nominal MWh,3514512,1742592,1771920,
,,PV MWh,2282592,1135076,1147516,
,,Swap $/MWh,30.275,28.54,32.01,
,,Strike $/MWh,32.5,32.5,32.5,
,,Annuatized Cost ($/MWh),7.525,6.92,8.13,
,,Up-Front Cost ($/MWh),4.88,4.5,5.26,
,,Total PV Premium,17177070.210345775,,,
,,,,,,
,,,,,,
Month,Quantity,Price,Volitility,Prem. PV $/MWh,FV $/MWh,Total PV Premium
2003-01-01 00:00:00,32,29.283868314198795,0.45,4.443560726848239,4.600516356488434,105792.2937848029
2003-02-01 00:00:00,32,27.920634291598272,0.45,3.959768958658426,4.111537847665355,85150.87168699081
2003-03-01 00:00:00,32,26.725392754591095,0.45,3.560855145671072,3.708926365561304,84776.83930813688
2003-04-01 00:00:00,23,25.419214033793114,0.3,1.4380592785923925,1.502724005935911,23814.26165349002
2003-05-01 00:00:00,23,25.782721894972113,0.3,1.6318909846653635,1.7110326498980832,27924.918529593702
2003-06-01 00:00:00,23,31.96042325069471,0.33,4.81476453898247,5.065605600890798,79732.5007655497
2003-07-01 00:00:00,23,37.69937966470214,0.36,8.902346697463837,9.39971087626244,152336.9566870012
2003-08-01 00:00:00,23,37.42150615288285,0.36,8.826033430196537,9.353862936012277,151031.08405752314
2003-09-01 00:00:00,23,24.88427062845646,0.28,1.4401748234325555,1.5320212917967213,23849.29507604312
2003-10-01 00:00:00,23,24.26332781728944,0.28,1.3283926846671352,1.4185849645788764,22731.455620024022
2003-11-01 00:00:00,32,23.938038320813288,0.35,2.135675092275069,2.289578480682019,49205.95412601759
2003-12-01 00:00:00,32,26.21421188943546,0.35,3.0579116033322657,3.291543920376114,72802.75945213459
2004-01-01 00:00:00,32,28.962011797651048,0.35,4.358180516058751,4.7107543868877055,103759.56172632673
2004-02-01 00:00:00,32,28.107524737750342,0.35,4.044997853929111,4.390055954146561,90090.19220270915
2004-03-01 00:00:00,32,26.647228215068935,0.35,3.4760792129602276,3.788695470597986,82758.4939021571
2004-04-01 00:00:00,23,25.320109960733877,0.28,1.9988369810068456,2.187907666018142,33100.74040547336
2004-05-01 00:00:00,23,25.625112144680777,0.28,2.1567219469142342,2.3709294704088357,36905.825955596374
2004-06-01 00:00:00,23,32.45499473092582,0.31,5.789015371295645,6.391688563630456,95866.09454865588
2004-07-01 00:00:00,23,38.3872088105129,0.34,9.969808991534403,11.056594782183087,170603.37146313672
2004-08-01 00:00:00,23,38.63817415998506,0.34,10.188928751945966,11.350545244527105,174352.94880329937
2004-09-01 00:00:00,23,25.181941081329683,0.26,1.929982004935287,2.1596601436713483,31960.502001728353
2004-10-01 00:00:00,23,24.48996461278456,0.26,1.7573470838379286,1.9754578608786755,30071.72329863463
2004-11-01 00:00:00,32,25.147743158511002,0.35,3.395029133786234,3.8336691774917533,78221.47124243483
2004-12-01 00:00:00,32,27.00648938110836,0.35,4.240917407102708,4.811155812500173,100967.76162830128
2005-01-01 00:00:00,32,29.8846919006281,0.35,5.664404520722184,6.456508415903029,134858.14282935375
2005-02-01 00:00:00,32,28.582351534598306,0.35,5.085889697682539,5.822909224300069,109366.97205896532
2005-03-01 00:00:00,32,27.04959737713793,0.35,4.4252379179712396,5.090366074313884,105356.06435105928
2005-04-01 00:00:00,23,25.265491495864566,0.26,2.2479358830122935,2.5979695243251015,37225.81822268358
2005-05-01 00:00:00,23,26.02975692844365,0.26,2.5513816468910653,2.9626507274928153,43659.242741599905
2005-06-01 00:00:00,23,32.503435309962846,0.29,6.042843145007176,7.050132098305806,100069.48248131883
2005-07-01 00:00:00,23,37.639060646960914,0.32,9.607749937370711,11.263204930122054,164407.81692828762
2005-08-01 00:00:00,23,38.553656159161086,0.32,10.19314241909834,12.007562174275472,174425.05307561078
2005-09-01 00:00:00,23,24.937497864483817,0.24,2.002663777846984,2.370477312799128,33164.112161146055
2005-10-01 00:00:00,23,24.794022670675048,0.24,1.9875762027709747,2.3641388074766443,34011.40398181691
2005-11-01 00:00:00,32,25.470239967345535,0.3,3.265220439693414,3.9024813244631966,75230.67893053625
2005-12-01 00:00:00,32,27.13393016816189,0.3,3.9701093320287133,4.768314910200051,94520.3629769396
2006-01-01 00:00:00,32,29.956623102438325,0.35,6.261424649106779,7.5574579069189465,149071.9980459342
2006-02-01 00:00:00,32,28.532875841851624,0.35,5.613705112617579,6.806017071682243,120717.11474172841
2006-03-01 00:00:00,32,26.99583266399012,0.27,3.4600999437915503,4.215007963571145,82378.05946178923
2006-04-01 00:00:00,23,24.983202581732364,0.24,2.21740533734616,2.714158492299074,36720.232386452415
2006-05-01 00:00:00,23,26.50302500352137,0.24,2.761856111896832,3.397237815334698,47260.88178677859
2006-06-01 00:00:00,23,32.65144240118222,0.27,6.067334476821444,7.499630245014622,100475.05893616311
2006-07-01 00:00:00,23,38.43710593874195,0.3,9.889918888439338,12.285874666193738,169236.2920189739
2006-08-01 00:00:00,23,39.459464468937554,0.3,10.4957114217945,13.104869247666025,179602.61384974746
2006-09-01 00:00:00,23,24.693387566798165,0.22,1.9175861949903594,2.406290043488255,31755.227389040356
2006-10-01 00:00:00,23,25.00639628715865,0.22,2.032448525785378,2.5635354187692547,34779.259173239385
2006-11-01 00:00:00,32,25.42561922800526,0.25,2.7278505706371083,3.457904504861161,62849.67714747898
2006-12-01 00:00:00,32,26.96517737939166,0.27,3.6908462806033384,4.701357249098873,87871.66824860428
2007-01-01 00:00:00,32,30.112223586270026,0.33,6.292341142390203,8.054554360249984,149808.05791802594
2007-02-01 00:00:00,32,28.58527189712047,0.33,5.609478176890933,7.213254976756868,120626.21871586265
2007-03-01 00:00:00,32,26.914162219132606,0.25,3.353337147135015,4.333130944730694,79836.25079899044
2007-04-01 00:00:00,23,25.257599481414132,0.22,2.23045585508027,2.89623677191927,36936.34896012927
2007-05-01 00:00:00,23,26.79441599899116,0.22,2.756889831593323,3.5977432926392865,47175.898798224945
2007-06-01 00:00:00,23,32.67257720082205,0.25,5.8468609337359405,7.667888553767398,96824.01706266718
2007-07-01 00:00:00,23,39.195471714349374,0.28,9.917206020666047,13.071912173956337,169703.2294256374
2007-08-01 00:00:00,23,39.88096718540035,0.28,10.295279341521303,13.639964856218507,176172.82009211252
2007-09-01 00:00:00,23,24.53927253324233,0.2,1.7585115964691251,2.3415447786137342,29120.952037528717
2007-10-01 00:00:00,23,25.34111447474887,0.2,2.001828348080613,2.6792958407894742,34255.286692355454
2007-11-01 00:00:00,32,25.481196963198585,0.23,2.617020285120004,3.5205413482612524,60296.14736916491
2007-12-01 00:00:00,32,27.024351288000414,0.25,3.556701833173424,4.809642912632908,84677.95724419286
2008-01-01 00:00:00,32,30.366211933157754,0.32,6.413986595632477,8.719389601803403,152704.192868818
2008-02-01 00:00:00,32,28.894926727431432,0.32,5.767523188093139,7.880209768762699,128454.27644521039
2008-03-01 00:00:00,32,27.04690171606005,0.24,3.409151356545616,4.682528850759034,81165.07549663802
2008-04-01 00:00:00,23,25.771664600016038,0.21,2.397847791654985,3.310778272519527,39708.359429806565
2008-05-01 00:00:00,23,27.052697039584224,0.21,2.8275182253138658,3.925027380594564,48384.49187157088
2008-06-01 00:00:00,23,32.87768142257487,0.24,5.809594052776637,8.10744024381693,96206.8775139811
2008-07-01 00:00:00,23,40.50242491989729,0.27,10.287026393176095,14.433877070398475,176031.59564002932
2008-08-01 00:00:00,23,39.76118278109819,0.27,9.88105602377668,13.940643678611485,169084.63067886652
2008-09-01 00:00:00,23,24.892611695082127,0.19,1.834736565047752,2.6025174759900436,30383.237517190777
2008-10-01 00:00:00,23,25.62927136564434,0.19,2.0511072894954645,2.925521377766019,35098.547937846386
2008-11-01 00:00:00,32,25.23477124028172,0.22,2.5078192891505506,3.5961602009008686,57780.15642202868
2008-12-01 00:00:00,32,27.537210710844793,0.24,3.6857872172213146,5.311992869911412,87751.22206760506
