PULP & PAPER,,,,,,,,,
TRANSACTIONS/STATUS REPORT,,,,,,,,,
I.,,,,,,,,,
Active Projects,,,,,,,,,
,,,,,,,,,
Item #,PROJECT,,RESPONSIBLE ,,DEAL MAKER,,PROJECTED,,STATUS/COMMENTS
,,,ATTORNEY,,,,CLOSING,,
1,Skeena,,,,Burnett,,2000-01-01 00:00:00,,"Financing project for pulp mill, 4 saw mills."
,,,,,,,,,Mill located in B.C. Canada.  420k NBSK.
,,,,,,,,,2.4 million cubic meters of annual timber cut.
,,,,,,,,,
2,Pontiac,,,,Burnett,,4th qtr 99,,NBHK. Quebec Mill location. 
,,,,,,,,,210k /yr photo graphic pulp.. Jv. With Tembec.
,,,,,,,,,
,,,,,,,,,
3,Celgar,,,,Burnett,,Open,,420k/yr. NBSK. Pulp Mill Financing
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
4,Kenaf,,,,Robinson,,4th qtr 99,,Financing project for newsprint mill project.
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
5,Northbrook,,,,Burnett,,Open,,B.C. Pulp Mill and 4 Saw Mills. CanFor purchasing.
,,,,,,,,,Enron/Sodra possible J.V.
,,,,,,,,,
,,,,,,,,,
6,FSC,,,,Calger/Burnett,,Open,,Newsprint Project in Michigan.  
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
7,Smurfit Stone,,,,Burnett,,Open,,Newsprint mills. West coast
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
8,"Port Wentworth,Ga.",,,,Burnett,,Open,,Pulp Mill/Linerboard Machine.
,Millennium Fibre,,,,Anderson/Pratel,,Open,,Pulp Mill/ Energy Island Project.
,,,,,,,,,
,,,,,,,,,
9,Stora Enso,,,,Burnett,,Open,,Kemi Yarvi. Pulp Mill NBSK. Monetization project
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
10,Heritage Newsprint,,,,Burnett,,Open,,Recycled greenfield project. Ct. or RI
,,,,,,,,,"Hedging, subdebt possibilities."
,,,,,,,,,
,,,,,,,,,
11,Sappi,,,,Saverance,,Open,,Pulp mill monetization.
,,,,,,,,,Wisconsin location
,,,,,,,,,
,,,,,,,,,
12,Waste Management,,,,Moulton/Ajello,,Open,,Acquisition of Recycling Assets from Waste Mgmt.
,,,,,,,,,Possible J.V.
,,,,,,,,,
,,,,,,,,,
12,Re-Box Packaging,,,,Robinson/Moulton,,Open,,Greenfield Linerboard facility in Wisconsin.
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
13,Paperboard Industries,,,,Moulton,,Open,,Mill in France to monetize
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
14,Oconto Falls,,,,Robinson,,Q499,,Existing tissue mill in Wisconsin.  Restructure Enron
,,,,,,,,,investment.
,,,,,,,,,
,,,,,,,,,
15,City Forest,,,,Ondarza,,Open,,Existing tissue mill in ?????????.  Restructure Enron
,,,,,,,,,investment.
,,,,,,,,,
,,,,,,,,,
16,Bronx Papers,,,,Moulton/Pratel,,Open,,"Possible financing, hedging."
,,,,,Anderson,,Open,,Energy Island
,,,,,,,,,
,,,,,,,,,
17,Simpson Paper Mill,,,,Moulton,,Open,,Possible purchase of mill
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
18,National Gypsum,,,,Cordesman,,Open,,Assistance in financing construction of new gypsum
,,,,,,,,,facility
,,,,,,,,,
,,,,,,,,,
19,Georgia Pacific,,,,Ondarza/Ajello,,Open,,Various paper mill monetizations.
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
20,Drypers,,,,Ajello/Ondarza,,Open,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
21,Repap ,,,,Ajello/Burnett,,Open,,Sell Enron Investment in Debt Instrument.
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
22,Bakersfield Newsprint,,,,Ajello  ???,,Open,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
23,Lenox Polymers,,,,Anderson/Helfrich,,Open,,"Development project, possible investment, financing"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
24,Donohue Inc.,,,,Ajello/Anderson,,Open,,Cogen project/Energy Island
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
25,Bay State Paper,,,,Anderson/Cummings,,Open,,Cogen project.
