Vendor,Contact Point,Product Name,Area,Contact,# of User Instances,# of Server Instances,# of Other Instances,Total # Instances,List Cost ,List Cost Total,Enron Cost,Enron Cost Total,Instance/General Comments
Personic,Hillier,Personic,Human Resources,?,,,,5,,0,0,0,Do we need it or not
IBM,UBS,Lotus Notes,Legal,?,,,,20,,0,500,10000,171000
Allround Automations,Hillier,PL/SQL Developer 3.0.5.347,PL/SQL Developer,?,,,,4,200,800,200,800,
Microsoft,,Advanced Server,VMS,?,,,,6,,,,,
Microsoft,,Visual Studio Enterprise,VMS,?,,,,6,,,,,
Microsoft,,IIS,VMS,?,,,,6,,,,,
LIM,Market Data,LIM 3.x,LIM Rate Publication datastore,Arlene Odgen,,2,,6,13561.62,27123.24,0,0,
LIM,Market Data,LIM 4.x,LIM Rate Publication datastore,Arlene Odgen,,2,,2,,,,,
Bloomberg,Market Data,Bloomberg,Market Data,Arlene Odgen,,,,0,,0,1285,0,Monthly Cost Per User
CQG,Market Data,CQG,Market Data,Arlene Odgen,,,,0,349.99,0,400,0,Monthly Cost Per User
Intelligence Press,Market Data,Intelligence Press - NGI,Market Data,Arlene Odgen,,,,0,,0,147240,0,Yearly License Fee
New York Stock Exchange,Market Data,New York Stock Exchange,Market Data,Arlene Odgen,,,,0,549,0,549,0,Monthly Cost Per User
Pira,Market Data,Pira,Market Data,Arlene Odgen,,,,0,389.99,0,389.99,0,One Time License
Reuters,Market Data,Kobra I-Finance,Market Data,Arlene Odgen,,,,0,,0,0,0,
Toronto Stock Exchange,Market Data,Toronto Stock Exchange,Market Data,Arlene Odgen,,,,0,299,598,299,598,Monthly Cost Per User
ChartFX,Hillier,ChartFX,MKM - Data Services provider,Arlene Odgen,1,2,,2,1749,3498,1347.77,2695.54,
Tibco,UBS,Tibco RVD 6.5.7,MKM - Data Services provider,Arlene Odgen,1,2,,2,,,8000,,
Microsoft,,SQL Server 2000 Enterprise,MKM - Data Services provider,Arlene Odgen,,3,,3,,,,,
Tibco,,Tibco RVD 6.5.7,MKM - Data Services provider,Arlene Odgen,1,2,,4,,,8000,,
SUN Microsystems Inc.,McAuliffe,Java 1.3,MKM Security Broker,Arlene Odgen,1,0,0,Zero?,600,1800,600,1800,
Rational,McAuliffe,ClearCase,Phoenix,Arlene Odgen,,1,,1,,,1500,,
Iona,Hillier,Orbix 3.2,Phoenix - rate server,Arlene Odgen,,2,,2,200,400,0,,
Oracle,,Oracle 7.3.4,Phoenix - rate server,Arlene Odgen,,2,,4,,,,,
Perl,,Perl,PMI Harvesting,Steve Nat,,,,2,,,,,
MS,,MS Office 2000,PMI Harvesting,Steve Nat,,2,,2,,,,,
Symantec,,PC Anywhere 9.0,PMI Harvesting,Steve Nat,,4,,4,,,,,
MS,,Windows NT 4.0 SP 5,PMI Harvesting,Steve Nat,,2,,2,,,,,
Oracle,,Oracle 8.1.7.3,PMI Harvesting,Steve Nat,,3,,3,,,,,
MS,,Advanced Server 2000,PMI Harvesting,Steve Nat,,1,,1,,,,,
Allaire,UBS,J Run,EnronOnline,Bob Hillier,4,,,4,4995,49950,4995,49950,
Allround Automations,Hillier,PL/SQL Developer version 3,EnronOnline,Bob Hillier,5,,,5,600,2400,600,2400,
