,,,,,,,,,,,,,,,,,,,,,,,,,
,Average of Price,ZoneCode,,,,,,,,,,,,,,,,,,,,,,,
,DateTimeValue,AZ2,AZ3,AZ5,HUMB,II1,II2,LA1,LA2,LA3,LA4,LC1,LC2,LC3,MX,NP15,NV3,NW1,NW2,NW3,PAS,SF,SP15,SR2,SR3
,1999-05-21 00:00:00,21.81800079345703,21.81800079345703,21.81800079345703,21.81800079345703,21.81800079345703,,21.81800079345703,,,21.81800079345703,21.81800079345703,21.81800079345703,,21.81800079345703,21.81800079345703,,21.81800079345703,,21.81800079345703,21.81800079345703,21.81800079345703,21.81800079345703,,21.81800079345703
,1999-05-21 01:00:00,17.100000381469727,20.920000076293945,20.920000076293945,20.920000076293945,20.920000076293945,,20.920000076293945,,,,20.920000076293945,20.920000076293945,,,20.920000076293945,,20.920000076293945,,20.920000076293945,20.920000076293945,20.920000076293945,20.920000076293945,20.920000076293945,20.920000076293945
,1999-05-21 02:00:00,17.100000381469727,18.850000381469727,18.850000381469727,18.850000381469727,18.850000381469727,,18.850000381469727,,,,18.850000381469727,18.850000381469727,,,18.850000381469727,,18.850000381469727,,18.850000381469727,18.850000381469727,18.850000381469727,18.850000381469727,18.850000381469727,18.850000381469727
,1999-05-21 03:00:00,14.498100280761719,14.498100280761719,14.498100280761719,14.498100280761719,14.498100280761719,,14.498100280761719,,,,14.498100280761719,14.498100280761719,,,14.498100280761719,,14.498100280761719,,14.498100280761719,14.498100280761719,14.498100280761719,14.498100280761719,,14.498100280761719
,1999-05-21 04:00:00,13.999600410461426,13.999600410461426,13.999600410461426,13.999600410461426,13.999600410461426,,13.999600410461426,,,,13.999600410461426,13.999600410461426,,,13.999600410461426,,13.999600410461426,,13.999600410461426,13.999600410461426,13.999600410461426,13.999600410461426,,13.999600410461426
,1999-05-21 05:00:00,16.997800827026367,16.997800827026367,16.997800827026367,16.997800827026367,16.997800827026367,,16.997800827026367,,,,16.997800827026367,16.997800827026367,,,16.997800827026367,,16.997800827026367,,16.997800827026367,16.997800827026367,16.997800827026367,16.997800827026367,,16.997800827026367
,1999-05-21 06:00:00,19.361099243164062,19.361099243164062,19.361099243164062,19.361099243164062,19.361099243164062,,19.361099243164062,,,,19.361099243164062,19.361099243164062,,,19.361099243164062,,19.361099243164062,,19.361099243164062,19.361099243164062,19.361099243164062,19.361099243164062,,19.361099243164062
,1999-05-21 07:00:00,23.409500122070312,23.409500122070312,23.409500122070312,23.409500122070312,23.409500122070312,,23.409500122070312,,,,23.409500122070312,23.409500122070312,,,23.409500122070312,,23.409500122070312,,23.409500122070312,23.409500122070312,23.409500122070312,23.409500122070312,,23.409500122070312
,1999-05-21 08:00:00,25.743099212646484,25.743099212646484,25.743099212646484,25.743099212646484,25.743099212646484,,25.743099212646484,,,,25.743099212646484,25.743099212646484,,,25.743099212646484,,25.743099212646484,25.743099212646484,25.743099212646484,25.743099212646484,25.743099212646484,25.743099212646484,,25.743099212646484
,1999-05-21 09:00:00,26.98579978942871,26.98579978942871,26.98579978942871,26.98579978942871,26.98579978942871,,26.98579978942871,,,,26.98579978942871,26.98579978942871,,26.98579978942871,26.98579978942871,,26.98579978942871,26.98579978942871,26.98579978942871,26.98579978942871,26.98579978942871,26.98579978942871,,26.98579978942871
,1999-05-21 10:00:00,28.399999618530273,28.399999618530273,28.399999618530273,28.399999618530273,28.399999618530273,,28.399999618530273,,,,28.399999618530273,28.399999618530273,,28.399999618530273,28.399999618530273,,25.5,28.399999618530273,28.399999618530273,28.399999618530273,28.399999618530273,28.399999618530273,28.399999618530273,28.399999618530273
,1999-05-21 11:00:00,30.989999771118164,30.989999771118164,30.989999771118164,30.989999771118164,30.989999771118164,,30.989999771118164,,,,30.989999771118164,30.989999771118164,,30.989999771118164,30.989999771118164,,25.5,30.989999771118164,30.989999771118164,30.989999771118164,30.989999771118164,30.989999771118164,30.989999771118164,30.989999771118164
,1999-05-21 12:00:00,30.829999923706055,30.829999923706055,30.829999923706055,30.829999923706055,30.829999923706055,,30.829999923706055,,,,30.829999923706055,30.829999923706055,,30.829999923706055,30.829999923706055,,25.5,30.829999923706055,30.829999923706055,30.829999923706055,30.829999923706055,30.829999923706055,30.829999923706055,30.829999923706055
,1999-05-21 13:00:00,29.989999771118164,29.989999771118164,29.989999771118164,29.989999771118164,29.989999771118164,,29.989999771118164,,,,29.989999771118164,29.989999771118164,,29.989999771118164,29.989999771118164,,25.5,29.989999771118164,29.989999771118164,29.989999771118164,29.989999771118164,29.989999771118164,29.989999771118164,29.989999771118164
,1999-05-21 14:00:00,29.989999771118164,29.989999771118164,29.989999771118164,29.989999771118164,29.989999771118164,,29.989999771118164,,,,29.989999771118164,29.989999771118164,,29.989999771118164,29.989999771118164,,25.5,29.989999771118164,29.989999771118164,29.989999771118164,29.989999771118164,29.989999771118164,29.989999771118164,29.989999771118164
,1999-05-21 15:00:00,29.559999465942383,29.559999465942383,29.559999465942383,29.559999465942383,29.559999465942383,,29.559999465942383,,,,29.559999465942383,29.559999465942383,,29.559999465942383,29.559999465942383,,25.5,29.559999465942383,29.559999465942383,29.559999465942383,29.559999465942383,29.559999465942383,29.559999465942383,29.559999465942383
,1999-05-21 16:00:00,29.06999969482422,29.06999969482422,29.06999969482422,29.06999969482422,29.06999969482422,,29.06999969482422,,,,29.06999969482422,29.06999969482422,,29.06999969482422,29.06999969482422,,25.5,29.06999969482422,29.06999969482422,29.06999969482422,29.06999969482422,29.06999969482422,29.06999969482422,29.06999969482422
