,,,,,,,
,Sub-Region Name,Southern Subregion (STHRN),MWH,,,,
,,,,,,,
,,Data,,,,,
,Year,Sum of Residential Sales MWh,Sum of Commercial Sales MWh,Sum of Industrial Sales MWh,Sum of Pub St & Hwy Light MWh,Sum of Other Sales MWh,Sum of Total Retail Sales MWh
,1989,50835175,34961340,51707119,624585,770832,138899051
,1990,53581037,36714111,53143317,630964,879815,144949244
,1991,54420620,37179888,54215390,637449,877028,147330375
,1992,54776657,37954590,56482077,671682,831953,150716959
,1993,59990413,40645501,57370087,677126,951614,159634741
,1994,59041050,42487437,59226260,718502,931569,162404818
,1995,64291938,44856117,61272327,743724,893619,172057725
,1996,67089968,47518589,63417008,782370,1000621,179808556
,1997,65788917,49407160,64912179,789748,1069697,181967701
,1998,73388535,53201439,66714765,835711,1095856,195236306
,1999,73551665,55272170,68177915,851070,1309696,199162516
,2000,78501254,59102374,69378742,929731,1300238,209212339
,Grand Total,755257229,539300716,726017186,8892662,11912538,2041380331
,,,,,,,
,,,% of Total,,,,
,1989,0.3659864817938893,0.2517032315793144,0.37226401928404823,0.004496682990296312,0.005549584352451767,1
,1990,0.3696537872249958,0.2532894272977374,0.36663397154385985,0.004352999592050304,0.00606981434135662,1
,1991,0.3693781407941166,0.2523572481234776,0.36798514902307145,0.0043266637989620264,0.005952798260372309,1
,1992,0.36344056676462005,0.25182693607824186,0.37475594899708664,0.0044565787716032675,0.005519969388448184,1
,1993,0.3757979787119146,0.25461563532714976,0.3593834690407397,0.004241720791841921,0.00596119612835404,1
,1994,0.3635424781548045,0.26161438757315686,0.3646828999863785,0.004424142145832152,0.005736092139828019,1
,1995,0.373664931347895,0.2607038829555604,0.35611494340053607,0.00432252605920484,0.005193716236803665,1
,1996,0.3731188853994245,0.26427323625245064,0.3526918262999676,0.004351127762796783,0.005564924285360481,1
,1997,0.3615417276717696,0.27151609724409276,0.35672363086018216,0.004340044940173202,0.005878499283782235,1
,1998,0.3758959411985597,0.2724976726408663,0.34171290354161893,0.0042805102038757075,0.005612972415079396,1
,1999,0.36930475913449495,0.27752295517295034,0.34232302528252856,0.004273243866832853,0.006576016543193298,1
,2000,0.37522286866646043,0.2824994657700376,0.331618786595565,0.004443958728457216,0.006214920239479757,1
,TOTAL,0.36997379544164916,0.2641843402771573,0.3556501328904006,0.004356200490892258,0.005835530899900691,1
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Sub-Region Name,Tennessee Valley Authority (TVA),MWH,,,,
,,,,,,,
,,Data,,,,,
,Year,Sum of Residential Sales MWh,Sum of Commercial Sales MWh,Sum of Industrial Sales MWh,Sum of Pub St & Hwy Light MWh,Sum of Other Sales MWh,Sum of Total Retail Sales MWh
,1989,37388443,13940993,49701169,738101,554739,102323445
,1990,37995227,15252412,50715253,738102,529296,105230290
,1991,39196704,15207072,51583557,758505,551918,107297756
,1992,39065201,8766461,58434093,1030272,227460,107523487
,1993,39853260,6698118,61433885,1118248,177959,109281470
,1994,43356367,6702856,65579150,1140739,195389,116974501
,1995,40930301,6729263,70290213,1164548,268145,119382470
,1996,46721346,7206379,72768775,1201573,175025,128073098
,1997,44237239,28103851,52949456,1184213,280610,126755369
,1998,47191445,32210666,52196392,1307898,104077,133010478
,1999,47021965,32696265,54194113,1332253,91548,135336144
,2000,48735839,33462815,54388529,1380366,85242,138052791
,Grand Total,511693337,206977151,694234585,13094818,3241408,1429241299
,,,,,,,
,,,% of Total,,,,
,1989,0.3653946854506316,0.13624436706563192,0.48572611096117807,0.0072134103772600695,0.005421426145298372,1
,1990,0.3610673979896853,0.14494317178067265,0.481945388537844,0.0070141591361194576,0.005029882555678598,1
,1991,0.36530777027620226,0.14172777294615554,0.4807514986613513,0.007069159955218448,0.005143798161072446,1
,1992,0.3633178395711813,0.08153066129635472,0.5434542222389048,0.009581832107063268,0.00211544478649581,1
,1993,0.36468451604832913,0.06129234901397282,0.5621619566427868,0.010232732045057593,0.0016284462498537035,1
,1994,0.37064801840872996,0.05730185589763704,0.5606277388607966,0.009752031342283734,0.001670355490552595,1
,1995,0.34285017724964145,0.05636726229571226,0.5887816946658919,0.009754765502841415,0.0022461002859129986,1
,1996,0.36480218507715023,0.056267702683353536,0.5681815786169239,0.009381931246794702,0.0013666023757776204,1
,1997,0.3489969643810512,0.22171724339345342,0.417729492783852,0.009342507614016728,0.0022137918276266466,1
,1998,0.354794943297625,0.2421663803057681,0.39242315932433536,0.009833044882373854,0.0007824721898977012,1
,1999,0.34744572743257707,0.24159299972371018,0.40044079429365154,0.009844029544686895,0.0006764490053743514,1
,2000,0.35302320689771494,0.24239144140157223,0.3939690650658414,0.0099988271877821,0.0006174594470893384,1
,TOTAL,0.35801745818429503,0.14481610008388093,0.48573644316445125,0.009162076417160683,0.0022679221502120896,1
