Phone numbers,,,,,
,,,,,
NORTHWEST,,,,,
,,,,,
,PHONE,NAME,AOL IM,AOL IM,AOL IM
,,,,,
AEP,614/324-5035,"Marva, Amy",,,
AVISTA,509/495-8712,"Heather, Erin",hbare13,emmclure21,KattieHaHa
BPA  (MIDC),503/230-3813,Shauna,,,
BPA  (COB),503/230-3915,Stanley,,,
CRC,702/486-2675,Bill,,,
SPP,775/834-3018,"John Perry, John Hughes",sppcoperry,sppcohughes,
EWEB (FOR CLATSKANIE AND MCMINNVILLE),541/984-4730,"Katrina, Teresa",EWEB Kat,,
DOUGLAS,509/884-7191,Carol,,,
GRANT,509/754-5060,Dorothy,,,
Intel and Airproducts don't have to be called,,,,,
,,,,,
SOUTHWEST,,,,,
,,,,,
,PHONE,NAME,AOL IM,AOL IM,AOL IM
,,,,,
CRC,702/486-2675,Bill,,,
DETM,801/531-5123,David,,,
EL PASO ELECTRIC (LES WILL HANDLE),,,,,
NEVADA POWER,702/8627194,"Tim Shuster, Rick",,,
SPP,775/834-3018,"John Perry, John Hughes",sppcoperry,sppcohughes,
Valley Electric (E-mail Schedules to Nevada Power CA),,,,,
PNM,505/241-4183,"Janelle, Barbara",,,
