POSITIVE VARIANCE = LONG POSITION,,,,,,,,,,,,,,,,,,,
NEGATIVE VARIANCE = SHORT POSITION,,,,,,,,,,,,,,,,,,,
NP15,2001-05-31 00:00:00,,,,,,SP15,2001-05-31 00:00:00,,,,,,ZP26,2001-05-31 00:00:00,,,,
Fixed Peak Long,156.67,Fixed Off Peak Long,77.87,,,,Fixed Peak Long,152.45,,Fixed Off Peak Long,44.6,,,Fixed Peak Long,152.45,,Fixed Off Peak Long,44.6,
Fixed Peak Short Pos,166.67,Fixed Off Peak Short,87.87,,,,Fixed Peak Short,162.45,,Fixed Off Peak Short,54.6,,,Fixed Peak Short,162.45,,Fixed Off Peak Short,54.6,
Index Peak,,Index Off Peak,,,,,Index Peak,,,Index Off Peak,,,,Index Peak,,,Index Off Peak,,
HE,Fixed ,Transmission from SP,Other EnPower,Load,var,,HE,Fixed,Transmission to NP/ZP,Other EnPower,Load,var,,HE,Fixed,Transmission from SP,Other EnPower,Load,var
1,,-8.01,57,-48.99,0,,1,-6,6.13,121,-107.8,13.329999999999998,,1,,1.88,,-1.88,0
2,,-9.01,57,-47.99,0,,2,-6,7.17,121,-105.76,16.409999999999997,,2,,1.84,,-1.84,0
3,,-9.53,57,-47.47,0,,3,-6,7.7,121,-104.75,17.950000000000003,,3,,1.83,,-1.83,0
4,,-9.89,57,-47.11,0,,4,-6,8.08,121,-104.13,18.950000000000003,,4,,1.81,,-1.81,0
5,,-9.97,57,-47.03,0,,5,-6,8.16,121,-107,16.159999999999997,,5,,1.81,,-1.81,0
6,,-8.73,57,-48.27,0,,6,-6,6.88,121,-115.16,6.719999999999999,,6,,1.85,,-1.85,0
7,,-6.52,57,-50.48,0,,7,,4.59,146,-124.05,26.540000000000006,,7,,1.93,,-1.93,0
8,,-4.53,57,-52.47,0,,8,,2.53,146,-130.9,17.629999999999995,,8,,2,,-2,0
9,,-3.78,57,-53.22,0,,9,,1.75,146,-138.08,9.669999999999987,,9,,2.03,,-2.03,0
10,,-1.98,57,-55.02,0,,10,,-0.11,146,-140.03,5.859999999999985,,10,,2.09,,-2.09,0
11,,-1.27,57,-55.73,0,,11,,-0.86,146,-144.33,0.8099999999999739,,11,,2.13,,-2.13,0
12,,-0.3299999999999983,57,-56.67,0,,12,,-1.83,146,-146.12,-1.950000000000017,,12,,2.16,,-2.16,0
13,,0.4099999999999966,57,-57.41,0,,13,,-2.6,146,-147.59,-4.189999999999998,,13,,2.19,,-2.19,0
14,,0.5900000000000034,57,-57.59,0,,14,,-2.78,146,-148.86,-5.640000000000015,,14,,2.19,,-2.19,0
15,,1.32,57,-58.32,0,,15,,-3.54,146,-148.1,-5.639999999999986,,15,,2.22,,-2.22,0
16,,2.75,57,-59.75,0,,16,,-5.02,146,-145.28,-4.300000000000011,,16,,2.27,,-2.27,0
17,,3.73,57,-60.73,0,,17,,-6.03,146,-144.39,-4.4199999999999875,,17,,2.3,,-2.3,0
18,,4.29,57,-61.29,0,,18,,-6.6,146,-143.7,-4.299999999999983,,18,,2.31,,-2.31,0
19,,3.29,57,-60.29,0,,19,,-5.56,146,-139.67,0.7700000000000102,,19,,2.27,,-2.27,0
20,,0.6300000000000026,57,-57.63,0,,20,,-2.8,146,-139.62,3.579999999999984,,20,,2.17,,-2.17,0
21,,0.259999999999998,57,-57.26,0,,21,,-2.41,146,-137.4,6.189999999999998,,21,,2.15,,-2.15,0
22,,0.07000000000000028,57,-57.07,0,,22,,-2.21,146,-129.3,14.48999999999998,,22,,2.14,,-2.14,0
23,,-2.58,57,-54.42,0,,23,-6,0.53,121,-119.87,-4.340000000000003,,23,,2.05,,-2.05,0
24,,-5.46,57,-51.54,0,,24,-6,3.5,121,-112.49,6.010000000000005,,24,,1.96,,-1.96,0
,0,-64.25,1368,-1303.7500000000002,0,,,-48,14.669999999999996,3304,-3124.379999999999,146.2899999999999,,,0,49.580000000000005,0,-49.580000000000005,0
