Broker Report for 11/06/2001,,,,,,,,,,,,,,,,,,,,,,
Seller CP Name     ,Buyer CP Name     ,Deal No.   ,Originator ,Broker       ,Type        ,Deal Date ,Status       ,Brk ,Stmt ,CP ,Trd ,Retro ,Quantity             ,Comm   ,Delivery Ref    ,Index        ,Beg Date ,End Date ,N ,Premium   ,Price ,Broker Fee 
Enron North America Corp.,Aquila Risk Management Corporation,YH3687.1  ,          ,Prebon Yaman,Swap       ,2001-11-06 00:00:00,New deal    ,No ,Yes,No ,No ,N,10000 MMBtu/day     ,NG    ,IF-ELPO/PERMIAN,NX1         ,2001-12-01 00:00:00,2002-03-31 00:00:00,F,        ,US -0.2200,302.5
AEP Energy Services  Inc.,Enron North America Corp.,YH3760.1  ,          ,APB         ,Swap       ,2001-11-06 00:00:00,New deal    ,No ,No ,No ,No ,N,20000 MMBtu/day     ,NG    ,IF-ELPO/PERMIAN,NX1         ,2001-12-01 00:00:00,2001-12-31 00:00:00,F,        ,US -0.2450,155
Dynegy Marketing and Trading Sarl,Enron North America Corp.,YH5049.1  ,          ,TFS Energy  ,Swap       ,2001-11-06 00:00:00,New deal    ,No ,No ,No ,No ,N,30000 MMBtu/day     ,NG    ,IF-ELPO/PERMIAN,NX1         ,2002-03-01 00:00:00,2002-03-31 00:00:00,F,        ,US -0.2000,232.5
Enron North America Corp.,BP Corporation North America Inc.,YH5776.1  ,          ,NatSource LL,Swap       ,2001-11-06 00:00:00,New deal    ,No ,ANE,No ,No ,N,5000 MMBtu/day      ,NG    ,IF-ELPO/SJ     ,NX1         ,2002-11-01 00:00:00,2003-03-31 00:00:00,F,        ,US -0.2250,188.75
BP Corporation North America Inc.,Enron North America Corp.,YH5792.1  ,          ,NatSource LL,Swap       ,2001-11-06 00:00:00,New deal    ,No ,Yes,No ,No ,N,10000 MMBtu/day     ,NG    ,IF-ELPO/SJ     ,NX1         ,2002-01-01 00:00:00,2002-03-31 00:00:00,F,        ,US -0.2800,225
Mirant Americas Energy Marketing  L.P.,Enron North America Corp.,YH5800.1  ,          ,Amerex Natur,Swap       ,2001-11-06 00:00:00,New deal    ,No ,No ,No ,No ,N,10000 MMBtu/day     ,NG    ,IF-ELPO/SJ     ,NX1         ,2001-12-01 00:00:00,2002-03-31 00:00:00,F,        ,US -0.3000,302.5
Mirant Americas Energy Marketing  L.P.,Enron North America Corp.,YH6115.1  ,          ,TFS Energy  ,Swap       ,2001-11-06 00:00:00,New deal    ,No ,No ,No ,No ,N,5000 MMBtu/day      ,NG    ,IF-NWPL_ROCKY_M,NX1         ,2001-12-01 00:00:00,2002-03-31 00:00:00,F,        ,US -0.4350,151.25
Aquila Risk Management Corporation,Enron North America Corp.,YH6341.1  ,May Larry ,GFI Group  I,OPT/Put    ,2001-11-06 00:00:00,New deal    ,No ,No ,No ,No ,N,50000 MMBtu/day     ,NG    ,IF-NWPL_ROCKY_M,NX1         ,2001-12-01 00:00:00,2001-12-31 00:00:00,F,0.08,US -0.6000,775
Enron North America Corp.,CMS Energy Corporation,YH6529.1  ,          ,TFS Energy  ,Swap       ,2001-11-06 00:00:00,New deal    ,No ,No ,No ,No ,N,10000 MMBtu/day     ,NG    ,IF-NWPL_ROCKY_M,NX1         ,2002-11-01 00:00:00,2003-03-31 00:00:00,F,        ,US -0.2850,377.5
Aquila Risk Management Corporation,Enron North America Corp.,YH4451.1  ,Lenhart Ma,TFS Energy  ,Swap       ,2001-11-06 00:00:00,New deal    ,No ,No ,No ,No ,N,10000 MMBtu/day     ,NG    ,NGI-MALIN      ,NX1         ,2001-12-01 00:00:00,2001-12-31 00:00:00,F,        ,US -0.1400,77.5
BP Corporation North America Inc.,Enron North America Corp.,YH4507.1  ,Lenhart Ma,TFS Energy  ,Swap       ,2001-11-06 00:00:00,New deal    ,No ,No ,No ,No ,N,10000 MMBtu/day     ,NG    ,NGI-MALIN      ,NX1         ,2001-12-01 00:00:00,2001-12-31 00:00:00,F,        ,US -0.1500,77.5
Enron North America Corp.,Mirant Americas Energy Marketing  L.P.,YH5996.1  ,          ,Prebon Yaman,Swap       ,2001-11-06 00:00:00,New deal    ,No ,Yes,No ,No ,N,10000 MMBtu/day     ,NG    ,NGI-SOCAL      ,NX1         ,2001-12-01 00:00:00,2002-03-31 00:00:00,F,        ,US -0.1200,302.5
Enron North America Corp.,Mirant Americas Energy Marketing  L.P.,YH6008.1  ,          ,Amerex Natur,Swap       ,2001-11-06 00:00:00,New deal    ,No ,No ,No ,No ,N,10000 MMBtu/day     ,NG    ,NGI-SOCAL      ,NX1         ,2001-12-01 00:00:00,2002-03-31 00:00:00,F,        ,US -0.1200,302.5
Enron North America Corp.,Williams Energy Marketing & Trading Company,YH6370.1  ,May Larry ,Amerex Natur,OPT/Call   ,2001-11-06 00:00:00,New deal    ,No ,No ,No ,No ,N,5000 MMBtu/day      ,NG    ,NGI-SOCAL      ,NX1         ,2002-01-01 00:00:00,2002-12-31 00:00:00,F,0.06,US 1.00000,912.5
Enron North America Corp.,El Paso Merchant Energy  L.P.,YH6403.1  ,May Larry ,Amerex Natur,OPT/Call   ,2001-11-06 00:00:00,New deal    ,No ,No ,No ,No ,N,5000 MMBtu/day      ,NG    ,NGI-SOCAL      ,NX1         ,2002-01-01 00:00:00,2002-12-31 00:00:00,F,0.06,US 1.00000,912.5
