OPTIONS MARKET UPDATE,OPTIONS MARKET UPDATE,OPTIONS MARKET UPDATE,OPTIONS MARKET UPDATE,OPTIONS MARKET UPDATE,OPTIONS MARKET UPDATE,OPTIONS MARKET UPDATE,OPTIONS MARKET UPDATE,OPTIONS MARKET UPDATE,OPTIONS MARKET UPDATE,OPTIONS MARKET UPDATE,OPTIONS MARKET UPDATE,OPTIONS MARKET UPDATE,OPTIONS MARKET UPDATE,OPTIONS MARKET UPDATE,,,,,,
2001-10-26 00:00:00,2001-10-26 00:00:00,2001-10-26 00:00:00,2001-10-26 00:00:00,2001-10-26 00:00:00,2001-10-26 00:00:00,2001-10-26 00:00:00,2001-10-26 00:00:00,2001-10-26 00:00:00,2001-10-26 00:00:00,2001-10-26 00:00:00,2001-10-26 00:00:00,2001-10-26 00:00:00,2001-10-26 00:00:00,2001-10-26 00:00:00,,,,,Note:,
,,,,Today,Today,Today,Today,Today,,2001-10-19 00:00:00,2001-10-19 00:00:00,2001-10-19 00:00:00,2001-10-19 00:00:00,2001-10-19 00:00:00,2001-10-12 00:00:00,,,,d Straddle,Daily Straddle
CINERGY,,,,,,,,,,,,,,,,,,,m Straddle,Monthly Staddle
Term,Strike,Option,,Price,Price,,Vol,Vol,,Price,Price,,Vol,Vol,Vol,,,,dc,Daily Call
Nov,25,dp,,2.25,3.25,,0.9,1.1,,3,3.75,,0.82,0.97,,,,,dp,Daily Put
Winter,ATM,d Straddle,,9,10.0,,0.77,0.83,,9,10.0,,0.8,0.85,0.9,,,,ATM,At-the-money
Winter,ATM,m Straddle,,5.75,6.5,,0.53,0.58,,5.5,6.5,,0.5,0.55,0.53,,,,1 x Straddle,1-time-strike Straddle (or Swaption)
Summer,ATM,d Straddle,,28.5,29.5,,0.86,0.9,,28,29.5,,0.84,0.9,0.94,,,,,
Summer,100,dc,,6.5,8.0,,0.98,1.08,,6.5,7.5,,0.96,1.02,1.06,,,,,
Summer,50,dp,,14,15.0,,0.84,0.9,,14,15.0,,0.84,0.9,0.9,,,,,
Summer,ATM,m Straddle,,13.5,14.5,,0.42,0.45,,13.5,14.0,,0.43,0.45,0.42,,,,,
Summer-03,100,dc,,6.5,8.0,,0.7,0.77,,6.5,8.0,,0.7,0.77,0.8,,,,,
Cal02,50,dc,,3,4.5,,,,,3,4.5,,,,,,,,,
PJM (W),,,,,,,,,,,,,,,,,,,,
Term,Strike,Option,,Price,Price,,Vol,Vol,,Price,Price,,Vol,Vol,Vol,,,,,
Nov,30,dc,,1,2.0,,0.8,0.8,,1,1.75,,0.75,0.85,0.8,,,,,
Winter,ATM,d Straddle,,10.5,11.25,,0.75,0.82,,10.5,11.25,,0.75,0.82,0.78,,,,,
Winter,50,dc,,2.5,3.5,,0.9,1.0,,2.25,2.75,,0.86,0.94,0.94,,,,,
ENTERGY,,,,,,,,,,,,,,,,,,,,
Term,Strike,Option,,Price,Price,,Vol,Vol,,Price,Price,,Vol,Vol,Vol,,,,,
Winter,ATM,m Straddle,,4.5,5.5,,0.45,0.54,,4.2,4.7,,0.42,0.48,0.55,,,,,
Summer,50,dc,,8.5,10.0,,0.69,0.79,,8.5,10.0,,0.69,0.79,0.92,,,,,
ERCOT,,,,,,,,,,,,,,,,,,,,
Term,Strike,Option,,Price,Price,,Vol,Vol,,Price,Price,,Vol,Vol,Vol,,,,,
Winter,ATM,m Straddle,,5.5,7.0,,0.6,0.68,,4,5.0,,0.42,0.5,0.53,,,,,
Mar/April,ATM,m Straddle,,5.25,6.5,,0.39,0.47,,4.5,5.5,,0.37,0.43,0.43,,,,,
Summer-02,ATM,m Straddle,,11.5,12.5,,0.43,0.47,,,,,,,,,,,,
Sep-02,ATM,m Straddle,,8.25,8.75,,0.38,0.42,,,,,,,,,,,,
Cal-02,ATM,m Straddle,,3.5,4.0,,0.42,0.48,,,,,,,,,,,,
NEPOOL,,,,,,,,,,,,,,,,,,,,
,Strike,Option,,Price,Price,,Vol,Vol,,Price,Price,,Vol,Vol,Vol,,,,,
Nov,35,dp,,0.75,0.9,,0.68,0.68,,,,,,,,,,,,
NY Zone G,,,,,,,,,,,,,,,,,,,,
,Strike,Option,,Price,Price,,Vol,Vol,,Price,Price,,Vol,Vol,Vol,,,,,
Dec,50,dc,,2.5,3.5,,0.85,0.85,,,,,,,,,,,,
NY Zone A,,,,,,,,,,,,,,,,,,,,
Term,Strike,Option,,Price,Price,,Vol,Vol,,Price,Price,,Vol,Vol,Vol,,,,,
Winter,ATM,d Straddle,,9.5,11.5,,0.76,0.76,,,,,,,,,,,,
Market Summary,,,,,,,,,,,,,,,,,,,,
- Vols are a little bit firmer relative to last week,,,,,,,,,,,,,,,,,,,,
