Dates,SOCAL.AVG - Mid*,,,,
,"California, Southern California Border Average, Natural Gas Intelligence",,,,
SoCal Date,SoCal Price,SJ Date,SJ Price,,SoCal-SJ Spread
1996-06-30 00:00:00,1.64,1996-06-28 00:00:00,1.195,,0.44499999999999984
1996-07-31 00:00:00,2.19,1996-07-31 00:00:00,1.45,,0.74
1996-08-31 00:00:00,1.64,1996-08-30 00:00:00,1.955,,-0.31500000000000017
1996-09-30 00:00:00,1.755,1996-09-30 00:00:00,1.575,,0.17999999999999994
1996-10-31 00:00:00,2.795,1996-10-31 00:00:00,1.565,,1.23
1996-11-30 00:00:00,3.71,1996-11-29 00:00:00,2.515,,1.1949999999999998
1996-12-31 00:00:00,3.38,1996-12-31 00:00:00,3.32,,0.06000000000000005
1997-01-31 00:00:00,2.635,1997-01-31 00:00:00,3.715,,-1.08
1997-02-28 00:00:00,1.73,1997-02-28 00:00:00,2.515,,-0.7850000000000001
1997-03-31 00:00:00,1.845,1997-03-31 00:00:00,1.48,,0.365
1997-04-30 00:00:00,2.075,1997-04-30 00:00:00,1.57,,0.5050000000000001
1997-05-31 00:00:00,2.23,1997-05-30 00:00:00,1.91,,0.32000000000000006
1997-06-30 00:00:00,2.05,1997-06-30 00:00:00,2.005,,0.04499999999999993
1997-07-31 00:00:00,2.27,1997-07-31 00:00:00,1.945,,0.32499999999999996
1997-08-31 00:00:00,2.625,1997-08-29 00:00:00,1.975,,0.6499999999999999
1997-09-30 00:00:00,2.985,1997-09-30 00:00:00,2.315,,0.6699999999999999
1997-10-31 00:00:00,3.225,1997-10-31 00:00:00,2.85,,0.375
1997-11-30 00:00:00,2.115,1997-11-28 00:00:00,3.11,,-0.9949999999999997
1997-12-31 00:00:00,2.32,1997-12-31 00:00:00,2.21,,0.10999999999999988
1998-01-31 00:00:00,2.13,1998-01-30 00:00:00,2.09,,0.040000000000000036
1998-02-28 00:00:00,2.39,1998-02-27 00:00:00,1.82,,0.5700000000000001
1998-03-31 00:00:00,2.425,1998-03-31 00:00:00,2.005,,0.41999999999999993
1998-04-30 00:00:00,2.4,1998-04-30 00:00:00,2.08,,0.31999999999999984
1998-05-31 00:00:00,2.09,1998-05-29 00:00:00,2.01,,0.08000000000000007
1998-06-30 00:00:00,2.17,1998-06-30 00:00:00,1.755,,0.41500000000000004
1998-07-31 00:00:00,2.315,1998-07-31 00:00:00,1.89,,0.42500000000000004
1998-08-31 00:00:00,1.99,1998-08-31 00:00:00,1.815,,0.17500000000000004
1998-09-30 00:00:00,2.08,1998-09-30 00:00:00,1.62,,0.45999999999999996
1998-10-31 00:00:00,2.385,1998-10-30 00:00:00,1.705,,0.6799999999999997
1998-11-30 00:00:00,2.175,1998-11-30 00:00:00,1.93,,0.24499999999999988
1998-12-31 00:00:00,2.01,1998-12-31 00:00:00,1.96,,0.04999999999999982
1999-01-31 00:00:00,1.86,1999-01-29 00:00:00,1.735,,0.125
1999-02-28 00:00:00,1.725,1999-02-26 00:00:00,1.635,,0.09000000000000008
1999-03-31 00:00:00,1.79,1999-03-31 00:00:00,1.495,,0.29499999999999993
1999-04-30 00:00:00,2.23,1999-04-30 00:00:00,1.6,,0.6299999999999999
1999-05-31 00:00:00,2.25,1999-05-31 00:00:00,2.01,,0.2400000000000002
1999-06-30 00:00:00,2.42,1999-06-30 00:00:00,1.945,,0.47499999999999987
1999-07-31 00:00:00,2.585,1999-07-30 00:00:00,2.065,,0.52
1999-08-31 00:00:00,2.895,1999-08-31 00:00:00,2.255,,0.6400000000000001
1999-09-30 00:00:00,2.795,1999-09-30 00:00:00,2.63,,0.16500000000000004
1999-10-31 00:00:00,3.14,1999-10-29 00:00:00,2.35,,0.79
1999-11-30 00:00:00,2.43,1999-11-30 00:00:00,2.825,,-0.395
1999-12-31 00:00:00,2.38,1999-12-31 00:00:00,2.06,,0.31999999999999984
2000-01-31 00:00:00,2.56,2000-01-31 00:00:00,2.2,,0.3599999999999999
2000-02-29 00:00:00,2.6,2000-02-29 00:00:00,2.37,,0.22999999999999998
2000-03-31 00:00:00,2.98,2000-03-31 00:00:00,2.4,,0.5800000000000001
2000-04-30 00:00:00,3.055,2000-04-28 00:00:00,2.735,,0.3200000000000003
2000-05-31 00:00:00,4.75,2000-05-31 00:00:00,2.79,,1.96
2000-06-30 00:00:00,4.735,2000-06-30 00:00:00,3.835,,0.9000000000000004
2000-07-31 00:00:00,4.44,2000-07-31 00:00:00,4.11,,0.33000000000000007
2000-08-31 00:00:00,5.785,2000-08-31 00:00:00,3.485,,2.3000000000000003
2000-09-30 00:00:00,5.91,2000-09-29 00:00:00,3.475,,2.435
2000-10-31 00:00:00,5.155,2000-10-31 00:00:00,4.515,,0.6400000000000006
2000-11-30 00:00:00,17.25,2000-11-30 00:00:00,4.39,,12.86
2000-12-31 00:00:00,13.65,2000-12-29 00:00:00,6.12,,7.53
2001-01-31 00:00:00,11,2001-01-31 00:00:00,8.935,,2.0649999999999995
2001-02-28 00:00:00,11.94,2001-02-28 00:00:00,6.375,,5.5649999999999995
2001-03-31 00:00:00,13.875,2001-03-30 00:00:00,4.81,,9.065000000000001
2001-04-30 00:00:00,13.525,2001-04-30 00:00:00,4.595,,8.93
2001-05-31 00:00:00,10.05,2001-05-31 00:00:00,4.645,,5.405000000000001
2001-06-30 00:00:00,4.075,2001-06-29 00:00:00,3.215,,0.8600000000000003
2001-07-31 00:00:00,4.005,,,,
