,Transwestern Red Rock Expansion,,,,,,,,
,,,,,,,,,
,Shipper,Binding?,$Bid/mmbtu,Term,Receipt,Delivery,Volume,ROFR?,Gross Value ($)
,,,,,,,,,
1,PPL,yes,0.35,"30 years, 1 month",EOT,Citizens/Griffith,8000,yes,30323999.999999996
2,PPL,yes,0.4,"30 years, 1 month",EOT,SoCal Needles,12000,yes,51984000
3,Western,yes,0.38,15 years,EOT,SoCal Needles,5000,yes,10260000
4,Western,yes,0.39,15 years,EOT,SoCal Needles,5000,yes,10530000
5,Dynegy,no,0.55,5 years,EOT,SoCal Needles,30000,no,29700000.000000004
6,Aquila,no,0.63,5 years,EOT,SoCal Needles,50000,yes,56700000
7,AEP,yes,0.63,2 years,EOT,SoCal Needles,20000,no,9072000
8,AEP,yes,0.63,1 year,EOT,PG&E Topock,10000,no,2268000
9,Oneok,yes,1.75,22 months,EOT,SoCal Needles,50000,no,26250000
,Oneok,yes,0.75, ,EOT,SoCal Needles,50000,no,13500000
10,Calpine,no,0.38,15 years,EOT,PG&E Topock,40000,no,82080000
11,US Gypsum,yes,0.42,"12 years, 3 months",EOT,SoCal Needles,4500,yes,8334899.999999999
12,Conoco Inc,yes,0.84,2 years,EOT,SoCal Needles,50000,no,30239999.999999996
13,Conoco Canada,yes,0.84,2 years,EOT,SoCal Needles,50000,no,30239999.999999996
14,Conoco Lobo,yes,0.84,2 years,EOT,SoCal Needles,50000,no,30239999.999999996
15,Conoco Lobo Pipeline,yes,0.81,2 years,EOT,SoCal Needles,50000,no,29160000.000000004
16,Conoco Raptor Energy,yes,0.81,2 years,EOT,SoCal Needles,50000,no,29160000.000000004
17,Conoco Raptor Pipeline,yes,0.84,2 years,EOT,SoCal Needles,50000,no,30239999.999999996
18,BP Energy,yes,1.12,7 months,EOT,SoCal Needles,15000,no,3528000.0000000005
 ,BP Energy,yes,0.76,12 months,EOT,SoCal Needles,15000,no,4104000.0000000005
 ,BP Energy,yes,0.43,12 months,EOT,SoCal Needles,15000,no,2322000
 ,BP Energy,yes,0.38,29 months,EOT,SoCal Needles,15000,no,4959000
19,BP Energy,yes,98% Index Spread,5 years,EOT,SoCal Needles,50000,no,"appx $54,000,000"
20,Frito Lay,yes,0.38,15 years,EOT,SoCal Needles,2700,no,5540400
21,Frito Lay,yes,2.2,1 year,EOT,SoCal Needles,3300,no,2613600.0000000005
22,Frito Lay,yes,2.2,1 year,EOT,PG&E Topock,2000,no,1584000.0000000002
23,Newark Group,yes,0.65,5 years,EOT,SoCal Needles,800,no,936000
24,Newark Group,yes,0.15,5 years,EOT,PG&E Topock,1500,no,405000
,,,,,,,,,
,,,,,,,704800,,"appx $590,000,000"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
, ,,,,,,,,
, ,,,,,,,,
, ,,,,,,,,
, ,,,,,,,,
, ,,,,,,,,
, ,,,,,,,,
, ,,,,,,,,
, ,,,,,,,,
, ,,,,,,,,
, ,,,,,,,,
, ,,,,,,,,
, ,,,,,,,,
, ,,,,,,,,
, ,,,,,,,,
, ,,,,,,,,
, ,,,,,,,,
, ,,,,,,,,
, ,,,,,,,,
, ,,,,,,,,
