ENRON CAPITAL AND TRADE RESOURCES,,,,,,,,,,,,,,,,,,,,,,,,,
DAILY POSITION STATEMENT,,,,,,,,,,,,,,,,Approval:,,,,,,,,,
RISK BOOKS,,,,,,,,,,,,,,,,,,,,,,,,,
2001-05-29 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,GRAND  TOTAL,,,,,,,,
,,GD New Swaps,,Price,,Basis,,Basis Option,,GD New Swaps - JR,,Price - JR,,Basis - JR,,,Gas Daily New,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Post ID,,1151716,,1151746,,1151726,,,,1151751,,1151813,,1151812,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
PV Margins  (in thousands),,,,,,,,,,,,,,,,,,,,,,,,,
2001-05-29 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
     Gross Book Balance,,7119058.955800001,,-352677569.8062,,331656198.40800005,,0,,-201936.7587,,466608.4647,,-10022786.9238,,,-23660427.660199977,,,GD-NEW and GD-NEW JR FINANCIAL: MTD and YTD,,,,TOTAL,NYMEX
      Prudence,,0,,0,,0,,0,,0,,0,,0,,,0,,,GD Swaps,Basis,Price,Total,Overage Granted,Overage
      Liquidated,,154495201.82689998,,19694853.453,,247516347.28590006,,0,,-2113668.7917,,-1231748.6704,,17442173.2945,,,435803158.39820004,,2001-01-01 00:00:00,26991883.9793,-1159961.9965000008,-53470.500500000024,25778451.4823,1263208,?
      LTD Gross Recognized Balance,,161614260.78269997,,-332982716.3532,,579172545.6939001,,0,,-2315605.5504,,-765140.2056999999,,7419386.3707,,,412142730.73800004,,2001-02-01 00:00:00,-21104867,516722998,-349735363,145882768,2583578.2,?
,,,,,,,,,,,,,,,,,,,2001-03-01 00:00:00,-7794738.4579,60684374.54550005,13758758.544600006,66648394.63220005,16698,?
2001-05-29 00:00:00,,,,,,,,,,,,,,,,,,,2001-04-01 00:00:00,1849931.1139000035,-229148534.4526,-10757906.5357,-238056509.8744,28178023.25,0
     Originated Transactions,,27961,,0,,83739,,0,,0,,0,,1864,,33.448999999999984,113564,,2001-05-01 00:00:00,-28341937.796600003,-228458439.1314,14530123.263099998,-242270253.6649,86894.7,0
     Hedge management,,,,,,,,,,,,,,,,,,,2001-06-01 00:00:00,,,,,,
        New Deals,,1426443.2648999998,,4472175.262399999,,-4483790.6088,,-2012327,,-371038.14329999994,,-365851.68960000004,,-250190.57129999995,,,-1584579.4857,,2001-07-01 00:00:00,,,,,,
         Change in Price,,-27909166.8011,,8072535.887999998,,535842.03,,1643881,,0,,2347378.1718,,28476.24,,,-15281053.471300002,,2001-08-01 00:00:00,,,,,,
         Change in Basis Price,,0,,0,,-218633695.2024,,0,,0,,0,,-5671029.248,,,-224304724.4504,,2001-09-01 00:00:00,,,,,,
         Change in Index Price/Gas Daily,,0,,0,,0,,0,,-1516137.1171,,0,,0,,,-1516137.1171,,2001-10-01 00:00:00,,,,,,
         Gamma,,0,,0,,0,,0,,0,,0,,0,,,0,,2001-11-01 00:00:00,,,,,,
         Change in Implied Volatility (Vega),,0,,0,,0,,0,,0,,0,,0,,,0,,2001-12-01 00:00:00,,,,,,
         Theta,,0,,0,,0,,0,,0,,0,,0,,,0,,,-28399728.1613,118640436.96500003,-332257858.2285,-242017149.42479995,32128402.15,
         Change in Time,,0,,0,,0,,0,,0,,0,,0,,,0,,,,,,,,
         Broker Fees,,0,,0,,0,,0,,0,,0,,0,,,0,,GD-NEW,,,GD-NEW JR,,,
     Total Hedge Management,,-26482723.5362,,12544711.150399998,,-222581643.7812,,-368446,,-1887175.2603999998,,1981526.4822,,-5892743.579299999,,,-242686494.5245,,Daily - Financial,-48382461.3037,,Daily - Financial,-3241803.6180999996,,
     Change in Price Prudence,,0,,0,,0,,0,,0,,0,,0,,,0,,Daily - Physical ,-16633181.15607073,,Daily - Physical ,0,,
     Other Changes,,0,,3885.6305,,-68354.31779999999,,0,,0,,0,,-1300.4530999999997,,,-65769.14039999999,,Total Daily P&L,-65015642.45977073,,Total Daily P&L,-3241803.6180999996,,
     MTD Income (Loss),,-26454762.5362,,12548596.780899998,,-222566259.09899998,,-368446,,-1887175.2603999998,,1981526.4822,,-5892180.032399999,,,-242638699.6649,-242725594.3649,,,,,,,
,,,,,,,,,,,,,,,,,,,Monthly - Financial,-236840870.8543,,Monthly - Financial,-5797828.810599999,,
2001-05-29 00:00:00,,,,,,,,,,,,,,,,,,,Monthly - Physical ,-36494843.187131315,,Monthly - Physical ,0,,
     Gross Book Balance (including Current Month Rho & Drift),,1699535.6925,,-340947557.2272,,110844633.72960001,,-368446,,-161936.0534,,2453652.1979,,-15943523.9011,,,-242423641.5617,,Total Monthly P&L,-273335714.0414313,-273422608.7414313,Total Monthly P&L,-5797828.810599999,,
     Current Month: Rho,,8055.7734,,548104.8213,,217699.00389999984,,0,,-0.19820000000000002,,734.6351999999999,,-755.8790999999999,,,773838.1564999997,,,,,,,,
                                        Drift,,25663.955600000005,,-1366688.8029,,1536995.7305,,0,,1.1638999999999982,,4783.0152,,-27801.3632,,,172953.69910000006,,YTD - Financial,-294344655.7211,,YTD - Financial,-13460471.298,,
,,,,,,,,,,,,,,,,,,,YTD - Physical ,74822653.81286868,,YTD - Physical ,0,,
     Gross Book Balance (excluding Current Month Rho & Drift),,1699535.6925,,-340947557.2272,,110844633.72960001,,-368446,,-161936.0534,,2453652.1979,,-15943523.9011,,,-242423641.5617,,Total YTD P&L,-219522001.9082313,-251650404.0582313,Total YTD P&L,-13460471.298,,
     Prudence,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,0,0,,,.,,,,,
     Liquidated,,133459962.09789997,,20513437.434600003,,245761652.55150005,,0,,-4040844.7574,,-1237266.3207999999,,17470730.5368,,,411927671.54260004,,2001-02-23 00:00:00,Socal Transport Prudency (Physical) ,,-100000000,,,
     Gross Recognized Balance,,135159498.24649996,0.22029995918273926,-320434119.5723,0.3138000965118408,356606286.59490013,0.0,-368446,0.0,-4202780.8108,0.3993999999947846,1216386.2765000002,-0.2973999995738268,1527206.3383000009,,1.0922000110149384,169504031.07310006,,2001-02-26 00:00:00,Socal Transport Prudency (Physical) ,,100000000,,,
,,,,,,,,,,,,,,,,,,,2001-03-28 00:00:00,Socal Liquidity,,-75000000,,,
"LTD Through December 31, 2000",,,,,,,,,,,,,,,,,,,2001-03-30 00:00:00,Socal Liquidity,,-75000000,,,
     Gross Recognized Balance,-0.4493999999249354,163874974,,21045961,0.0,280386939,0.0,0,0.0,3271138,0.0,-967532,0.0,9697676,,,477309156,,,,,,,,
,-0.4560999870300293,,-0.22029995918273926,,-0.3138000965118408,,0.0,,0.0,,-0.3993999999947846,,-0.7026000004261732,,,-2.092199921607971,,,,,,,,,
2001-05-29 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
     Gross Book Balance,,2158780.6925,,-349616909.2272,,21450064.729600012,,-368446,,-571475.0534,,3621121.1979,,-16670137.9011,,,-339997001.5616999,,,,,,,,
     Prudence ,,0,,0,,0,,0,,0,,0,,0,,,0,,,,,,,,
     Liquidated,,-30874256.902100027,,8136828.434600003,,54769282.55150005,,0,,-6902443.7574000005,,-1437203.3207999999,,8499667.5368,,,32191874.542600032,,,,,,,,
     Gross Recognized Balance,,-28715476.209600028,,-341480080.7926,,76219347.28110006,,-368446,,-7473918.8108,,2183917.8771,,-8170470.3643,,,-307805127.0191,,TOTAL SCHEDULE C ADJUSTMENT:,,,-150000000,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Income (Loss) from Today's....,,,,,,,,,,,,,,,,,,,,,,,,,
     Originated Transactions,,0,,0,,0,,0,,0,,0,,0,,,0,,,,,,,,
     Hedge management,,,,,,,,,,,,,,,,,,,,,,,,,
         New Deals,,261512.65159999998,,4858429.1492,,-5711528.6174,,0,,-89220.26569999999,,36974.326699999976,,78544.3626,,,-565288.3930000005,,,,,,,,
         Change in Price,,-433729.15839999914,,6042103.6088,,0,,155050,,0,,760046.0204,,0,,,6523470.4708,,,,,,,,
         Change in Basis Price,,0,,0,,-53535531.00130001,,0,,0,,0,,-3988273.1686,,,-57523804.16990001,,,,,,,,
         Change in Index Price/Gas Daily,,0,,0,,0,,0,,-38150,,0,,0,,,-38150,,,,,,,,
         Gamma,,0,,0,,0,,0,,0,,0,,0,,,0,,,,,,,,
         Change in Implied Volatility (Vega),,0,,0,,0,,0,,0,,0,,0,,,0,,,,,,,,
         Theta,,0,,0,,0,,0,,0,,0,,0,,,0,,,,,,,,
         Change in Time,,0,,0,,0,,0,,0,,0,,0,,,0,,,,,,,,
         Broker Fees,,0,,0,,0,,0,,0,,0,,0,,,0,,,,,,,,
     Total Hedge Management,,-172216.50679999916,,10900532.758,,-59247059.618700005,,155050,,-127370.26569999999,,797020.3471,,-3909728.806,,,-51603772.09210001,,,,,,,,
     Change in Price Prudence,,0,,0,,0,,0,,0,,0,,0,,,0,,,,,,,,
     Other Changes,,0,,2307.3648000000003,,-21075.300999999992,,0,,0,,0,,-1724.8935000000001,,,-20492.829699999995,,,,,,,,
     Total Daily Income (Loss),,-172216.50679999916,,10902840.1228,,-59268134.919700004,,155050,,-127370.26569999999,,797020.3471,,-3911453.6994999996,,,-51624264.92180001,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
   LTD Gross recognized as of prior day,,135331714.75329998,0.22030001878738403,-331336959.6951,0.3138000965118408,415874421.51460016,0.0,-523496,4.656612873077393e-10,-4075410.5450999998,0.39939999987836927,419365.92940000014,-0.2974000023677945,5438660.0378,,0.20420017838478088,221128295.99490014,,36948,Socal Transport Prudency (Physical) ,,100000000,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
   Prior Day Origination,,27961,,0,,83739,,0,,0,,0,,1864,,33.448999999999984,113564,,37012,-28042351.024100002,-165278850.51219997,2830262.7931999993,-190490938.7431,86894.7,0
