,,,,,,,,,BSCTMP vs NBSK,BSCTMP vs SBSK,,,
BSCTMP,NBSK,SBSK,Dollar difference,LN of BSCTMp,LN of NBSK,LN of SBSK,,Correlation,0.9032959913473146,0.9669816988287868,,,STDEV
560,830,750,190,-0.018018505502678365,0,-0.02702867238791926,1990-01-01,MAX,,190,(Jan-90),BSCTMP,122.35755468038678
550,830,730,180,-0.01834913866819654,0,-0.027779564107075706,1990-02-01,MIN,,30,(Sep-Nov 93),NBSK,129.27920987828554
540,830,710,170,-0.01869213301215252,-0.01212136053234485,-0.028573372444056,1990-03-01,,,,,SBSK,126.60324779776063
530,820,690,160,-0.019048194970694474,-0.01227009259181436,-0.02941388520629334,1990-04-01,,,,,,
520,810,670,150,-0.019418085857101627,-0.012422519998557209,-0.030305349495328922,1990-05-01,,,,,LN of BSCTMP,0.2006846357947397
510,800,650,140,-0.019802627296179754,-0.012578782206860073,-0.015504186535965199,1990-06-01,,,,,LN of NBSK,0.15606664664231262
500,790,640,140,-0.020202707317519466,-0.012739025777429714,-0.015748356968139168,1990-07-01,,,,,LN of SBSK,0.18861947516275598
490,780,630,140,-0.020619287202735703,-0.019418085857101627,-0.007968169649176845,1990-08-01,,,,,,
480,765,625,145,-0.02105340919783238,-0.019802627296179754,-0.008032171697264267,1990-09-01,,,,,,
470,750,620,150,-0.02150620522096362,-0.02702867238791926,-0.01626052087178029,1990-10-01,,,,,,
460,730,610,150,-0.02197890671877523,-0.027779564107075706,-0.016529301951210582,1990-11-01,,,,,,
450,710,600,150,-0.011173300598125189,-0.028573372444056,-0.03390155167568134,1990-12-01,,,,,,
445,690,580,135,-0.011299555253933394,-0.02941388520629334,-0.03509131981127006,1991-01-01,,,,,,
440,670,560,120,-0.011428695823622744,-0.030305349495328922,-0.03636764417087483,1991-02-01,,,,,,
435,650,540,105,-0.011560822401075971,-0.0472528848505455,-0.037740327982847086,1991-03-01,,,,,,
430,620,520,90,-0.011696039763191298,-0.04959694113937206,-0.029270382300113224,1991-04-01,,,,,,
425,590,505,80,-0.011834457647002796,-0.03448617607116932,-0.030153038170687558,1991-05-01,,,,,,
420,570,490,70,-0.01197619104671565,-0.03571808260207923,-0.03109058707003112,1991-06-01,,,,,,
415,550,475,60,-0.01212136053234485,-0.04652001563489282,-0.03208831455150051,1991-07-01,,,,,,
410,525,460,50,-0.02469261259037152,-0.048790164169432056,-0.03315220731690051,1991-08-01,,,,,,
400,500,445,45,-0.025317807984289897,-0.040821994520255166,-0.034289073478632075,1991-09-01,,,,,,
390,480,430,40,0,0.010362787035546658,0.011560822401076006,1991-10-01,,,,,,
390,485,435,45,0.012739025777429712,0.010256500167189061,0.02272825107755609,1991-11-01,,,,,,
395,490,445,50,0.012578782206860185,0.02020270731751947,0.043963123421116204,1991-12-01,,,,,,
400,500,465,65,0.01242251999855711,0.02955880224154443,0.03174869831458027,1992-01-01,,,,,,
405,515,480,75,0.012270092591814401,0.02871010588243136,0,1992-02-01,,,,,,
410,530,480,70,0.01212136053234482,0.018692133012152546,0.06062462181643484,1992-03-01,,,,,,
415,540,510,95,0.01197619104671562,0.018349138668196617,0.009756174945364656,1992-04-01,,,,,,
420,550,515,95,0.011834457647002798,0.018018505502678212,0.00966191091173689,1992-05-01,,,,,,
425,560,520,95,0.03468555798789011,0.06899287148695142,0.05608946665104358,1992-06-01,,,,,,
440,600,550,110,-0.011428695823622744,-0.01680711831638129,-0.009132483563272474,1992-07-01,,,,,,
435,590,545,110,-0.011560822401075971,-0.017094433359300068,-0.009216655104923952,1992-08-01,,,,,,
430,580,540,110,-0.02353049741019416,-0.01739174271186922,-0.028170876966696335,1992-09-01,,,,,,
420,570,525,105,-0.03636764417087483,-0.026668247082161294,-0.048790164169432056,1992-10-01,,,,,,
405,555,500,95,-0.050643732818754915,-0.055569851154810765,-0.07257069283483537,1992-11-01,,,,,,
385,525,465,80,-0.06713930283762856,-0.058840500022933465,-0.12588024588900282,1992-12-01,,,,,,
360,495,410,50,-0.08701137698962981,-0.041242958534049134,-0.07598590697792199,1993-01-01,,,,,,
330,475,380,50,0,-0.03208831455150051,0,1993-02-01,,,,,,
330,460,380,50,0,0,0.025975486403260736,1993-03-01,,,,,,
330,460,390,60,0,0,0,1993-04-01,,,,,,
330,460,390,60,0,0,0,1993-05-01,,,,,,
330,460,390,60,0,-0.02197890671877523,-0.025975486403260677,1993-06-01,,,,,,
330,450,380,50,0,-0.03390155167568134,-0.026668247082161294,1993-07-01,,,,,,
330,435,370,40,0,-0.03509131981127006,-0.027398974188114388,1993-08-01,,,,,,
330,420,360,30,-0.03077165866675366,-0.02409755157906053,-0.028170876966696335,1993-09-01,,,,,,
320,410,350,30,-0.015748356968139168,0,-0.014388737452099556,1993-10-01,,,,,,
315,410,345,30,0,0,0.05635293655113178,1993-11-01,,,,,,
315,410,365,50,0.04652001563489291,0.07061756721395342,0.053345980705292714,1993-12-01,,,,,,
330,440,385,55,0.02985296314968113,0.022472855852058576,0.03822121282019767,1994-01-01,,,,,,
