High Probability WSCC Projects,,,,,
Report Date,2000-05-18 00:00:00,,,,
,,,,,
Project,State,On-Line Date,Capacity,Region,Cumulative Capacity
Person,NM,2000-05-01 00:00:00,140,DSW,140
Manchief (Brush),CO,2000-06-01 00:00:00,265,Rockies,405
Foote Creek 4,WY,2000-08-01 00:00:00,4.25,PNW,409.25
Valmont Repowering,CO,2000-06-01 00:00:00,11,Rockies,420.25
Arapahoe Repowering,CO,2000-06-01 00:00:00,115,Rockies,535.25
South Point Power Plant [Mojave],AZ,2001-05-01 00:00:00,545,DSW,1105.25
Griffith Energy Project,AZ,2001-05-01 00:00:00,520,DSW,1625.25
Desert Basin Gnrtng,AZ,2001-06-01 00:00:00,600,DSW,2225.25
Sutter,CA,2001-09-01 00:00:00,500,NP15,2725.25
Klamath Cogen,OR,2001-07-01 00:00:00,500,PNW,3225.25
West Phoenix 4 - Repower,AZ,2001-08-01 00:00:00,70,DSW,3295.25
Los Medanos (Pittsburg),CA,2001-08-01 00:00:00,500,NP15,3795.25
La Paloma,CA,2001-09-01 00:00:00,1048,ZP26,4843.25
Rathdrum,ID,2001-09-01 00:00:00,270,PNW,5113.25
Vestas,OR,2001-12-01 00:00:00,25,PNW,560.25
West Phoenix 5,AZ,2001-12-01 00:00:00,500,DSW,5613.25
Everett Delta,WA,2001-12-01 00:00:00,248,PNW,5861.25
Coyote Springs Phase 2,OR,2002-03-01 00:00:00,231,PNW,6092.25
Delta Energy,CA,2002-04-01 00:00:00,880,NP15,6972.25
Powhatan 48,CO,2002-05-01 00:00:00,150,Rockies,7122.25
Hermiston,OR,2002-05-01 00:00:00,536,PNW,7658.25
Las Vegas CoGen Expansion,NV,2002-06-01 00:00:00,220,DSW,7878.25
Little Sand Dam,OR,2003-06-01 00:00:00,-11,PNW,7867.25
Chehalis Power,WA,2003-06-01 00:00:00,460,PNW,8327.25
Sumas Energy 2,WA,2003-06-01 00:00:00,660,PNW,8987.25
Wygen 1,WY,2003-12-01 00:00:00,80,PNW,9067.25
Two Elk CT Waste,WY,2004-06-01 00:00:00,240,PNW,9307.25
