Thermal Power Plant Permit Matrix,Thermal Power Plant Permit Matrix,Thermal Power Plant Permit Matrix,Thermal Power Plant Permit Matrix,Thermal Power Plant Permit Matrix,Thermal Power Plant Permit Matrix,Thermal Power Plant Permit Matrix,Thermal Power Plant Permit Matrix,Thermal Power Plant Permit Matrix
Project,RioGen,,,,,,,
Last Update,2018-07-15 00:00:00,,LNTP = Limited Notice to Proceed,,,,,
,,,NTP  = Notice To Proceed,,,,,
,,,SPR = Site Preparation Release,,,,,
,,,COD = Commerical Operation Date,,,,,
,,,,,,,,
,,,Description of Permit,Condition Precedent,Issuing Authority,Request filed on,Party Responsible,Status
,,,,,,,,
,,,1. State Environmental Licenses,,,,,
,,,,,,,,
,,,,,,,,
,,,A. Previous License (LP),LNTP,FEEMA,,ESA,
,,,,,,,,
,,,Application for LP,LNTP,FEEMA,December 1999,ESA,December 1999
,,,,,,,,
,,,Approval of Environmental Impact Assessment (EIA-RIMA),LNTP,FEEMA,,ESA,September 2000
,,,,,,,,
,,,Public Hearing,LNTP,CECA,,ESA,October 18 2000
,,,,,,,,
,,,Issuance of Previous License (LP),LNTP,FEEMA,,ESA,December 6 2000
,,,,,,,,
,,,B. Installation License (LI) ,NTP,FEEMA,,ESA,
,,,,,,,,
,,,Basic Environmental Plan (PBA) Approval,NTP,FEEMA,,ESA,December 21 2000
,,,,,,,,
,,,Issuance of Installation License (LI),NTP,FEEMA,,ESA,December 21 2000
,,,,,,,,
,,,C. Operation License (LO),COD,FEEMA,,ESA,
,,,,,,,,
,,,Application for LO,COD,FEEMA,,ESA,August 2002
,,,,,,,,
,,,Issuance of Operation License (LO),COD,FEEMA,,ESA,September 2002
,,,,,,,,
,,,,,,,,
,,,2. Regulatory Licenses,,,,,
,,,,,,,,
,,,,,,,,
,,,A. Approval of Feasibility Study,LNTP,ANEEL,,ESA, February 2000
,,,,,,,,
,,,B. Issuance of Independent Power Producer (IPP) License,NTP,ANEEL,,ESA,June 6 2000
,,,,,,,,
,,,C. Issuance of Construction Permit,NTP,ANEEL,,ESA,June 6 2000
,,,,,,,,
,,,D. Approval of Basic Engineering Project,LNTP,ANEEL,,ESA,January 5 2001
,,,,,,,,
,,,E. Transfer of Ownership of the Controlling Block of Shares,NTP,ANEEL,,ESA,January 2001
,,,,,,,,
,,,F. Insertion in the Priority Program,LNTP,MME,,ESA,February 2000
,,,,,,,,
,,,G. Project Design Registration,SPR,CREA,,ESA,December 2000
,,,,,,,,
,,,H. Project Construction Registration,SPR,CREA,,ESA,December 2000
,,,,,,,,
,,,I. Wholesale Power Market Registration,COD,MAE,,ESA,June 2002
,,,,,,,,
,,,,,,,,
,,,3. Grid Connection,,,,,
,,,,,,,,
,,,,,,,,
,,,A. Completion of Electrical Studies,LNTP,CEPEL,,ESA,December 12 2000
,,,,,,,,
,,,B. Issuance of Authorization,LNTP,ONS,,ESA,December 20 2000
,,,,,,,,
,,,C. Approval of Connection to Transmission (CCT),NTP,Furnas,,ESA,March 2001
,,,,,,,,
,,,D. Approval of Connection to Transmission System (CUST),NTP,ONS,,ESA,March 2001
,,,,,,,,
,,,,,,,,
,,,4. Administrative Licenses,,,,,
,,,,,,,,
,,,,,,,,
,,,A. Construction Approval from Seropédica Prefecture,NTP,Seropédica Prefecture,,EE&CC/NEPCO,December 2000
,,,,,,,,
,,,B. Fire Department Approval,COD,State Fire Department,,EE&CC/NEPCO,August 2002
,,,,,,,,
,,,C. Construction of Access Road,LNTP,DNER,,ESA,November 10 2000
,,,,,,,,
,,,D. Construction of Access Road,LNTP,Nova Dutra,,ESA,November 10 2000
,,,,,,,,
,,,E. Municipal Health and Welfare Secretarial (SUDS) Approval,COD,Municipal Health Department,,EE&CC/NEPCO,August 2002
,,,,,,,,
,,,F. Zoning,LNTP,Seropédica Prefecture,,ESA,April 2000
,,,,,,,,
,,,G. Good Standing Tax Certificate,NTP,Seropédica Prefecture,,ESA,December 2000
,,,,,,,,
,,,H. Land Title (after split),NTP,Land Title Registry,,ESA,December 2000
,,,,,,,,
,,,I. Project Completion Certificate (HABITE-SE),COD,Seropédica Prefecture,,EE&CC/NEPCO,August 2002
,,,,,,,,
,,,J. Stack Heights and Lighting,NTP,COMAR,,ESA,December 2001
,,,,,,,,
,,,K. Approval of ICMS Deferral,NTP,State Government,,ESA,March 2001
,,,,,,,,
