,,,,,Marketing Status,,,Internal Category,,,,,,
,,,,,1=Paying SLA executed or in progress,,,1=Tier 1,,,,,,
,,,,,2=Trial SLA or trial deal in progress,,,2=Tier 2,,,,,,
,,,,,3=Considering DB,,,3=Tier 3,,,,,,
,,,,,4=Initial Meeting,,,Other =no relationship,,,,,,
,,,,,5=No Contact,,,,,,,,,
,,,,,,,,,Competitor,,,,,
,,,,,,# of ,# of Meeting,Internal,Contract,Price,,,,
,,Global Loan,,,Marketing Status,Meetings,Participants,Category,Expiration,Quoted,Comments,Main Contact & Title,Phone,Address
Bank of America,1476.0,755,578.0,134.0,2,5,16,1,Yes ?,,SLA pending for 2 trials within Healthcare,,,
Citibank / SSB,727.0,711,77.0,30.0,3,3,11,1,Yes ?,,Reviewing Business Plan,,,
Fleet,469.0,111,254.0,52.0,4,1,2,2,,,,,,
Bank One,452.0,250,154.0,32.0,5,0,0,3,,,,,,
Deutsche,376.0,284,126.0,42.0,3,3,8,1,Yes ?,,Not returning calls since Dec.  Meeting with RM on 20 Feb,,,
ABN Amro,330.0,287,62.0,15.0,2,3,17,1,2001-03-31 00:00:00,,NY will trial DealBench.  Discuss the same with London week of Feb.26.,,,
First Union,300.0,95,176.0,42.0,4,2,8,2,,,,,,
Mizuho Financial,270.0,177,42.0,8.0,5,0,0,Other,,,"Merger of Fuji, IBJ and Dai-Ichi under one holding company as of September 2000.  Merger not final until March 2002.  Best to meet with individual syndication units now.",,,
Barclays,215.0,302,11.0,6.0,2,5,7,1,Yes ?,,1 trial deal complete.  Decision held up in London.  Meeting scheduled in London weekd of 26 Feb.,,,
SocGen,196.0,102,34.0,7.0,2,5,10,2,,,"1 trial deal currently on site.  While please with DealBench, are sidetracked by internal restructuring.  Meeting in London week of 26 Feb.",,,
BNP Paribas,193.0,201,,,4,1,2,2,No,,Not a market leader.,,,
Credit Lyonnais,182.0,97,28.0,16.0,2,3,10,2,,,Trialing 2 deals by 28 Feb.  Will sign global contract if pleased with performance.  Dinner and meetings scheduled week of 26 Feb.,,,
Bank of Nova Scotia,181.0,109,73.0,28.0,4,1,3,3,2001-09-30 00:00:00,,Contact in 3 months to discuss our progress.,,,
Commerzbank,169.0,131,,,2,1,3,3,No,,Signing SLA for trial deal to launch Feb.26  Will consider contracting DealBench for NY volume (approx. 12 deals/year).  UK/Europe makes separate decisions.  Contact Elain Saunders in UK.,,,
CSFB,159.0,168,82.0,35.0,4,3,6,1,2001-02-28 00:00:00,,Just consolidated DLJ/CSFB Intralink licenses for 70 deals (approx. total deal volume),,,
West LB,148.0,119,,,4,2,6,1,2001-06-30 00:00:00,,Revisiting in NY and London in Feb.,,,
Bank of NY,141.0,94,32.0,12.0,4,1,2,3,18 months,,Contracted for 35 of potential 50 deals.,,,
