,ENT,SOCO,TVA,VACAR,HHUB
1997-01-01,,,,,2.49
1997-01-02,,,,,2.49
1997-01-03,,,,,2.56
1997-01-04,,,,,2.6
1997-01-05,,,,,2.6
1997-01-06,,,,,2.6
1997-01-07,,,,,3.53
1997-01-08,,,,,3.81
1997-01-09,,,,,3.77
1997-01-10,,,,,3.58
1997-01-11,,,,,3.86
1997-01-12,,,,,3.86
1997-01-13,,,,,3.86
1997-01-14,,,,,3.94
1997-01-15,,,,,3.97
1997-01-16,,,,,4.3
1997-01-17,,,,,4.65
1997-01-18,,,,,3.87
1997-01-19,,,,,3.87
1997-01-20,,,,,3.87
1997-01-21,,,,,3.24
1997-01-22,,,,,3
1997-01-23,,,,,3.04
1997-01-24,,,,,2.96
1997-01-25,,,,,2.7
1997-01-26,,,,,2.7
1997-01-27,,,,,2.7
1997-01-28,,,,,3.01
1997-01-29,,,,,3.07
1997-01-30,,,,,2.98
1997-01-31,,,,,3.02
1997-02-01,,,,,2.955
1997-02-02,,,,,2.955
1997-02-03,,,,,2.955
1997-02-04,,,,,2.48
1997-02-05,,,,,2.575
1997-02-06,,,,,2.65
1997-02-07,,,,,2.495
1997-02-08,,,,,2.405
1997-02-09,,,,,2.405
1997-02-10,,,,,2.405
1997-02-11,,,,,2.445
1997-02-12,,,,,2.33
1997-02-13,,,,,2.41
1997-02-14,,,,,2.23
1997-02-15,,,,,2.14
1997-02-16,,,,,2.14
1997-02-17,,,,,2.14
1997-02-18,,,,,2.14
1997-02-19,,,,,1.825
1997-02-20,,,,,1.94
1997-02-21,,,,,1.915
1997-02-22,,,,,1.905
1997-02-23,,,,,1.905
1997-02-24,,,,,1.905
1997-02-25,,,,,1.91
1997-02-26,,,,,1.82
1997-02-27,,,,,1.86
1997-02-28,,,,,1.86
1997-03-01,,,,,1.775
1997-03-02,,,,,1.775
1997-03-03,,,,,1.775
1997-03-04,,,,,1.795
1997-03-05,,,,,1.85
1997-03-06,,,,,1.93
1997-03-07,,,,,1.83
1997-03-08,,,,,1.895
1997-03-09,,,,,1.895
1997-03-10,,,,,1.895
1997-03-11,,,,,1.94
1997-03-12,,,,,1.91
1997-03-13,,,,,1.96
1997-03-14,,,,,1.98
1997-03-15,,,,,1.955
1997-03-16,,,,,1.955
1997-03-17,,,,,1.955
1997-03-18,,,,,2.005
1997-03-19,,,,,1.9
1997-03-20,,,,,1.875
1997-03-21,,,,,1.865
1997-03-22,,,,,1.855
1997-03-23,,,,,1.855
1997-03-24,,,,,1.855
1997-03-25,,,,,1.855
1997-03-26,,,,,1.875
1997-03-27,,,,,1.905
1997-03-28,,,,,1.895
1997-03-29,,,,,1.895
1997-03-30,,,,,1.895
1997-03-31,,,,,1.895
1997-04-01,,,,,1.905
1997-04-02,,,,,1.925
1997-04-03,,,,,1.855
1997-04-04,,,,,1.86
1997-04-05,,,,,1.915
1997-04-06,,,,,1.915
1997-04-07,,,,,1.915
1997-04-08,,,,,1.99
1997-04-09,,,,,2.005
1997-04-10,,,,,1.96
1997-04-11,,,,,1.96
1997-04-12,,,,,1.97
1997-04-13,,,,,1.97
1997-04-14,,,,,1.97
1997-04-15,,,,,2
1997-04-16,,,,,2.005
1997-04-17,,,,,2.015
1997-04-18,,,,,2.075
1997-04-19,,,,,2.1
1997-04-20,,,,,2.1
1997-04-21,,,,,2.1
1997-04-22,,,,,2.08
1997-04-23,,,,,2.105
1997-04-24,,,,,2.23
1997-04-25,19.81,,,,2.115
1997-04-26,,,,,2.19
1997-04-27,,,,,2.19
1997-04-28,,,,,2.19
1997-04-29,,,,,2.08
1997-04-30,,,,,2.1
1997-05-01,,,,,2.125
1997-05-02,,,,,2.175
1997-05-03,,,,,2.195
1997-05-04,,,,,2.195
1997-05-05,,,,,2.195
1997-05-06,,,,,2.215
1997-05-07,,,,,2.235
1997-05-08,,,,,2.365
1997-05-09,17.43,,,,2.34
1997-05-10,,,,,2.3
1997-05-11,14.5,,,,2.3
1997-05-12,,,,,2.3
1997-05-13,,,,,2.265
1997-05-14,,,,,2.175
1997-05-15,,,,,2.215
1997-05-16,16.6,,,,2.245
1997-05-17,16,,,,2.195
1997-05-18,16,,,,2.195
1997-05-19,,,,,2.195
1997-05-20,,,,,2.22
1997-05-21,,,,,2.2
1997-05-22,,,,,2.19
1997-05-23,17.18,,,,2.205
1997-05-24,,,,,2.195
1997-05-25,,,,,2.195
1997-05-26,,,,,2.195
1997-05-27,,,,,2.195
1997-05-28,,,,,2.285
1997-05-29,,,,,2.34
1997-05-30,,,,,2.275
1997-05-31,15.75,,,,2.24
1997-06-01,,,,,2.24
1997-06-02,18.75,,,,2.24
1997-06-03,18.02,,,,2.195
1997-06-04,18.21,,,,2.095
1997-06-05,18.08,,,,2.18
1997-06-06,17.84,,,,2.165
1997-06-07,,,,,2.19
1997-06-08,,,,,2.19
1997-06-09,18.01,,,,2.19
1997-06-10,17.47,,,,2.19
1997-06-11,17.55,,,,2.16
1997-06-12,17.42,,,,2.165
1997-06-13,18.53,,,,2.135
1997-06-14,,,,,2.135
1997-06-15,,,,,2.135
1997-06-16,19.05,,,,2.135
1997-06-17,20.3,,,,2.19
1997-06-18,19.98,,,,2.185
1997-06-19,22.79,,,,2.21
1997-06-20,24.91,,,,2.225
1997-06-21,,,,,2.245
1997-06-22,,,,,2.245
1997-06-23,28.06,,,,2.245
1997-06-24,52.21,,,,2.285
1997-06-25,65,,,,2.315
1997-06-26,41.17,,,,2.325
1997-06-27,29.94,,,,2.225
1997-06-28,,,,,2.175
1997-06-29,,,,,2.175
1997-06-30,40.04,,,,2.175
1997-07-01,33.02,,,,2.15
1997-07-02,31.07,,,,2.15
1997-07-03,29.28,,,,2.135
