CA Summary Fcst.Ests.,,,,,,,,,,,,,,,,,,,,,,,,,,Avg.MW,Avg.On-Pk,Avg.Off-Pk,Super-Pk,7-Day SP
2002-04-17 00:00:00,HE0100,HE0200,HE0300,HE0400,HE0500,HE0600,HE0700,HE0800,HE0900,HE1000,HE1100,HE1200,HE1300,HE1400,HE1500,HE1600,HE1700,HE1800,HE1900,HE2000,HE2100,HE2200,HE2300,HE2400,,(7x24),(6x16),(6x8 +24),(5x4),(7x4)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLD MAY 2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NP-15,358.3203502344695,351.5320648404477,345.94026464961775,343.18867082595165,347.551633935845,362.05003835320457,383.938328400216,415.40215850019155,445.2774977721178,465.12521339088033,480.56489519241313,487.51844650640373,489.1814101882059,494.63734781752794,494.37305965226665,486.9404889931599,474.52108882931185,455.6262594206258,436.670034438675,422.8625659111091,420.029846514948,407.90343205438325,388.0266295570621,372.52659156448954,,420.9866181983201,466.2988721441468,368.640865708106,524.5649259789809,491.42756604110116
ZP-26,16.340383895315817,15.965664910606204,15.691731403444855,15.574843189974143,15.854309475687785,16.6603346926101,17.821715351156005,19.562946541571034,21.256898146871606,22.344659261152934,23.20763713601059,23.643429073013678,23.752228932908466,24.058352247206003,24.051117784625504,23.672366575866455,23.00373564230305,21.96418491659835,20.947438184381035,20.162144220626054,20.007532825212834,19.240755298000426,18.016709960320252,17.120895482680684,,19.94171714760556,22.408939471212115,16.966026919750888,25.530246763174915,23.876282009438413
SP-15,446.8622507183395,430.714084288681,425.3782577610381,428.803716207733,449.2277055414545,488.31785789415557,544.0620666108894,602.728561808434,644.0815324856552,672.0906531103026,692.1338837292374,701.2299267369316,708.8341270615257,710.7101611225849,700.014212366061,673.4350814696854,644.7609629206821,616.3585881071564,594.9623836969531,580.0097859134238,552.4825739798215,517.3934183965794,482.34986006616833,455.15940112289456,,572.3912202065262,657.3074542817708,470.8030855325237,765.6733906824459,705.1971068217758
All EES,821.5229848481249,798.2118140397349,787.0102538141007,787.5672302236587,812.6336489529873,867.0282309399702,945.8221103622614,1037.6936668501967,1110.6159284046446,1159.5605257623358,1195.906416057661,1212.391802316349,1221.7677661826401,1229.4058611873188,1218.4383898029532,1184.0479370387118,1142.2857873922972,1093.9490324443805,1052.5798563200092,1023.0344960451589,992.5199533199823,944.537605748963,888.3931995835508,844.8068881700648,,1013.3195555524519,1146.0152658971297,856.4099781603807,1315.7685634246018,1220.5009548723156
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW MAY 2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NP-15,335.86693874925254,329.8796436151904,324.81557467111656,322.40098639432966,328.6243318282074,339.93740614004753,359.39037364008414,387.6922702243289,414.80500901223763,432.6626704311678,446.5297753441127,452.6577675164418,453.8257421019779,458.0567753632839,457.50871186955055,450.4419019394851,439.70970190114855,423.0055497429028,406.44173996669,394.0780243972524,391.39005072019495,380.396339231394,362.21020652051743,348.25043544274513,,393.3574136151526,433.5,341,484.2,455.5
ZP-26,12.732149082667156,12.42205603787498,12.210644383204622,12.131275519368963,12.369545324552512,13.028467380148768,13.943164261911459,15.345291549228438,16.71935678947046,17.58875590710929,18.28832538657705,18.65609476637467,18.754198428925932,19.000499001430377,18.99980315085968,18.71273787655008,18.203154397843136,17.39512942964849,16.58267099893421,15.926055820080677,15.812014916796514,15.169084611777656,14.12513469617048,13.382764543207662,,15.729098927529717,17.6,13,20.1,18.8
SP-15,414.0820269264565,398.7067170366278,393.64102519904185,396.9764290817618,416.61653865827043,453.98908532115314,507.64519363546464,563.7027594726933,603.3784638816082,630.3891456348083,649.802552366885,658.6266492492209,666.0651846418688,667.8561161638991,657.5198089630026,632.2740573635865,604.6986382053425,577.3148297390853,556.2918917182473,541.9481468731924,515.5187484380972,481.60433597547944,448.03910429727836,422.1462154464298,,535.7847360120626,616.4,430.2,719.5,662.5
All EES,762.6811147583762,741.0084166896931,730.667244253363,731.5086909954605,757.6104158110304,806.9549588413495,880.9787315374602,966.7403212462507,1034.9028296833162,1080.6405719730853,1114.6206530975749,1129.9405115320374,1138.6451251727726,1144.9133905286135,1134.0283239834127,1101.4286971796216,1062.6114945043341,1017.7155089116366,979.3163026838715,951.9522270905255,922.7208140750886,877.1697598186511,824.3744455139663,783.7794154323826,,944.8712485547449,1067.5,784.2,1223.8,1136.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Change,-0.06754858980333178,-0.06851153578278557,-0.08431706776174175,-0.06989721899513368,-0.06857918016219178
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,FINAL ESTS. SENT to WEST DESK,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,On-peak,Off-peak,,
,,,,,,,,,,,,,,,,,,,,,,,,,,North CA,500,400,,
,,,,,,,,,,,,,,,,,,,,,,,,,,South CA,600,400,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,800,,
,,,,,,,,,,,,,,,,,,,,,,,,,,PER E-MAIL TO ED BAUGHMAN 4-17-02,,,,
