| Operationally Available Capacity |,  download,  query,,,,,,,,,
,,,,,,,,,,,
Effective Dt,Loc Desc,Old Loc Code,Region,Cap MCF,Prelim,Prelim Est,Final,Final Est,Flow,Disp,Intr
Effective Dt,Loc Desc,Old Loc Code,Region,Cap MCF,Sched Vol,Avail Cap,Sched Vol,Avail Cap,Dir,Flag,Intr
2000-01-27 00:00:00,217762,DAMERMAZ,AN,7500,3715,3785,,,D,,Y
2000-01-27 00:00:00,134607,DGGSIDAL,AN,4500,0,4500,,,D,,N
2000-01-27 00:00:00,22540,DMCLNPAN,AN,2950,226,2724,,,D,,N
2000-01-27 00:00:00,125956,DPHPAMPA,AN,55000,0,55000,,,D,,N
2000-01-27 00:00:00,125983,DPHSNEED,AN,5000,1151,3849,,,D,,Y
2000-01-27 00:00:00,135700,DPHVENTB,AN,5000,0,5000,,,D,,Y
2000-01-27 00:00:00,125984,DPHZELL,AN,5000,93,4907,,,D,,Y
2000-01-27 00:00:00,125969,DRICHPAN,AN,10000,9347,653,,,D,,N
2000-01-27 00:00:00,216774,DRIM PAN,AN,1050,0,1050,,,D,,N
2000-01-27 00:00:00,216775,DSUG PAN,AN,11100,4020,7080,,,D,,N
2000-01-27 00:00:00,160247,DSUG SKY,AN,1000,0,1000,,,D,,N
2000-01-27 00:00:00,125895,DTXOLPAN,AN,156,0,156,,,D,,N
2000-01-27 00:00:00,125986,DWSTRPAN,AN,3500,793,2707,,,D,,N
2000-01-27 00:00:00,151531,ICANUTE,AN,100000,71190,28810,,,D,,N
2000-01-27 00:00:00,38944,ICOMINCO,AN,70000,53141,16859,,,D,,N
2000-01-27 00:00:00,55174,INGCBECK,AN,1000,0,1000,,,D,,N
2000-01-27 00:00:00,10421,INGPLMOR,AN,100000,0,100000,,,D,,N
2000-01-27 00:00:00,37110,INGPLW#7,AN,120000,0,120000,,,D,Y,N
2000-01-27 00:00:00,37110,INGPLW#7,AN,0,0,0,,,R,Y,N
2000-01-27 00:00:00,42662,INNDUMAS,AN,305000,31710,273290,,,D,Y,N
2000-01-27 00:00:00,42662,INNDUMAS,AN,31710,0,31710,,,R,Y,N
2000-01-27 00:00:00,151533,INORAM,AN,100000,0,100000,,,D,,N
2000-01-27 00:00:00,204992,IPHHUTCH,AN,45000,33992,11008,,,D,,Y
2000-01-27 00:00:00,245338,IPINBORG,AN,75000,0,75000,,,D,,N
2000-01-27 00:00:00,37044,IWTG DAL,AN,70000,9776,60224,,,D,,Y
2000-01-27 00:00:00,38706,IWTGAMER,AN,16000,10468,5532,,,D,,N
2000-01-27 00:00:00,ANADARKO,ANADARKO,ANADARKO,0,0,0,,,R,,N
2000-01-27 00:00:00,24900,IBIGBLUE,ANADARKO,140000,0,140000,,,R,Y,N
2000-01-27 00:00:00,24900,IBIGBLUE,ANADARKO,0,0,0,,,D,Y,N
2000-01-27 00:00:00,37039,IGRAYWST,ANADARKO,200000,0,200000,,,R,Y,N
2000-01-27 00:00:00,37039,IGRAYWST,ANADARKO,0,0,0,,,D,Y,N
2000-01-27 00:00:00,216655,ILEARWAS,ANADARKO,300000,9309,290691,,,R,Y,N
2000-01-27 00:00:00,216655,ILEARWAS,ANADARKO,9309,0,9309,,,D,Y,N
2000-01-27 00:00:00,38956,ILEEDE,ANADARKO,60000,0,60000,,,R,,N
2000-01-27 00:00:00,187909,IML20EST,ANADARKO,70000,10426,59574,,,R,,N
2000-01-27 00:00:00,55174,INGCBECK,ANADARKO,100000,0,100000,,,R,,N
