1464241,,,,,,,,,,,,,,
,,,Phy/,Call/,Opt,,Option,Monthly,Option,Stike,Mid,Mid,Mid,Premium
Counterparty,Deal Num,Pub Code,Fin,Put,Type,Period,Expiry,Option Qty,Delta,Price,Price,Vol,Value,Value
PEOPLE GAS,N18254.4,GDP-CHI. GATE,F,C,EUR,2002-01-01 00:00:00,2002-01-01 00:00:00,0,0,2.6900001,2.735,1.14,2024.9955,0
PEOPLE GAS,N18254.4,GDP-CHI. GATE,F,C,EUR,2002-01-02 00:00:00,2002-01-02 00:00:00,0,0,2.6900001,2.735,1.14,2024.9955,0
PEOPLE GAS,N18254.4,GDP-CHI. GATE,F,C,EUR,2002-01-03 00:00:00,2002-01-03 00:00:00,0,0,2.6900001,2.485,1.14,0,0
PEOPLE GAS,N18254.4,GDP-CHI. GATE,F,C,EUR,2002-01-04 00:00:00,2002-01-04 00:00:00,0,0,2.6900001,2.42,1.14,0,0
PEOPLE GAS,N18254.4,GDP-CHI. GATE,F,C,EUR,2002-01-05 00:00:00,2002-01-05 00:00:00,0,0,2.6900001,2.315,1.14,0,0
PEOPLE GAS,N18254.4,GDP-CHI. GATE,F,C,EUR,2002-01-06 00:00:00,2002-01-06 00:00:00,0,0,2.6900001,2.315,1.14,0,0
PEOPLE GAS,N18254.4,GDP-CHI. GATE,F,C,EUR,2002-01-07 00:00:00,2002-01-07 00:00:00,0,0,2.6900001,2.315,1.14,0,0
PEOPLE GAS,N18254.4,GDP-CHI. GATE,F,C,EUR,2002-01-08 00:00:00,2002-01-08 00:00:00,0,0,2.6900001,2.195,1.14,0,0
PEOPLE GAS,N18254.4,GDP-CHI. GATE,F,C,EUR,2002-01-09 00:00:00,2002-01-09 00:00:00,0,0,2.6900001,2.29,1.14,0,0
PEOPLE GAS,N18254.4,GDP-CHI. GATE,F,C,EUR,2002-01-10 00:00:00,2002-01-10 00:00:00,0,0,2.6900001,2.18,1.14,0,0
PEOPLE GAS,N18254.4,GDP-CHI. GATE,F,C,EUR,2002-01-11 00:00:00,2002-01-11 00:00:00,0,0,2.6900001,2.215,1.14,0,0
PEOPLE GAS,N18254.4,GDP-CHI. GATE,F,C,EUR,2002-01-12 00:00:00,2002-01-12 00:00:00,0,0,2.6900001,2.225,1.14,0,0
PEOPLE GAS,N18254.4,GDP-CHI. GATE,F,C,EUR,2002-01-13 00:00:00,2002-01-13 00:00:00,0,0,2.6900001,2.225,1.14,0,0
PEOPLE GAS,N18254.4,GDP-CHI. GATE,F,C,EUR,2002-01-14 00:00:00,2002-01-14 00:00:00,0,0,2.6900001,2.225,1.14,0,0
PEOPLE GAS,N18254.4,GDP-CHI. GATE,F,C,EUR,2002-01-15 00:00:00,2002-01-15 00:00:00,0,0,2.6900001,2.225,1.14,0,0
PEOPLE GAS,N18254.4,GDP-CHI. GATE,F,C,EUR,2002-01-16 00:00:00,2002-01-16 00:00:00,45000,2796.9855,2.6900001,2.45,1.14,172.9172,0
