Curve Group ->,Gas Daily,Gas Daily,Gas Daily,Gas Daily,Gas Daily,Gas Daily,Gas Daily,Gas Daily,Gas Daily,Gas Daily,Gas Daily,Gas Daily,GD-AECOUS/FRWKD,IF-TRANSCO/Z6
Curve Code  ->,GD-CGPR-AECO/AV,GDP-AECO,GDP-CAL BORDER,GDP-CHI. GATE,GDP-CIG/RKYMTN,GDP-ELPO/PERM2,GDP-ELPO/SANJUA,GDP-HEHUB,GDP-KERN/OPAL,GDP-MALIN-CTYGA,GDP-NTHWST/CANB,GDP-PG&E/CITIGA,,
Risk Type   ->,IDX,IDX,IDX,IDX,IDX,IDX,IDX,IDX,IDX,IDX,IDX,IDX,IDX,BAS
Deal Type   ->,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2002-01-01 00:00:00,0,0,448.8,0,-38.1,-30.9,108.3,15.5,79.8,-170.2,-46.4,-154.7,0,0
2002-01-02 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-01-03 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-01-04 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-01-05 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-01-06 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-01-07 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-01-08 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-01-09 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-01-10 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-01-11 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-01-12 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-01-13 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-01-14 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-01-15 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-01-16 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-01-17 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-01-18 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-01-19 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-01-20 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-01-21 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-01-22 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-01-23 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-01-24 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-01-25 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-01-26 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-01-27 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-01-28 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-01-29 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-01-30 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-01-31 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-02-01 00:00:00,0,0,404.6,0,-34.9,-27.9,97.7,14,71.8,-153.5,-41.9,-139.5,0,0
2002-02-02 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-02-03 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
