Dates,OTH.PG&E.LARGE - MidPoint,OTH.SOCAL.LARGE - MidPoint
,"PG&E, Large pkgs, Gas Daily Price Survey","SoCal Gas, Large Pkgs, Gas Daily Price Survey"
2000-04-01 00:00:00,2.975,2.975
2000-04-02 00:00:00,2.975,2.975
2000-04-03 00:00:00,2.975,2.975
2000-04-04 00:00:00,3.025,3.045
2000-04-05 00:00:00,2.97,2.995
2000-04-06 00:00:00,2.975,2.98
2000-04-07 00:00:00,2.985,2.995
2000-04-08 00:00:00,2.975,3.005
2000-04-09 00:00:00,2.975,3.005
2000-04-10 00:00:00,2.975,3.005
2000-04-11 00:00:00,2.995,3.025
2000-04-12 00:00:00,3.005,3.01
2000-04-13 00:00:00,2.995,3.015
2000-04-14 00:00:00,3.035,3.045
2000-04-15 00:00:00,2.985,2.985
2000-04-16 00:00:00,2.985,2.985
2000-04-17 00:00:00,2.985,2.985
2000-04-18 00:00:00,3.025,3.055
2000-04-19 00:00:00,3.07,3.075
2000-04-20 00:00:00,3.055,3.065
2000-04-21 00:00:00,2.95,2.985
2000-04-22 00:00:00,2.95,2.985
2000-04-23 00:00:00,2.95,2.985
2000-04-24 00:00:00,2.95,2.985
2000-04-25 00:00:00,3.045,3.055
2000-04-26 00:00:00,3.05,3.075
2000-04-27 00:00:00,3.065,3.085
2000-04-28 00:00:00,3.065,3.06
2000-04-29 00:00:00,2.99,2.985
2000-04-30 00:00:00,2.99,2.985
2000-05-01 00:00:00,3.03,3.04
2000-05-02 00:00:00,3.12,3.145
2000-05-03 00:00:00,3.165,3.21
2000-05-04 00:00:00,3.15,3.175
2000-05-05 00:00:00,3.05,3.155
2000-05-06 00:00:00,3.05,3.055
2000-05-07 00:00:00,3.05,3.055
2000-05-08 00:00:00,3.05,3.055
2000-05-09 00:00:00,3.075,3.12
2000-05-10 00:00:00,3.165,3.195
2000-05-11 00:00:00,3.145,3.165
2000-05-12 00:00:00,3.25,3.265
2000-05-13 00:00:00,3.185,3.22
2000-05-14 00:00:00,3.185,3.22
2000-05-15 00:00:00,3.185,3.22
2000-05-16 00:00:00,3.265,3.29
2000-05-17 00:00:00,3.41,3.425
2000-05-18 00:00:00,3.475,3.495
