BOOK_ID,LAST OFFICIALIZED,COMMODITY_CD,Active/Inactive,Book Adminstrator,Trading Group
CHASE-X-BAS,2001-02-05 00:00:00,NG,Active,Kori Loibl,Errol McLaughlin
CHASE-X-IDX,2001-02-05 00:00:00,NG,Active,Kori Loibl,Errol McLaughlin
CHASE-X-PRC,2001-02-05 00:00:00,NG,Active,Kori Loibl,Errol McLaughlin
EPMI-LT-NAMGMT-PRC,2001-02-05 00:00:00,PWRC,Active,Kori Loibl,Errol McLaughlin
EPMI-LT-WNAMGMT-PRC,2001-02-05 00:00:00,PWR,Active,Kori Loibl,Errol McLaughlin
FT-US/CAND-ERMS-BAS,2001-02-05 00:00:00,NG,Active,Kori Loibl,Errol McLaughlin
FT-US/CAND-ERMS-GDL,2001-02-05 00:00:00,NG,Active,Kori Loibl,Errol McLaughlin
FT-US/CAND-ERMS-IDX,2001-02-05 00:00:00,NG,Active,Kori Loibl,Errol McLaughlin
FT-US/CAND-ERMS-PRC,2001-02-05 00:00:00,NG,Active,Kori Loibl,Errol McLaughlin
GARDEN-STATES-PRC,2001-02-05 00:00:00,NG,Active,Kori Loibl,Errol McLaughlin
GAS-APEA PREPAY-BAS,2001-02-05 00:00:00,NG,Active,Kori Loibl,Errol McLaughlin
GAS-APEA PREPAY-IDX,2001-02-05 00:00:00,NG,Active,Kori Loibl,Errol McLaughlin
GAS-APEA PREPAY-PRC,2001-02-05 00:00:00,NG,Active,Kori Loibl,Errol McLaughlin
GAS-CAGE-SVC-BAS,2001-02-05 00:00:00,NG,Active,Kori Loibl,Errol McLaughlin
GAS-CAGE-SVC-IDX,2001-02-05 00:00:00,NG,Active,Kori Loibl,Errol McLaughlin
GAS-CAGE-SVC-PRC,2001-02-05 00:00:00,NG,Active,Kori Loibl,Errol McLaughlin
GAS-CHA-MAH-BAS,2001-02-05 00:00:00,NG,Active,Kori Loibl,Errol McLaughlin
GAS-CHA-MAH-IDX,2001-02-05 00:00:00,NG,Active,Kori Loibl,Errol McLaughlin
GAS-CHA-MAH-PRC,2001-02-05 00:00:00,NG,Active,Kori Loibl,Errol McLaughlin
GAS-CHASE1-PRC,2001-02-05 00:00:00,NG,Active,Kori Loibl,Errol McLaughlin
GAS-CHASE9A-BAS,2001-02-05 00:00:00,NG,Active,Kori Loibl,Errol McLaughlin
GAS-CHASE9A-IDX,2001-02-05 00:00:00,NG,Active,Kori Loibl,Errol McLaughlin
GAS-CHASE9A-PRC,2001-02-05 00:00:00,NG,Active,Kori Loibl,Errol McLaughlin
GAS-CHASE9-BAS,2001-01-08 00:00:00,NG,Inactive,Kori Loibl,Errol McLaughlin
GAS-CHASE9-IDX,2001-01-08 00:00:00,NG,Inactive,Kori Loibl,Errol McLaughlin
GAS-CHASE9-PRC,2001-01-08 00:00:00,NG,Inactive,Kori Loibl,Errol McLaughlin
GAS-CHASE-MAHII-BAS,2001-02-05 00:00:00,NG,Active,Kori Loibl,Errol McLaughlin
GAS-CHASE-MAHII-IDX,2001-02-05 00:00:00,NG,Active,Kori Loibl,Errol McLaughlin
GAS-CHASE-MAHII-PRC,2001-02-05 00:00:00,NG,Active,Kori Loibl,Errol McLaughlin
GAS-CHASE-MAHIV-BAS,2001-02-05 00:00:00,NG,Active,Kori Loibl,Errol McLaughlin
