,NEW YORK CITY CPARK,,,CHICAGO,,,PHILADELPHIA,,,DETROIT,,,INDIANAPOLIS,,,BALTIMORE,,,COLUMBUS OH,,,MILWAUKEE,,,WASHINGTON DC,,,BOSTON,
,CDD,HDD,,CDD,HDD,,CDD,HDD,,CDD,HDD,,CDD,HDD,,CDD,HDD,,CDD,HDD,,CDD,HDD,,CDD,HDD,,CDD,HDD
1994-01-06,0,231.5,,0,252.5,,0,223,,0,271.5,,0,225.5,,0,231.5,,0,253,,0,268,,0,213,,0,256.5
1994-01-13,0,271.5,,0,341.5,,0,244,,0,325.5,,0,278.5,,0,250.5,,0,278.5,,0,340.5,,0,240.5,,0,293.5
1994-01-20,0,343,,0,497,,0,356,,0,451.5,,0,457,,0,352,,0,441.5,,0,504.5,,0,343,,0,342
1994-01-27,0,281.5,,0,271,,0,259.5,,0,293.5,,0,256.5,,0,261,,0,267.5,,0,279,,0,242.5,,0,323.5
1994-02-03,0,248,,0,356.5,,0,224.5,,0,319,,0,292,,0,230,,0,295.5,,0,369,,0,221.5,,0,273.5
1994-02-10,0,269,,0,361.5,,0,244.5,,0,346.5,,0,286,,0,237,,0,280.5,,0,369,,0,224.5,,0,296
1994-02-17,0,257,,0,268.5,,0,227,,0,262.5,,0,226,,0,221,,0,228,,0,261,,0,208,,0,280.5
1994-02-24,0,153,,0,211,,0,158,,0,198,,0,168.5,,0,155.5,,0,150,,0,226.5,,0,134.5,,0,182
1994-03-03,0,267,,0,311,,0,247,,0,313,,0,257.5,,0,239,,0,269.5,,0,298,,0,224.5,,0,289
1994-03-10,0,185.5,,0,194,,0,166,,0,194,,0,177,,0,164,,0,188.5,,0,209.5,,0,140,,0,202
1994-03-17,0,178.5,,0,204,,0,165,,0,225,,0,182,,0,171,,0,211,,0,220.5,,0,154.5,,0,195
1994-03-24,0,144.5,,0,124,,0,133.5,,0,155.5,,0,122,,0,119.5,,0,128,,0,166.5,,0.5,101,,0,169
