THE WOOD REPORT - 11/01/01 THRU 11/18/01,THE WOOD REPORT - 11/01/01 THRU 11/18/01,THE WOOD REPORT - 11/01/01 THRU 11/18/01,THE WOOD REPORT - 11/01/01 THRU 11/18/01,THE WOOD REPORT - 11/01/01 THRU 11/18/01,THE WOOD REPORT - 11/01/01 THRU 11/18/01,THE WOOD REPORT - 11/01/01 THRU 11/18/01,THE WOOD REPORT - 11/01/01 THRU 11/18/01,THE WOOD REPORT - 11/01/01 THRU 11/18/01,THE WOOD REPORT - 11/01/01 THRU 11/18/01
THE WOOD REPORT - 11/01/01 THRU 11/18/01,THE WOOD REPORT - 11/01/01 THRU 11/18/01,THE WOOD REPORT - 11/01/01 THRU 11/18/01,THE WOOD REPORT - 11/01/01 THRU 11/18/01,THE WOOD REPORT - 11/01/01 THRU 11/18/01,THE WOOD REPORT - 11/01/01 THRU 11/18/01,THE WOOD REPORT - 11/01/01 THRU 11/18/01,THE WOOD REPORT - 11/01/01 THRU 11/18/01,THE WOOD REPORT - 11/01/01 THRU 11/18/01,THE WOOD REPORT - 11/01/01 THRU 11/18/01
THE WOOD REPORT - 11/01/01 THRU 11/18/01,THE WOOD REPORT - 11/01/01 THRU 11/18/01,THE WOOD REPORT - 11/01/01 THRU 11/18/01,THE WOOD REPORT - 11/01/01 THRU 11/18/01,THE WOOD REPORT - 11/01/01 THRU 11/18/01,THE WOOD REPORT - 11/01/01 THRU 11/18/01,THE WOOD REPORT - 11/01/01 THRU 11/18/01,THE WOOD REPORT - 11/01/01 THRU 11/18/01,THE WOOD REPORT - 11/01/01 THRU 11/18/01,THE WOOD REPORT - 11/01/01 THRU 11/18/01
,,,,,,,,,
Trader ID,Product Name,Count of Buy Activity,Count of Sell Activity,Count of Total Activity,,Buy Volume,Sell Volume,Total Volume,Wood Factor
FERMIS,,,,,,,,,
,US Gas Basis CIG Rky Mtn Dec01,12,19,31,,100000,97700,197700,6377.419354838709
,US Gas Basis CIG Rky Mtn Feb02,1,1,2,,5000,5000,10000,5000
,US Gas Basis CIG Rky Mtn Jan02,2,1,3,,10000,5000,15000,5000
,US Gas Basis CIG Rky Mtn Mar02,1,,1,,5000,,5000,5000
,US Gas Basis NWPL RkyMtn Apr-Oct02,11,1,12,,65000,5000,70000,5833.333333333333
,US Gas Basis NWPL RkyMtn Dec01,115,100,215,,675000,595000,1270000,5906.976744186047
,US Gas Basis NWPL RkyMtn Dec01-Mar02,2,2,4,,15000,15000,30000,7500
,US Gas Basis NWPL RkyMtn Feb02,36,36,72,,180000,180000,360000,5000
,US Gas Basis NWPL RkyMtn Jan02,41,41,82,,210000,210000,420000,5121.951219512195
,US Gas Basis NWPL RkyMtn Mar02,32,26,58,,175000,145000,320000,5517.241379310345
,US Gas Basis NWPL RkyMtn Nov02-Mar03,2,,2,,10000,,10000,5000
,US Gas Daily Cheyenne Hub,14,6,20,,120000,45000,165000,8250
,US Gas Daily CIG(N.syst),13,23,36,,102500,170000,272500,7569.444444444444
,US Gas Daily Kern River/Opal,130,124,254,,735000,735000,1470000,5787.40157480315
FERMIS Total,14,412,380,792,,2407500,2207700,4615200,5827.272727272727
,,,,,,,,,
JREITME,,,,,,,,,
,US Gas Basis CIG Rky Mtn Apr-Oct02,,1,1,,,10000,10000,10000
,US Gas Basis NWPL RkyMtn Apr-Oct02,3,2,5,,20000,15000,35000,7000
,US Gas Basis NWPL RkyMtn Apr-Oct03,4,,4,,20000,,20000,5000
,US Gas Daily Cheyenne Hub,30,34,64,,277500,270000,547500,8554.6875
,US Gas Daily CIG(N.syst),26,33,59,,235000,305000,540000,9152.542372881357
,US Gas Phy Cheyenne Hub,144,169,313,,583618,748005,1331623,4254.386581469648
,US Gas Phy CIG Mainline,188,241,429,,867535,1071877,1939412,4520.773892773893
,US Gas Phy WIC,101,161,262,,492350,757396,1249746,4770.022900763359
JREITME Total,8,496,641,1137,,2496003,3177278,5673281,4989.693051890941
,,,,,,,,,
JWOLFE,,,,,,,,,
,US Gas Phy Kern Las Vegas,17,13,30,,82500,65000,147500,4916.666666666667
,US Gas Phy PG&E Baja Pool,21,90,111,,190000,840000,1030000,9279.279279279279
,US Gas Phy PG&E CtyGte,151,374,525,,1375000,3310000,4685000,8923.809523809523
,US Gas Phy PGT Malin,229,145,374,,1925000,1240000,3165000,8462.566844919786
JWOLFE Total,4,418,622,1040,,3572500,5455000,9027500,8680.288461538461
,,,,,,,,,
KHOLST,,,,,,,,,
,US Gas Basis NGI Malin Apr-Oct02,1,,1,,5000,,5000,5000
,US Gas Basis NGI Malin Dec01,4,3,7,,40000,30000,70000,10000
,US Gas Basis NGI Malin Dec01-Mar02,1,1,2,,5000,5000,10000,5000
,US Gas Basis NGI PGE CtyGate Dec01,2,,2,,20000,,20000,10000
,US Gas Basis NGI PGE CtyGate Dec01-Mar02,1,,1,,5000,,5000,5000
,US Gas Basis NGI SoCal Apr-Oct02,27,18,45,,130000,84000,214000,4755.555555555556
,US Gas Basis NGI SoCal Dec01,78,60,138,,682000,543000,1225000,8876.811594202898
,US Gas Basis NGI SoCal Dec01-Mar02,47,40,87,,235000,200000,435000,5000
,US Gas Basis NGI SoCal Jan02,29,21,50,,185000,126000,311000,6220
,US Gas Basis NGI SoCal Nov02-Mar03,16,9,25,,80000,45000,125000,5000
KHOLST Total,10,206,152,358,,1387000,1033000,2420000,6759.776536312849
,,,,,,,,,
MGRIGSB,,,,,,,,,
,US Gas Daily EP Permian,132,133,265,,1260000,1210000,2470000,9320.754716981131
,US Gas Daily IF GD/D EP-Perm Dec01,1,,1,,10000,,10000,10000
,US Gas Daily Malin,90,100,190,,695000,820000,1515000,7973.684210526316
,US Gas Daily NGI GD/D Malin Dec01,2,,2,,20000,,20000,10000
,US Gas Daily NGI GD/D Malin Dec01-Mar02,2,,2,,15000,,15000,7500
,US Gas Daily NGI GD/D PGECty Dec01,,1,1,,,10000,10000,10000
,US Gas Daily NGI GD/D SoCal Dec01,4,5,9,,40000,50000,90000,10000
,US Gas Daily NGI GD/D SoCal Dec01-Mar02,1,,1,,10000,,10000,10000
,US Gas Daily PG&E CtyGate,87,113,200,,730000,930000,1660000,8300
,US Gas Daily SoCal,154,148,302,,1425000,1320000,2745000,9089.403973509934
,US Gas Phy Index IF EP Perm Dec01,2,3,5,,20000,30000,50000,10000
,US Gas Phy Index IF EP Perm Dec01-Mar02,1,2,3,,5000,15000,20000,6666.666666666667
,US Gas Phy Index NGI Malin Apr-Oct02,1,,1,,10000,,10000,10000
,US Gas Phy Index NGI PGE CtyGate Dec01,3,4,7,,30000,30000,60000,8571.42857142857
,US Gas Phy Index NGI PGE CtyGate Dec01-Mar02,,1,1,,,5000,5000,5000
,US Gas Phy Index NGI SoCal Ehr Dec01,1,1,2,,10000,10000,20000,10000
,US Gas Phy Index NGI SoCal Topck Dec01,,1,1,,,10000,10000,10000
,US Gas Phy Index NGI SoCal Wheeler Ridge Dec01,1,,1,,10000,,10000,10000
MGRIGSB Total,18,482,512,994,,4290000,4440000,8730000,8782.696177062375
,,,,,,,,,
MLENHAR,,,,,,,,,
,US Gas Basis NGI Malin Apr-Oct02,2,3,5,,10000,15000,25000,5000
,US Gas Basis NGI Malin Dec01,27,29,56,,245000,250000,495000,8839.285714285714
,US Gas Basis NGI Malin Dec01-Mar02,22,16,38,,110000,80000,190000,5000
,US Gas Basis NGI Malin Jan02,13,17,30,,95000,120000,215000,7166.666666666667
,US Gas Basis NGI PGE CtyGate Apr-Oct02,5,4,9,,25000,20000,45000,5000
,US Gas Basis NGI PGE CtyGate Dec01,44,38,82,,435000,345000,780000,9512.19512195122
,US Gas Basis NGI PGE CtyGate Dec01-Mar02,11,24,35,,55000,120000,175000,5000
,US Gas Basis NGI PGE CtyGate Jan02,8,6,14,,45000,50000,95000,6785.714285714285
