,,,,,
Group ID,Group,CP ID,Counterparty,Online Trading Limit,Tenor Limit (months)
57302,"Allegheny Energy, Inc.",72209,"Allegheny Energy Supply Company, LLC",75000000,36
8,Amerada Hess Corporation,8,Amerada Hess Corporation,75000000,48
64516,Avista Corporation,64516,Avista Corporation,10000000,12
70526,"Bank of America, National Association",70526,"Bank of America, National Association",200000000,60
56631,BNP Paribas,56631,BNP Paribas,200000000,60
65291,BP Corporation North America Inc.,65291,BP Corporation North America Inc.,150000000,60
5264,"Cargill, Incorporated",5264,"Cargill, Incorporated",75000000,60
1611,ChevronTexaco Corporation,3947,Texaco Inc.,50000000,60
3497,Conoco Inc.,3497,Conoco Inc.,150000000,60
79233,Constellation Energy Group,26,Baltimore Gas and Electric Company,20000000,36
49747,"Coral Energy Holding, L.P.",49747,"Coral Energy Holding, L.P.",75000000,60
4243,Dominion Resources Inc.,3246,Virginia Electric and Power Company,100000000,60
47813,DTE Energy Co.,1173,"Detroit Edison Company, The",30000000,36
47813,DTE Energy Co.,2166,Michigan Consolidated Gas Company,40000000,36
55250,Duke Energy Corporation,55250,Duke Energy Corporation,15000000,60
55250,Duke Energy Corporation,54979,"Duke Energy Trading and Marketing, L.L.C.",180000000,60
90291,Exelon Corporation,93110,"Exelon Generation Company, LLC",50000000,36
3700,FPL Group Inc.,1421,Florida Power & Light Company,75000000,36
81464,"Idacorp, Inc.",65246,IDACORP Energy L.P.,50000000,36
,JP Morgan Chase & Co,5815,JP Morgan Chase Bank,200000000,60
45492,MidAmerican Energy Company,45492,MidAmerican Energy Company,60000000,36
26294,Nexen Inc.,57251,Nexen Marketing,50000000,36
313,NiSource Inc.,154,Northern Indiana Public Service Company,50000000,36
11157,PanCanadian Petroleum Limited,11157,PanCanadian Petroleum Limited,30000000,36
2585,Pinnacle West Capital Corporation,5225,Arizona Public Service Company,15000000,36
2584,Pinnacle West Capital Corporation,2584,Pinnacle West Capital Corporation,75000000,36
92496,Progress Energy Inc.,27457,Carolina Power & Light Company,50000000,36
92496,Progress Energy Inc.,1424,Florida Power Corporation,50000000,36
92496,Progress Energy Inc.,3514,North Carolina Natural Gas Corporation,10000000,36
4050,Public Service Enterprise Group,2648,Public Service Electric and Gas Company,40000000,36
65415,Sempra Energy,187,San Diego Gas & Electric Company,50000000,36
65415,Sempra Energy,2872,Southern California Gas Company,50000000,36
169,Utilicorp United Inc.,169,Utilicorp United Inc.,50000000,36
47802,WPS Resources Corporation,240,Wisconsin Public Service Corporation,30000000,36
265,Xcel Energy Inc.,161,Northern States Power Co.,15000000,36
265,Xcel Energy Inc.,177,Public Service Company Of Colorado,50000000,36
265,Xcel Energy Inc.,201,Southwestern Public Service Company,30000000,36
