,Physical/,2002-02-01 00:00:00,,2002-03-01 00:00:00,,2002-04-01 00:00:00,,2002-05-01 00:00:00,,2002-06-01 00:00:00,,2002-07-01 00:00:00,,2002-08-01 00:00:00,,2002-09-01 00:00:00,,2002-10-01 00:00:00,,2002-11-01 00:00:00,,2002-12-01 00:00:00,,2003-01-01 00:00:00,,2003-02-01 00:00:00,,2003-03-01 00:00:00,,2003-04-01 00:00:00,,2003-05-01 00:00:00,,2003-06-01 00:00:00,,2003-07-01 00:00:00,,2003-08-01 00:00:00,,2003-09-01 00:00:00,,2003-10-01 00:00:00,,2003-11-01 00:00:00,,2003-12-01 00:00:00,,2004-01-01 00:00:00,,2004-02-01 00:00:00,,2004-03-01 00:00:00,,2004-04-01 00:00:00,,2004-05-01 00:00:00,,2004-06-01 00:00:00,,2004-07-01 00:00:00,,2004-08-01 00:00:00,,2004-09-01 00:00:00,,2004-10-01 00:00:00,,2004-11-01 00:00:00,,2004-12-01 00:00:00,,2005-01-01 00:00:00,,2005-02-01 00:00:00,,2005-03-01 00:00:00,,2005-04-01 00:00:00,,2005-05-01 00:00:00,,2005-06-01 00:00:00,,2005-07-01 00:00:00,,2005-08-01 00:00:00,,2005-09-01 00:00:00,,2005-10-01 00:00:00,,2005-11-01 00:00:00,,2005-12-01 00:00:00,,2006-01-01 00:00:00,,2006-02-01 00:00:00,,2006-03-01 00:00:00,,2006-04-01 00:00:00,,2006-05-01 00:00:00,,2006-06-01 00:00:00,,2006-07-01 00:00:00,,2006-08-01 00:00:00,,2006-09-01 00:00:00,,2006-10-01 00:00:00,,2006-11-01 00:00:00,,2006-12-01 00:00:00,,2007-01-01 00:00:00,,2007-02-01 00:00:00,,2007-03-01 00:00:00,,2007-04-01 00:00:00,,2007-05-01 00:00:00,,2007-06-01 00:00:00,,2007-07-01 00:00:00,,2007-08-01 00:00:00,,2007-09-01 00:00:00,,2007-10-01 00:00:00,,2007-11-01 00:00:00,,2007-12-01 00:00:00,,2008-01-01 00:00:00,,2008-02-01 00:00:00,,2008-03-01 00:00:00,,2008-04-01 00:00:00,,2008-05-01 00:00:00,,2008-06-01 00:00:00,,2008-07-01 00:00:00,,2008-08-01 00:00:00,,2008-09-01 00:00:00,,2008-10-01 00:00:00,,2008-11-01 00:00:00,,2008-12-01 00:00:00,,2009-01-01 00:00:00,,2009-02-01 00:00:00,,2009-03-01 00:00:00,,2009-04-01 00:00:00,,2009-05-01 00:00:00,,2009-06-01 00:00:00,,2009-07-01 00:00:00,,2009-08-01 00:00:00,,2009-09-01 00:00:00,,2009-10-01 00:00:00,,2009-11-01 00:00:00,,2009-12-01 00:00:00,,2010-01-01 00:00:00,,2010-02-01 00:00:00,,2010-03-01 00:00:00,,2010-04-01 00:00:00,,2010-05-01 00:00:00,,2010-06-01 00:00:00,,2010-07-01 00:00:00,,2010-08-01 00:00:00,,2010-09-01 00:00:00,,2010-10-01 00:00:00,,2010-11-01 00:00:00,,2010-12-01 00:00:00,,
Counterparty,Financial,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Pk Delta,OPk Delta,Total
ABDIRAGHDG,Financial,-165.94,-125,-197.37,-186.54,-207.41,-165.1,-207,-177.58,-187.86,-183.65,-206.26,-176.91,-205.82,-176.53,-186.74,-182.56,-214.26,-166.85,-185.9,-181.73,-194.67,-184.2,-186.4,-160.59,-168.29,-142.41,-176.17,-166.78,-184,-146.54,-175.07,-165.74,-174.46,-154.2,-182.14,-156.31,-173.2,-164,-172.58,-152.54,-188.27,-146.69,-155,-167.69,-178.6,-153.27,-168.76,-159.76,-160.13,-146.06,-183.33,-142.52,-174.64,-139.09,-158.07,-165,-173.1,-138.18,-164.52,-155.75,-171.5,-147.18,-163,-144.05,-162.24,-153.9,-161.41,-142.67,-175,-136.06,-142,-136.2,-134.69,-114.07,-150.17,-116.33,-135.75,-119,-135.1,-127.15,-140.87,-111.73,-127.51,-132.39,-145.87,-112.66,-132.58,-116.48,-131.92,-124.41,-131.29,-115.34,-130.58,-122.9,-130,-122.32,-123.2,-103.61,-140.94,-108.86,-122,-118.38,-133.41,-113.79,-132.65,-105.21,-120,-124.59,-137.22,-106,-118.72,-115.46,-129.84,-111,-123.26,-108.29,-115.92,-120.32,-5.69,-9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-17829.35
ABDIRECT-HEDGES,Financial,-10180.74,-9292.24,-11832.49,-12995.75,-12115.64,-11270.82,-11886.91,-11924.08,-10824.23,-12212.43,-11998.88,-12123.1,-11424.35,-11506.47,-10342.13,-11838.09,-12307.37,-11575.2,-12464.75,-14221.1,-12516.93,-13987.57,-11344.57,-11835.31,-9829.26,-9894.46,-10084.36,-11081.8,-10214.23,-9500.62,-9474.12,-10378.45,-9504.76,-9811.46,-10031.41,-10161.78,-9481.91,-10374.32,-9144.69,-9665.14,-10297.83,-9846.6,-10014.57,-12619.58,-11214.26,-11521.64,-9791.89,-11285.15,-8882.4,-9698.94,-9467,-8899.44,-8118.91,-7781.53,-7131.76,-8758.14,-7348.72,-7167.69,-6927.44,-7826.17,-7078.21,-7322.9,-6718,-7188.14,-6921.29,-8053.44,-8427.09,-9075.52,-8868.85,-8546.24,-7201.49,-8664.07,-6393.47,-6770.58,-7151.33,-6976.94,-6254.61,-6696.21,-5968.32,-6897.16,-6260.2,-6211,-5704.81,-7172.36,-6461,-6241.67,-5890,-6400.44,-6185.87,-7285.06,-7860.85,-8479.24,-7592.61,-8717.81,-6501,-7815.85,-5748.82,-6077.81,-6423.5,-6252,-5338.35,-6238.13,-5585.81,-5904.16,-5588.77,-5528.66,-4652.25,-6089.53,-5263.6,-5259.7,-4547.49,-5578.22,-5262.61,-5908.78,-5954.14,-6577.61,-3835.5,-5042.11,-3983.05,-4430.13,-3587,-3942,-3911.94,-4357,-3714.19,-4233.73,-3872.07,-4312.08,-3677.36,-4202.7,-3660.41,-4444.79,-3987.26,-4073.94,-3280.61,-4489.25,-3950.15,-4046.76,-3586.3,-4098.7,-3397.11,-4501.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1103604.52
ARCRESLTD,Financial,-1437.31,-1437.31,-1674.16,-2032.91,-1750.76,-1825.37,-1747.6,-1946.19,-1585.74,-1982.17,-1741,-1938.87,-1737.3,-1934.72,-1576.31,-1970.38,-1808.61,-1852.85,-1569.21,-1961.51,-1643.22,-1995.34,-1717,-1912.09,-1556.93,-1712.62,-1629.9,-1979.16,-1702.28,-1774.82,-1619.73,-1966.81,-1614,-1844.58,-1685.05,-1876.53,-1602.34,-1945.7,-1596.63,-1824.71,-1741.8,-1784.39,-1433.59,-1961.76,-1652.32,-1840.08,-1570.91,-1907.53,-1490.56,-1751.41,-1706.54,-1743.64,-1625.6,-1694.87,-1471.36,-1949.56,-1611.27,-1684.51,-1531.46,-1859.63,-1596.43,-1777.84,-1517.07,-1733.8,-1510.18,-1838.29,-1502.46,-1717.1,-1637.23,-1672.83,-1487.36,-1806.08,-1410.72,-1551.79,-1615,-1650.09,-1468.22,-1673.6,-1461.19,-1774.3,-1523.57,-1592.83,-1379.12,-1827.33,-1577.62,-1611.92,-1433.87,-1638.71,-1426.81,-1736.8,-1419.94,-1622.78,-1412.32,-1715,-1405.59,-1706.78,-1332.43,-1465.67,-1524.32,-1557.46,-1319.2,-1644.88,-1442.92,-1606.89,-1434.67,-1499.88,-1297.84,-1719.64,-1484.07,-1516.33,-1284,-1605,-1404.29,-1567.85,-1333.12,-1523.57,-1262.16,-1672.36,-1380.86,-1537.77,-1249.74,-1374.72,-1368.29,-1523.78,-1299.75,-1481.56,-1355,-1509,-1286.86,-1470.7,-1280.93,-1555.42,-1395.31,-1425.64,-1148,-1571,-1382.32,-1416.13,-1256,-1435.42,-1190,-1576.69,-1302.54,-1450.55,-1237.41,-1325.8,-1231.09,-1494.89,-1283.3,-1338,-1218.86,-1480,-1212.34,-1385.53,-1263.68,-1407.28,-1199.73,-1456.82,-1193.84,-1364.39,-1300.64,-1332.45,-1069.3,-1463.26,-1230.92,-1370.8,-1169.1,-1419.62,-1108,-1218.84,-1212.06,-1349.79,-1205.71,-1257.09,-1090.53,-1445,-1192.83,-1247.05,-1240.22,-1267.18,-1125.94,-1367.22,-1120.12,-1280.14,-1167.16,-1303.11,-1055.15,-1318.93,-1154,-1285.09,-1043.73,-1382.94,-1038.41,-1142.25,-1187,-1212.78,-1129.12,-1177.24,-1020.62,-1352.32,-1116.24,-1167,-1059.77,-1286.86,-1103.41,-1228.79,-1047.54,-1197.18,-1041.83,-1268.18,-1035.54,-1183.48,-1127.51,-1152,-317039.61
BOUCHERBROLUM,Financial,-205,-86.24,-240,-122,-258.24,-109.52,-250.82,-116.77,-233.9,-118.93,-249.88,-116.33,-249.34,-116.08,-232.51,-118.22,-259.89,-111.17,-231.46,-117.69,-235.53,-119.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3899.19
CALGARYWINCLU,Financial,-138.65,-108.49,-154.34,-150.56,-135.64,-113.5,-116.26,-104.83,-106.15,-96.48,-113.23,-98.72,-118.85,-94.06,-145.36,-156.41,-166.91,-135.12,-151.72,-164.59,-156.41,-161.37,-164.57,-151.58,-150.19,-130.76,-150.26,-146.58,-131.88,-110.36,-108.14,-106.53,-108.36,-88.73,-109.59,-95.54,-109.62,-95.32,-147.23,-144.17,-160,-130.39,-138.61,-165.38,-156.66,-148.51,-149.3,-152.61,-143.11,-133.9,-157.32,-126.47,-125.94,-105.39,-98.23,-106.26,-108.18,-80.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7523.4
CHEVRONCANRES,Physical,-2872.51,-2872.51,-3345.54,-4062.44,-3498.89,-3648,-3492.46,-3889.33,-3169.1,-3961.38,-3479.16,-3874.52,-3472,-3866.54,-3149.63,-3937,-3613.67,-3702,-3134.88,-3918.6,-3283.05,-3986.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-78229.86
DAISHOWAMARINT,Financial,-574.92,-574.92,-669.67,-813.17,-700.3,-730.15,-699,-778.47,-634.3,-792.87,-696.41,-775.55,-694.92,-773.89,-630.52,-788.15,-723.45,-741.14,-627.68,-784.6,-657.29,-798.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-15659.55
DYNEGYCAN,Physical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7840.05,-9520.06,-7437.87,-8739.5,-8517.51,-8702.68,-8113.19,-8458.93,-7343.11,-9729.62,-8042.19,-8407.74,-7641.28,-9278.7,-7967.49,-8872.88,-7570,-8651.41,-7532.88,-9169.49,-7496.44,-8567.36,-8168.55,-8346.13,-7422.6,-9013.16,-7040.24,-7744.26,-8059.41,-8234.61,-7325.76,-8350.49,-7291.57,-8854.05,-7603.88,-7949.51,-6879.58,-9115.45,-7873.26,-8044.42,-7154.59,-8176.68,-7119.19,-8665.92,-7084.71,-8096.81,-7048.86,-8559.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-388823.36
ECPC,Physical,24111.15,23949.57,28081.6,33807.84,29368.77,30402,29314.86,32429.3,26600.67,32958.68,28703.09,31964.8,28644,31899,25984.43,32480.54,29812.77,30541.88,25862.77,32328.46,27085.19,32889.16,9432.42,10504.29,8552.56,9407.82,8952.67,10871.1,9349.76,9748.19,8894.89,10800.93,8865,10131.37,9253.6,10305.15,8800,10685.68,8767.06,10019.49,9563.67,9797.56,7868.9,10768,9072.64,10103.62,784,952,743.79,873.95,851.75,870.27,811.32,845.89,734.31,973,804.22,840.77,764.13,927.87,796.75,887.29,757,865.14,753.29,916.95,749.64,856.74,816.86,834.61,742.26,901.32,704,774.43,805.94,823.46,732.58,835,729.16,885.41,760.39,795,688,911.54,787.33,804.44,715.46,817.67,711.92,866.59,708.47,809.68,704.89,855.93,701.28,851.55,664.76,731.24,760.48,777,657.91,820.33,719.84,801.64,716.08,748.63,647.43,857.85,740.45,756.54,640.4,800.5,700.48,782.07,665,760,629.67,834.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,936384.52
