,,,,,
Entity,Entity,Entity,Attribute,Attribute,Attribute
Name,Definition,Note,Name,Definition,Note
,,,,,
BILL,"A BILL represents a bill sent by a SUPPLIER to ENRON.  In other words, it represents an Enron liability to a SUPPLIER.  The AP_ACTION_CODE in the BILL_LINE_FACT indicates whether the liability has been posted to the Accounts Payable subledger.",,BILL_KEY,The data warehouse's unique identifier for a SUPPLIER Bill,
BILL,"A BILL represents a bill sent by a SUPPLIER to ENRON.  In other words, it represents an Enron liability to a SUPPLIER.  The AP_ACTION_CODE in the BILL_LINE_FACT indicates whether the liability has been posted to the Accounts Payable subledger.",,SOURCE_SYSTEM_KEY,The SOURCE_SYSTEM from which this row was created and/or updated,
BILL,"A BILL represents a bill sent by a SUPPLIER to ENRON.  In other words, it represents an Enron liability to a SUPPLIER.  The AP_ACTION_CODE in the BILL_LINE_FACT indicates whether the liability has been posted to the Accounts Payable subledger.",,BILL_ID,The SOURCE_SYSTEM's identifier for a BILL,
BILL,"A BILL represents a bill sent by a SUPPLIER to ENRON.  In other words, it represents an Enron liability to a SUPPLIER.  The AP_ACTION_CODE in the BILL_LINE_FACT indicates whether the liability has been posted to the Accounts Payable subledger.",,SEND_DATE,"The date on which one or more BILL_LINE's were sent to the Accounts Payable subledger, and booked as a liability (or the date that the billing system assumes the liability is booked)",
BILL,"A BILL represents a bill sent by a SUPPLIER to ENRON.  In other words, it represents an Enron liability to a SUPPLIER.  The AP_ACTION_CODE in the BILL_LINE_FACT indicates whether the liability has been posted to the Accounts Payable subledger.",,DUE_DATE,The SUPPLIER assigned date by which the BILL must be paid to the SUPPLIER,
BILL,"A BILL represents a bill sent by a SUPPLIER to ENRON.  In other words, it represents an Enron liability to a SUPPLIER.  The AP_ACTION_CODE in the BILL_LINE_FACT indicates whether the liability has been posted to the Accounts Payable subledger.",,ISSUE_DATE,The date on which the SUPPLIER issued the BILL.,
BILL,"A BILL represents a bill sent by a SUPPLIER to ENRON.  In other words, it represents an Enron liability to a SUPPLIER.  The AP_ACTION_CODE in the BILL_LINE_FACT indicates whether the liability has been posted to the Accounts Payable subledger.",,JOB_KEY,The job which created the row,
BILL_LINE_FACT,"A BILL_LINE_FACT represents the contribution, in terms of dollars and unit volume, of one line item towards a PRODUCTION_MONTH.  The PRODUCTION_MONTH represents a month over which a MASTER_SERVICE was realized (or consumed).",,BILL_LINE_FACT_KEY,DW unique identifier of a BILL_LINE_FACT row.,
