$,Jan,Feb,Mar*,April,May,June,July,Aug,Sept,Oct,Nov,Dec,Total
Brindle,115341,41469,41469,41469,41469,41469,41469,41469,41469,41469,40945,40475,569982
Terraso,47275,47275,0,0,0,0,0,0,0,0,0,0,94550
Kean,18090,9452,9452,0,0,0,0,0,0,0,0,0,36994
Shapiro,177798,137223,111120,111120,109958,109028,0,0,0,0,0,0,756247
Palmer,81958,81958,340951,40951,39887,39887,39887,39887,39887,39887,39887,39887,864914
Totals,440462,317377,502992,193540,191314,190384,81356,81356,81356,81356,80832,80362,2322687
,,,* Includes annual report,,,,,,,,,,
,,,,,,,,,,,,,
Newco,187161.33,187161.33,187161.33,187161.33,187161.33,186128.33,184507.33,182386.33,181746.33,181178.33,180662.33,180662.33,2213077.96
,,,,,,,,,,,,,
,,,,,,,,,,,,,
HC,Jan,Feb,Mar,April,May,June,July,Aug,Sept,Oct,Nov,Dec,
Brindle,12,4,4,4,4,4,4,4,4,4,4,4,
Terraso,5,5,0,0,0,0,0,0,0,0,0,0,
Kean,3,1,1,0,0,0,0,0,0,0,0,0,
Shapiro,7,7,6,6,6,6,0,0,0,0,0,0,
Palmer,7,7,3,3,3,3,3,3,3,3,3,3,
Totals,34,24,14,13,13,13,7,7,7,7,7,7,
,,,,,,,,,,,,,
Newco,9,9,9,9,9,9,9,9,9,9,9,9,
