,,,,,,,,,,,,,
,,,,,,Transportation Cost of LPG Delivered to Puerto Rico by PDVSA,,,,,,,
,,,,,,Empire versus ProCaribe,,,,,,,
,,,,,,,,,,,,,
,,,,,,Voyage,,,,,,,
,,Cargo Size,Cargo Size,,Port,Days,Days,Vessel,,Total,Total,Total,Difference
,Buyer,(Barrels),(MT),# Ports,Cost,(Round Trip),Discharging,Cost,,Cost,Cost per MT,Cost per Gallon,vs Empire
,,,,,,,,,,,,,
,Empire et al.,54000,4353.1669865643,2,31000,4,3.1668611435239207,175337.2228704784,,206337.2228704784,,,
,,,,,,,,,,,,,
,Empire et al.,74000,5965.451055662188,3,48000,4.083333333333333,4.000194476857254,194337.2228704784,,242337.2228704784,,,
,,,,,,,,,,,,,
,Total,128000,10318.618042226488,,79000,8.083333333333332,7.167055620381174,369674.4457409568,,448674.4457409568,43.482028688809244,0.08345878827026726,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,ProCaribe,99238.09523809524,8000,1,18000,3,1.8518518518518519,121037.03703703704,,139037.03703703702,17.379629629629626,0.03335821426032558,0.05010057400994168
,,,,,,,,,,,,,
,ProCaribe,128000,10318.618042226488,1,18000,3,2.388568991256131,131771.37982512263,,149771.37982512263,14.514674272486772,0.027859259640089774,0.05559952863017749
,,,,,,,,,,,,,
,ProCaribe,148857.14285714287,12000,1,18000,3,2.777777777777778,139555.55555555556,,157555.55555555556,13.12962962962963,0.025200824625008885,0.05825796364525837
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Vessel Day Rate,,,20000,,,,,,,,,
,Bunker Fuel per Day,,,8000,,,,,,,,,
,,,,,,,,,,,,,
,Discharge - Corco,,30000,Barrels at,625,Barrels per Hour,,,,,,,
,Discharge - Tropigas,,24000,Barrels at,857,Barrels per Hour,,,,,,,
,Discharge - Liquilux,,20000,Barrels at,1000,Barrels per Hour,,,,,,,
,Discharge - ProCaribe,,,,180,MT per Hour,,,,,,,
