,,,,,,,SOUTHERN CALIFORNIA GAS COMPANY,,,,,,,,,,
,System Sendout,Annual Growth,Sendout Adjustments,New Plant Demand,EPNG Topock,EPNG Ehrenberg,TW Needles,Elk Hills Wheeler,Kern Wheeler,PG&E KRS,Southern Trails,Storage Recovery,California Production,Total Wheeler,Total Receipts,Daily Storage,Storage Balance
1999-04-01,2801267,,,,508533,685933,585867,,309800,274400,,,179967,584200,2544500,-256767,38789000
1999-05-01,2214161,,,,520871,783226,573419,,332710,325323,,,173581,658033,2709130,494969,56057000
1999-06-01,2421600,,,,530300,701233,613433,,383667,362200,,,246167,745867,2837000,415400,68397000
1999-07-01,2643097,,,,523065,744774,663452,,379000,362613,,,249194,741613,2922098,279001,77117000
1999-08-01,2706516,,,,515452,569613,626484,,483387,267581,,,264097,750968,2726614,20098,78044000
1999-09-01,2645233,,,,509567,810300,677400,,417833,254300,,,259800,672133,2929200,283967,86618000
1999-10-01,2964097,,,,477806,1037419,721645,,389774,194419,,,255903,584193,3076966,112869,89228000
1999-11-01,2738600,,,,513033,943800,722433,,329067,110800,,,261500,439867,2880633,142033,92944000
1999-12-01,3114903,,,,469904,936063,695831,,161983,137157,,,265056,299140,2665994,-448909,78580000
2000-01-01,3123484,,,,530097,871548,676968,,197065,78226,,,257645,275291,2611549,-511935,62970000
2000-02-01,3069448,,,,535103,657034,674586,,275966,163931,,,269069,439897,2575689,-493759,48405000
2000-03-01,2825355,,,,527710,865516,684710,,349645,223226,,,249968,572871,2900775,75420,49222000
2000-04-01,2422967,,-378300,,531633,778567,608867,,461900,188200,,,245300,650100,2814467,391500,60911000
2000-05-01,2665677,,451516,,522387,651290,663548,,490516,264613,,,229613,755129,2821967,156290,65633000
2000-06-01,3097900,,676300,,520967,963267,696867,,391067,342500,,,252067,733567,3166735,68835,67650000
2000-07-01,3320806,,677709,,522097,1043258,708645,,392903,381355,,,246645,774258,3294903,-25903,66434000
2000-08-01,3616161,,909645,,502710,957452,711065,,344000,424452,,,271290,768452,3210969,-405192,53831000
2000-09-01,3191667,,546434,,499333,1093733,705933,,350100,397033,,,265033,747133,3311165,119498,57385000
2000-10-01,3104806,,140709,,511613,1165097,703613,,383839,312290,,,277484,696129,3353936,249130,65292000
2000-11-01,3509000,,770400,,510267,1094700,648267,,269167,194333,,,306533,463500,3023267,-485733,50042000
2000-12-01,3433677,,318774,,527032,1181935,737516,,391710,303677,,,297452,695387,3439322,5645,50168000
2001-01-01,4231161,,1107677,,533194,1190032,756613,,422548,330484,,,288903,753032,3521774,-709387,28000000
2001-02-01,4093750,,1024302,,532214,1200964,770893,,475821,283179,,,314786,759000,3577857,-515893,13953000
2001-03-01,3280839,,455484,,536645,1194129,784742,,362935,370452,,,308452,733387,3557355,276516,22111000
2001-04-01,3118733,,695766,,501467,1115367,777233,46690,460533,291400,,,262133,798623,3454823,336090,32146000
2001-05-01,2866452,,200775,,454516,1074516,773097,132194,298290,365355,,,279742,795839,3377710,511258,48018000
2001-06-01,2714100,,-383800,,481633,1066533,750200,137533,319467,304600,,0,277867,761600,3337833,623733,66737000
2001-07-01,2966097,,-354709,,473129,1099000,735774,118065,356226,299290,,0,350484,773581,3431968,465871,81722000
2001-08-01,3205129,,-411032,,454161,1081129,732968,159806,275194,291613,,0,333839,726613,3328710,123581,85360000
2001-09-01,2898543,,-293124,,445233,983533,671900,158100,282733,271133,,0,306900,711966,3119532,220989,89082000
2001-10-01,2799565.7,-0.05,-150000,0,450000,950000,725000,150000,350000,250000,,0,300000,750000,3175000,375434.3,100720463.30000001
2001-11-01,2883550,-0.05,-450000,0,450000,600000,725000,150000,350000,250000,,0,300000,750000,2825000,-58550,98963963.30000001
2001-12-01,3461993.15,-0.05,200000,0,450000,650000,725000,150000,350000,250000,,0,300000,750000,2875000,-586993.15,80767175.65
2002-01-01,3619602.95,-0.05,-400000,0,450000,750000,725000,150000,350000,250000,,0,300000,750000,2975000,-644602.95,60784484.20000002
2002-02-01,3489062.5,-0.05,-400000,0,450000,700000,725000,150000,350000,250000,,0,300000,750000,2925000,-564062.5,44990734.20000002
2002-03-01,3041797.05,-0.05,-75000,0,450000,650000,725000,150000,350000,250000,,0,300000,750000,2875000,-166797.05,39820025.65000002
2002-04-01,2718733,0,-400000,0,450000,925000,725000,150000,350000,250000,,0,300000,750000,3150000,431267,52758035.65000002
2002-05-01,2766452,0,-100000,0,450000,925000,725000,150000,350000,250000,,0,300000,750000,3150000,383548,64648023.65000002
2002-06-01,2714100,0,0,0,450000,925000,725000,150000,350000,250000,,0,300000,750000,3150000,435900,77725023.65000002
2002-07-01,2966097,0,0,0,450000,825000,725000,150000,350000,250000,,0,300000,750000,3050000,83903,80326016.65000002
2002-08-01,3205129,0,0,0,450000,950000,725000,150000,350000,250000,,0,300000,750000,3175000,-30129,79392017.65000002
2002-09-01,2898543,0,0,0,450000,800000,725000,150000,350000,250000,,0,300000,750000,3025000,126457,83185727.65000002
2002-10-01,2799565.7,0,0,0,450000,1000000,750000,150000,350000,250000,,0,300000,750000,3250000,450434.3,97149190.95000003
