,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Carlsbad Plt,,Crawford Del,,,,,,,,,,,,,,,,,,,,Transwestern ,,,,,,/------------------------------------------El Paso----------------------------------------\,,,,,,Differences,,,
Month,Measured,Scheduled,Measured,Scheduled,Imbal,index,amount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bal as of 3/31/97,,,,,-67942,,-135338.07,,,,,,,,,,,,,,,,Window Rock,,,Blanco,,,Window Rock,,,Blanco,,,Window Rock,,Blanco,
1997-04-01 00:00:00,12008,11550,-11875,-11400,17,1.85,31.450000000000003,,,,,,,,,,,,,,,Month,Receipts,Deliveries,imbal,Receipts,Deliveries,imbal,Receipts,Deliveries,imbal,Receipts,Deliveries,imbal,Receipts,Deliveries,Receipts,Deliveries
pyment from Highlands for 23951 & 24268 thru 3/97,,,,,67925,,135341.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-05-01 00:00:00,14833,11935,-12528,-11780,-2150,1.98,-4257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-06-01 00:00:00,232271,258491,-12114,-11400,26934,2.01,54137.34,,,,,,,,,,,,,,,1995-11-01 00:00:00,154897,158715,3818,,,0,,,0,,,0,154897,158715,0,0
1997-07-01 00:00:00,15669,11935,-12571,-11780,-2943,2.04,-6003.72,,,,,,,,,,,,,,,1995-12-01 00:00:00,517823,504438,-13385,,,0,,,0,,,0,517823,504438,0,0
1997-08-01 00:00:00,11977,11935,-12161,-11780,339,2.31,783.09,,,,,,,,,,,,,,,1996-01-01 00:00:00,7601093,7546494,-54599,,,0,,,0,,,0,7601093,7546494,0,0
1997-09-01 00:00:00,12591,11550,-12015,-11400,-426,2.72,-1158.72,,,,,,,,,,,,,,,1996-02-01 00:00:00,8861952,8793151,-68801,,,0,,,0,,,0,8861952,8793151,0,0
1997-10-01 00:00:00,11314,11935,-12024,-11780,865,2.82,2439.2999999999997,,,,,,,,,,,,,,,1996-03-01 00:00:00,9536036,9424354,-111682,,,0,,,0,,,0,9536036,9424354,0,0
1997-11-01 00:00:00,4844,11550,-11672,-11400,6978,2.68,18701.04,,,,,,,,,,,,,,,1996-04-01 00:00:00,8208752,8202500,-6252,,,0,,,0,,,0,8208752,8202500,0,0
1997-12-01 00:00:00,12186,11935,-11486,-11780,-545,2.16,-1177.2,,,,,,,,,,,,,,,1996-05-01 00:00:00,8423604,8500472,76868,,,0,,,0,,,0,8423604,8500472,0,0
1998-01-01 00:00:00,0,11935,-12694,-11780,12849,2.01,25826.489999999998,,,,,,,,,,,,,,,1996-06-01 00:00:00,7598497,7806724,208227,,,0,,,0,,,0,7598497,7806724,0,0
1998-02-01 00:00:00,10907,10780,-11085,-10640,318,2.07,658.26,,,,,,,,,,,,,,,1996-07-01 00:00:00,10173543,10254986,81443,,,0,,,0,,,0,10173543,10254986,0,0
1998-03-01 00:00:00,2305,11935,-11749,-11780,9599,2.14,20541.86,,,,,,,,,,,,,,,1996-08-01 00:00:00,7746025,7834754,88729,,,0,,,0,,,0,7746025,7834754,0,0
1998-04-01 00:00:00,22150,9240,-11509,-9120,-10521,2.29,-24093.09,,,,,,,,,,,,,,,1996-09-01 00:00:00,9105752,9112349,6597,10832884,10607196,-225688,,,0,,,0,9105752,9112349,10832884,10607196
1998-05-01 00:00:00,51815,30885,-11831,-11780,-20879,1.96,-40922.84,,,,,,,,,,,,,,,1996-10-01 00:00:00,7449663,7543658,93995,8947165,8872112,-75053,,,0,,,0,7449663,7543658,8947165,8872112
1998-06-01 00:00:00,133989,158437,-11408,-11400,24456,1.94,47444.64,,,,,,,,,,,,,,,1996-11-01 00:00:00,2608198,2603340,-4858,9086350,9021175,-65175,,,0,,,0,2608198,2603340,9086350,9021175
1998-07-01 00:00:00,154170,151206,-11460,,8496,2.09,17756.64,,,,,,,,,,,,,,,1996-12-01 00:00:00,666062,548699,-117363,6462881,6563264,100383,,,0,,,0,666062,548699,6462881,6563264
1998-08-01 00:00:00,,,-4915,,4915,1.77,8699.55,,,,,,,,,,,,,,,1997-01-01 00:00:00,1316276,1066952,-249324,5844267,6103467,259200,,,0,,,0,1316276,1066952,5844267,6103467
1998-09-01 00:00:00,3,,-3440,,3437,1.82,6255.34,,,,,,,,,,,,,,,1997-02-01 00:00:00,1305206,1362628,57422,5171924,5152958,-18966,,,0,,,0,1305206,1362628,5171924,5152958
1998-10-01 00:00:00,,,-4919,,4919,1.79,8805.01,,,,,,,,,,,,,,,1997-03-01 00:00:00,4190968,4193574,2606,6561424,6546612,-14812,,,0,,,0,4190968,4193574,6561424,6546612
1998-11-01 00:00:00,6,,-4144,,4138,1.98,8193.24,,,,,,,,,,,,,,,1997-04-01 00:00:00,3115956,3021896,-94060,4700126,4743014,42888,,,0,,,0,3115956,3021896,4700126,4743014
1998-12-01 00:00:00,11619,9374,-4530,,2285,1.71,3907.35,,,,,,,,,,,,,,,1997-05-01 00:00:00,2078173,2081843,3670,5363804,5354710,-9094,,,0,,,0,2078173,2081843,5363804,5354710
1999-01-01 00:00:00,227652,267294,-5180,,44822,1.75,78438.5,,,,,,,,,,,,,,,1997-06-01 00:00:00,1646640,1677213,30573,6522394,6546422,24028,,,0,,,0,1646640,1677213,6522394,6546422
1999-02-01 00:00:00,228776,,-5088,,-223688,1.64,-366848.32,,,,,,,,,,,,,,,1997-07-01 00:00:00,1750599,1718899,-31700,7532026,7539173,7147,,,0,,,0,1750599,1718899,7532026,7539173
1999-03-01 00:00:00,299090,,-4792,,-294298,1.61,-473819.78,,,,,,,,,,,,,,,1997-08-01 00:00:00,566914,545248,-21666,6797342,6750964,-46378,,,0,,,0,566914,545248,6797342,6750964
1999-04-01 00:00:00,322780,151302,-4794,,-166684,1.96,-326700.64,,,,,,,,,,,,,,,1997-09-01 00:00:00,587456,564735,-22721,6989932,6975913,-14019,,,0,,,0,587456,564735,6989932,6975913
1999-05-01 00:00:00,262258,258657,-4554,,953,2.09,1991.7699999999998,,,,,,,,,,,,,,,1997-10-01 00:00:00,2763076,2772953,9877,7271471,7253744,-17727,,,0,,,0,2763076,2772953,7271471,7253744
1999-06-01 00:00:00,131224,109454,-4248,,-17522,2.12,-37146.64,,,,,,,,,,,,,,,1997-11-01 00:00:00,1591038,1727548,136510,8245668,8323487,77819,,,0,,,0,1591038,1727548,8245668,8323487
1999-07-01 00:00:00,134640,,-4448,,-130192,2.17,-282516.64,,,,,,,,,,,,,,,1997-12-01 00:00:00,1359336,1373488,14152,6610234,6570034,-40200,,,0,,,0,1359336,1373488,6610234,6570034
1999-08-01 00:00:00,,,-4073,,4073,2.6,10589.800000000001,,,,,,,,,,,,,,,1998-01-01 00:00:00,0,0,0,5384373,5331278,-53095,,,0,,,0,0,0,5384373,5331278
1999-09-01 00:00:00,,,-4387,,4387,2.4,10528.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-10-01 00:00:00,,,-4492,,4492,2.62,11769.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-11-01 00:00:00,,,-3733,,3733,2.18,8137.9400000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transfer to contract 24268,,,,,696860,,1219004.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,1998-02-01 00:00:00,1711991,1737934,25943,7080113,7079803,-310,,,0,,,0,1711991,1737934,7080113,7079803
,,,,,0,,0,,,,,,,,,,,,,,,1998-03-01 00:00:00,2604259,2600293,-3966,6921886,6873298,-48588,,,0,,,0,2604259,2600293,6921886,6873298
,,,,,,,,,,,,,,,,,,,,,,1998-04-01 00:00:00,2069285,2035083,-34202,7018932,7014499,-4433,,,0,,,0,2069285,2035083,7018932,7014499
,,,,,,,,,,,,,,,,,,,,,,1998-05-01 00:00:00,2491633,2482530,-9103,7745831,7754753,8922,,,0,,,0,2491633,2482530,7745831,7754753
,,,,,,,,,,,,,,,,,,,,,,1998-06-01 00:00:00,7174097,7200838,26741,7392850,7482566,89716,,,0,,,0,7174097,7200838,7392850,7482566
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7406522,7304786,-101736,0,0,-7406522,-7304786
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7117406,7046179,-71227,0,0,-7117406,-7046179
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4237008,4213826,-23182,0,0,-4237008,-4213826
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5495933,5459183,-36750,0,0,-5495933,-5459183
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6267433,6340959,73526,0,0,-6267433,-6340959
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5986165,6087179,101014,0,0,-5986165,-6087179
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4390912,4422415,31503,0,0,-4390912,-4422415
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3941641,4010383,68742,0,0,-3941641,-4010383
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41890,0,0,0,0
