,,,,,,,,,,,,,,,,,,,,,,,
VESSEL:,VESSEL:,VESSEL:,     LNG/C HOEGH ,     LNG/C HOEGH ,GALLEON,,,,VOY.#.:,,001 LOADED,,,,,,Steaming Time:,Steaming Time:,Steaming Time:,Steaming Time:,23d 12h 10m,23d 12h 10m,23d 12h 10m
SAILED FROM:,SAILED FROM:,SAILED FROM:,"QALHAT, SUR","QALHAT, SUR","QALHAT, SUR","QALHAT, SUR","QALHAT, SUR",ARRIVED TO:,ARRIVED TO:,  LAKE CHARLES,  LAKE CHARLES,  LAKE CHARLES,  LAKE CHARLES,  LAKE CHARLES,  LAKE CHARLES,  LAKE CHARLES,Stops at sea:,Stops at sea:,Stops at sea:,Stops at sea:,00d 08h 53m,00d 08h 53m,00d 08h 53m
AT:,AT:,AT:,13:30 GMT,13:30 GMT,DATE:,2001-03-23 00:00:00,2001-03-23 00:00:00,2001-03-23 00:00:00,AT:,07:18 GMT,07:18 GMT,DATE:,DATE:,2001-04-16 00:00:00,2001-04-16 00:00:00,2001-04-16 00:00:00,Total Time:,Total Time:,Total Time:,Total Time:,23d 03h 17m,23d 03h 17m,23d 03h 17m
,,,,,,,,,,,,,,,,,,,,,,,
Date,Weather,Weather,Weather,Noon Position,Noon Position,Range,Range,Time,Speed,Engine,Engine,Engine,Consumption,Consumption,Consumption,Consumption,Evaporator,Evaporator,Evaporator,Load,Remarks,Remarks,Remarks
Date,Wind Dir            Force,Sea Dir              Force,Vis,Lat                               ° ',Long                               ° ',,Observed,hh mm,Avrg. Knots,Range,Slip             %,Avrg. RPM,BOG Equiv.,,F.O.   MT,D.O.  MT,Prod MT,ME           MT,DOM MT,Gen               Kw,All times are in G.M.T.,All times are in G.M.T.,All times are in G.M.T.
2001-03-23 00:00:00,S 3,S 2,D,18 29 N,057 49 E,,316,18 h 30 m,17.08,322.79595,2.105339301809705,86.80810810810812,56.6,,46,,43,21,20,,,13 h 30 m,FAOP
2001-03-24 00:00:00,SW3,SW 3,D,15 05 N,051 39 E,,418,24 h 00 m,17.42,426.06305000000003,1.892454649611139,88.32152777777779,204.2,,49,,43,21,18,,,,
2001-03-25 00:00:00,SE3,SE2,D,12 27 N,044 25 E,,454,25 h 00 m,18.16,453.6436,-0.07856387701711384,90.27733333333335,215.97,,49,,44.2,20,18,,,,
2001-03-26 00:00:00,SE4,SE3,D,17 49 N,040 19 E,,423,24 h 00 m,17.63,424.76660000000004,0.41589899017484877,88.05277777777778,170.644,,41,,42.7,34,20,,,,
2001-03-27 00:00:00,NNW5,NNW4,D,23 09 N,037 11 E,,367,25 h 00 m,14.68,379.354,3.2565888325943537,75.49333333333334,101.375,,35,,29,48,13,,,,
2001-03-28 00:00:00,NW4,NW3,D,28 20 N,033 14 E,,380,24 h 00 m,15.83,367.94055000000003,-3.2775539417984696,76.27291666666666,73.732,,48,,55.1,40,10,,,1340 Voy. Interupted,
2001-03-29 00:00:00,0,0,D,29 23 N,032 41 E,,70..0,03 h 40 m,19.44,68.0184,-2.913329334415394,94,15.198,,5,,54,20,12,,,1918 cont. voyage,
2001-03-30 00:00:00,W 3,W2,D,32 47 N,028 04 E,,234,14 h 42 m,15.92,230.82840000000002,-1.3740077044245784,78.12244897959184,44.412,,26,,54.3,24,16,,,,
2001-03-31 00:00:00,ESE 5,ESE 4,D,34 38 N,020 55 E,,385..0,24 h 00 m,16.04,386.6838,0.43544622246911274,80.15833333333333,177.355,,42,,55.1,24,16,,,,
2001-04-01 00:00:00,W 5,W 4,D,36 46 N,012 43 E,,420,24 h 00 m,17.5,433.67760000000004,3.1538636074355786,89.9,256.592,,41,,55.5,20,18,,,,
2001-04-02 00:00:00,NW 4,NW 3,D,37 10 N,004 26 E,,410,24 h 00m,17.08,426.9039,3.9596499352664662,88.49583333333334,230.391,,43,,55.1,25,15,,,,
2001-04-03 00:00:00,ESE 4,ESE 3,D,36 16 N,004 02 W,,415,24 h 00 m,17.29,433.33590000000004,4.231336475930113,89.82916666666667,230.865,,43,1,56.2,24,10,,,,
2001-04-04 00:00:00,W 4,W 3,D,35 42 N,008 10 W,,218,15h07m,"14,42",268.22110000000004,18.723769308231166,88.96222222222222,61.966,,35,,10,66,16,,STOP IN ALGECIRAS,,
2001-04-05 00:00:00,NW 4,NW 3,D,34 33 N,016 47 W,,432,25 h 00 m,17.28,451.20815,4.257048548436013,89.79266666666668,228.666,,40,,36,20,16,,,,
