Summary of Mavrix Capacity (packaging SJ with WOT where possible):,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2001-11-01 00:00:00,2001-12-01 00:00:00,2002-01-01 00:00:00,2002-02-01 00:00:00,2002-03-01 00:00:00,2002-04-01 00:00:00,2002-05-01 00:00:00,2002-06-01 00:00:00,2002-07-01 00:00:00,2002-08-01 00:00:00,2002-09-01 00:00:00,2002-10-01 00:00:00,2002-11-01 00:00:00,2002-12-01 00:00:00,2003-01-01 00:00:00,2003-02-01 00:00:00,2003-03-01 00:00:00,2003-04-01 00:00:00,2003-05-01 00:00:00,2003-06-01 00:00:00,2003-07-01 00:00:00,2003-08-01 00:00:00,2003-09-01 00:00:00,2003-10-01 00:00:00,2003-11-01 00:00:00,2003-12-01 00:00:00,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
VOLUME/DAY/MONTH:,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAN JUAN TO PG&E/TOPOCK,,,,,,14000,14000,14000,14000,14000,14000,14000,,,,,,11000,11000,11000,11000,11000,11000,11000,,,
EOT TO NEEDLES,13500,,,,,,,,,,,,,,,,,,,,,,,,,,
EOT TO PG&E/TOPOCK,14000,14000,,,,,,,,,,,,,,,,3000,3000,3000,3000,3000,3000,3000,,,
BLANCO TO THOREAU,,,32500,32500,32500,18500,18500,18500,18500,18500,18500,18500,11000,11000,11000,11000,11000,,,,,,,,11000,11000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
VALUE/MONTH AT MAX RATES:,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAN JUAN TO PG&E/TOPOCK,,,,,,189126,195430.19999999998,189126,195430.19999999998,195430.19999999998,189126,195430.19999999998,,,,,,148599,153552.3,148599,153552.3,153552.3,148599,153552.3,,,
EOT TO NEEDLES,141061.5,,,,,,,,,,,,,,,,,,,,,,,,,,
EOT TO PG&E/TOPOCK,146286,151162.2,,,,,,,,,,,,,,,,31347,32391.9,31347,32391.9,32391.9,31347,32391.9,,,
BLANCO TO THOREAU,,,102765,92820,102765,56610,58496.99999999999,56610,58496.99999999999,58496.99999999999,56610,58496.99999999999,33660,34782,34782,31415.999999999996,34782,,,,,,,,33660,34782,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals,287347.5,151162.2,102765,92820,102765,245736,253927.19999999998,245736,253927.19999999998,253927.19999999998,245736,253927.19999999998,33660,34782,34782,31415.999999999996,34782,179946,185944.19999999998,179946,185944.19999999998,185944.19999999998,179946,185944.19999999998,33660,34782,4011255.3000000007
,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARKET RATES:,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAN JUAN TO PG&E/TOPOCK,,,,,,0.64,0.64,0.64,0.64,0.64,0.64,0.64,,,,,,0.29,0.29,0.29,0.29,0.29,0.29,0.29,,,
EOT TO NEEDLES,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,
EOT TO PG&E/TOPOCK,0.72,0.98,,,,,,,,,,,,,,,,0.21,0.21,0.21,0.21,0.21,0.21,0.21,,,
BLANCO TO THOREAU,,,0.16,0.16,0.16,0.405,0.405,0.405,0.405,0.405,0.405,0.405,0.14,0.14,0.14,0.14,0.14,,,,,,,,0.07,0.07,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
VALUE/MONTH AT MARKET RATES:,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAN JUAN TO PG&E/TOPOCK,,,,,,268800,277760,268800,277760,277760,268800,277760,,,,,,95700,98890,95700,98890,98890,95700,98890,,,
EOT TO NEEDLES,465749.99999999994,,,,,,,,,,,,,,,,,,,,,,,,,,
EOT TO PG&E/TOPOCK,302400,425320,,,,,,,,,,,,,,,,18900,19530,18900,19530,19530,18900,19530,,,
BLANCO TO THOREAU,,,161200,145600,161200,224775.00000000003,232267.50000000003,224775.00000000003,232267.50000000003,232267.50000000003,224775.00000000003,232267.50000000003,46200.00000000001,47740.00000000001,47740.00000000001,43120.00000000001,47740.00000000001,,,,,,,,23100.000000000004,23870.000000000004,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals,768150,425320,161200,145600,161200,493575,510027.5,493575,510027.5,510027.5,493575,510027.5,46200.00000000001,47740.00000000001,47740.00000000001,43120.00000000001,47740.00000000001,114600,118420,114600,118420,118420,114600,118420,23100.000000000004,23870.000000000004,6279295
