,,,,,,,,,,,,,,,,,,,
,date,df,,,,,,TD's fee,8500,per month,,,,,,,,,
start,1999-12-22 00:00:00,0.9993407088627612,,,,,,,,,,,,,,,,,
,,,,,,,spot,3.1,March Aeco Index,,,,,,Interest Calculator: ,,solve rate by setting ending balance to zero,,
calculation period,calculation period,,,,,,,,,,,,,,,,0.05049561711134961,,
start,end,days,pmt date,Corp,B/S,Option,strike,Enron rec,Enron pays,TD pays,df,GJ per month,GJ per day,,,Notional,interest,principal,pmt
2000-01-01 00:00:00,2000-02-01 00:00:00,31,2000-01-05 00:00:00,TD,buys,call,3.2,0,-50000,0,0.9974338985443473,1303068.5161832697,42034.46826397644,,2000-01-05 00:00:00,19463521.363493707,83244.53058660137,1610744.5404516498,1693989.0710382513
2000-01-01 00:00:00,2000-02-01 00:00:00,31,2000-01-05 00:00:00,Enron,buys,put,3.2,0.10000000000000009,180306.85161832708,130306.85161832708,0.9974338985443473,1303068.5161832697,42034.46826397644,,2000-02-05 00:00:00,17852776.823042057,71429.2964537993,1513270.157098113,1584699.4535519124
2000-01-01 00:00:00,2000-02-01 00:00:00,31,2000-01-05 00:00:00,TD,buys,put,1.9,0,-20000,0,0.9974338985443473,1303068.5161832697,42034.46826397644,,2000-03-05 00:00:00,16339506.665943945,69883.27225176874,1624105.7987864825,1693989.0710382513
2000-01-01 00:00:00,2000-02-01 00:00:00,31,2000-01-05 00:00:00,Enron,buys,call,1.9,1.2000000000000002,1547475.6663745448,1563682.2194199238,0.9974338985443473,1303068.5161832697,42034.46826397644,,2000-04-05 00:00:00,14715400.867157463,60906.82359245945,1578437.4387026222,1639344.2622950817
2000-02-01 00:00:00,2000-03-01 00:00:00,29,2000-02-05 00:00:00,TD,buys,call,3.2,0,-50000,0,0.9930757361511358,1218999.579655317,42034.46826397644,,2000-05-05 00:00:00,13136963.42845484,56186.15118568527,1637802.919852566,1693989.0710382513
2000-02-01 00:00:00,2000-03-01 00:00:00,29,2000-02-05 00:00:00,Enron,buys,put,3.2,0.10000000000000009,171899.9579655318,121899.9579655318,0.9930757361511358,1218999.579655317,42034.46826397644,,2000-06-05 00:00:00,11499160.508602275,47594.85296265023,1591749.4093324316,1639344.2622950817
