,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,JANUARY,JANUARY,JANUARY,FEBRUARY,FEBRUARY,FEBRUARY,MARCH,MARCH,MARCH,TOTAL,TOTAL,TOTAL
,,MWh,$$,Avg. Price,MWh,$$,Avg. Price,MWh,$$,Avg. Price,MWh,$$,Avg. Price
Avista Energy,AEI1,180,90000,500,0,0,0,0,0,0,180,90000,500
American Electric Power Services,AEPS,10324,4647500,450.16466485858194,13215,3376250,255.48618993567916,0,0,0,23539,8023750,340.8704702833595
Allegheny Energy Trading Services,AETS,0,0,0,0,0,0,166027,26098697,157.195498322562,166027,26098697,157.195498322562
City of Anaheim,ANHM,2647,461280,174.2652058934643,22558,3454610,153.1434524337264,8327,1201233,144.2575957727873,33532,5117123,152.60416915185493
"Automated Power Exchange, Inc.",APX1,0,0,0,15959,3785080,237.17526160787017,54,6480,120,16013,3791560,236.78011615562355
Avista Energy Inc.,AVST,475,217500,457.89473684210526,3100,1007500,325,0,0,0,3575,1225000,342.65734265734267
Bonneville Power Administration,BPA1,0,0,0,100838,30633830,303.79251869334973,360306,109849580,304.87857543310406,461144,140483410,304.64108825009106
BP Energy Company,BPEC,1200,272000,226.66666666666666,38725,12966380,334.8322788896062,46812,8789052,187.7521148423481,86737,22027432,253.95658138971834
City of Burbank,BURB,860,249400,290,7935,2425075,305.61751732829237,20145,5230050,259.62025316455697,28940,7904525,273.1349343469247
Calpine,CALP,1400,381000,272.14285714285717,59336,13399640,225.82647970877713,4224,729600,172.72727272727272,64960,14510240,223.37192118226602
Cargill,CARG,0,0,0,800,220000,275,0,0,0,800,220000,275
California Department of Water Resources,CDWR,81301.9,18050264,222.0152788557217,116352,23679438,203.51552186468646,89800,17271124,192.3287750556793,287453.9,59000826,205.25317624843495
Commonwealth Energy Corp,CEEA,6620,948000,143.202416918429,17210,2530110,147.01394538059267,40857,7284385,178.28976674743618,64687,10762495,166.3780203132005
Commission de Federale Electricidad,CFE1,2802,644460,230,26350,5474250,207.75142314990512,21600,3672000,170,50752,9790710,192.9127916141236
Constellation Power Source,CPSC,0,0,0,15200,1390800,91.5,10860,995925,91.70580110497238,26060,2386725,91.58576362240983
"Coral Power, L.L.C",CRLP,62645,33602570,536.3966797030888,34606,15848650,457.9740507426458,22282,8108815,363.91773628938154,119533,57560035,481.54095521738765
"Duke Energy Trading & Marketing, L.L.C.",DETM,69847,20527850,293.89737569258523,214165,22758440,106.265916466276,524746,74412038,141.80582224542923,808758,117698328,145.5297233535866
East Bay Municipal Utility District,EBMU,0,0,0,0,0,0,1424,246352,173,1424,246352,173
Dynegy Power Marketing Inc.,ECH1,47380,14763600,311.599831152385,216564,62886259,290.3818686392937,617802,133639070,216.31375424488752,881746,211288929,239.62561667418962
