Counterparty,Deal Type,Act Date,Deal Number,Desk,Start Hour,End Hour,Total Hours,Gross MW,MW Net of Line Loss,Price, Energy Amt,Total Amt,Region,Delivery Point
ELECTRICRELCOU,T,2001-07-01 00:00:00,669963.1,EPMI-TECO-SVCE,0,1,1,-15,-15,0.219999998807907,-3.3,-3.3,R6D-Texas-Valle,South 2001
ELECTRICRELCOU,T,2001-07-01 00:00:00,669963.1,EPMI-TECO-SVCE,1,2,1,-10,-10,0.219999998807907,-2.2,-2.2,R6D-Texas-Valle,South 2001
ELECTRICRELCOU,T,2001-07-01 00:00:00,669963.1,EPMI-TECO-SVCE,1,2,1,-5,-5,0.219999998807907,-1.1,-1.1,R6D-Texas-Valle,South 2001
ELECTRICRELCOU,T,2001-07-01 00:00:00,669963.1,EPMI-TECO-SVCE,2,5,3,-45,-45,0.219999998807907,-9.9,-9.9,R6D-Texas-Valle,South 2001
ELECTRICRELCOU,T,2001-07-01 00:00:00,669963.1,EPMI-TECO-SVCE,22,24,2,-30,-30,0.219999998807907,-6.6,-6.6,R6D-Texas-Valle,South 2001
ELECTRICRELCOU,T,2001-07-02 00:00:00,669714.1,EPMI-TECO-SVCE,6,22,16,-800,-800,0.219999998807907,-176,-176,R6D-Texas-Valle,South 2001
ELECTRICRELCOU,T,2001-07-02 00:00:00,670034.1,EPMI-TECO-SVCE,0,3,3,-45,-45,0.219999998807907,-9.9,-9.9,R6D-Texas-Valle,South 2001
ELECTRICRELCOU,T,2001-07-02 00:00:00,670034.1,EPMI-TECO-SVCE,3,4,1,-50,-50,0.219999998807907,-11,-11,R6D-Texas-Valle,South 2001
ELECTRICRELCOU,T,2001-07-02 00:00:00,670034.1,EPMI-TECO-SVCE,4,5,1,-80,-80,0.219999998807907,-17.6,-17.6,R6D-Texas-Valle,South 2001
ELECTRICRELCOU,T,2001-07-02 00:00:00,671580.1,EPMI-TECO-SVCE,21,22,1,-25,-25,0.219999998807907,-5.5,-5.5,R6D-Texas-Valle,South 2001
ELECTRICRELCOU,T,2001-07-02 00:00:00,671580.1,EPMI-TECO-SVCE,22,24,2,-30,-30,0.219999998807907,-6.6,-6.6,R6D-Texas-Valle,South 2001
ELECTRICRELCOU,T,2001-07-03 00:00:00,671044.1,EPMI-TECO-SVCE,0,6,6,-210,-210,0.219999998807907,-46.2,-46.2,R6D-Texas-Valle,South 2001
