PRICE_CURVE_CD,RISK_TYPE_CD,COMMODITY_CD,CURRENCY_CD,PEAKNESS_CD,REFERENCE_DT,DELTA_POSITION_QTY,GAMMA_NUM
NG,P,NG,USD,,2002-04-01 00:00:00,0,0
NG,P,NG,USD,,2002-05-01 00:00:00,0,0
NG,P,NG,USD,,2002-06-01 00:00:00,0,0
NG,P,NG,USD,,2002-07-01 00:00:00,0,0
NG,P,NG,USD,,2002-08-01 00:00:00,0,0
NG,P,NG,USD,,2002-09-01 00:00:00,0,0
NG,P,NG,USD,,2002-10-01 00:00:00,0,0
R4,P,POWER,USD,P,2002-07-01 00:00:00,96000,0
R4,P,POWER,USD,P,2002-08-01 00:00:00,96000,0
R4,P,POWER,USD,P,2002-09-01 00:00:00,-160000,0
R4,P,POWER,USD,P,2002-10-01 00:00:00,320000,0
R4,P,POWER,USD,P,2002-11-01 00:00:00,320000,0
R4,P,POWER,USD,P,2002-12-01 00:00:00,320000,0
R4,P,POWER,USD,P,2003-01-01 00:00:00,64000,0
R4,P,POWER,USD,P,2003-02-01 00:00:00,64000,0
R4,P,POWER,USD,P,2003-03-01 00:00:00,64000,0
R4,P,POWER,USD,P,2003-04-01 00:00:00,64000,0
R4,P,POWER,USD,P,2003-05-01 00:00:00,64000,0
R4,P,POWER,USD,P,2003-06-01 00:00:00,64000,0
R4,P,POWER,USD,P,2003-07-01 00:00:00,64000,0
R4,P,POWER,USD,P,2003-08-01 00:00:00,64000,0
R4,P,POWER,USD,P,2003-09-01 00:00:00,64000,0
R4,P,POWER,USD,P,2003-10-01 00:00:00,64000,0
R4,P,POWER,USD,P,2003-11-01 00:00:00,64000,0
R4,P,POWER,USD,P,2003-12-01 00:00:00,64000,0
R1A,P,POWER,USD,P,2002-07-01 00:00:00,0,0
R1A,P,POWER,USD,P,2002-08-01 00:00:00,0,0
