,,,,,,,Stagecoach Apartments,,,,,,,
,,,,,,,2000 Operating Statement,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Month,,,,,,,,,,,,,
Category,January,February,March,April,May,June,July,August,September,October,November*,December*,,Grand Total
Income,16099.83,22800.35,16704.24,17009.79,18388.41,22200.72,18168.54,23737.8,18208.53,23083.55,20000,20000,,236401.75999999998
Labor,-1815,-2726,-2789,-2410,-3368.1,-2867,-2520,-2220,-2662,-2120,-2400,-2400,,-30297.1
Materials,-1890.81,-2191.02,-2027.02,-1750.33,-1761.7,-1916.26,-1911.93,-1711,-1066.83,-2056.63,-2000,-2000,,-22283.530000000002
Services,-66.69,-47.41,-47.41,-52.78,-311.96,-53.43,-651.16,-464.41,-1172.41,-292.51,-150,-150,,-3460.17
Utilities,-3675.44,-5081.28,-3857.15,-3933.72,-3633.04,-3133.21,-3658.34,-5441.89,-4891.67,-5634.56,-4500,-5000,,-52440.299999999996
Taxes/Insurance,-11639.77,,,,,,,-4071.58,,,,,,-15711.35
,,,,,,,,,,,,,,
Grand Total,-2987.880000000001,12754.64,7983.660000000002,8862.960000000001,9313.61,14230.820000000003,9427.11,9828.92,8415.619999999999,12979.849999999999,10950,10450,,112209.30999999997
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
* November and December are estimates,,,,,,,,,,,,,,
