,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,SCS  OPTION  DATA,,,,,
,,,,,,,,
,TICKER,STRIKE,STR BID,STR ASK,B VOL,A VOL,M STD/DAY,WHEN 
,,,,,,,,
,CL F2,19,245,252,64.6,66.4,0.78,2001-11-21 12:57:00
,CL G2,19,347,355,58.9,60.3,0.71,2001-11-21 12:57:00
,CL H2,19.5,410,420,55.3,56.6,0.69,2001-11-21 12:57:00
,CL J2,19.5,455,470,53.2,54.9,0.66,2001-11-21 12:57:00
,CL K2,19.5,495,515,51.2,53.3,0.64,2001-11-21 12:57:00
,CL M2,20,520,535,48.1,49.5,0.61,2001-11-21 12:57:00
,CL N2,20,530,550,45.3,47,0.58,2001-11-21 12:57:00
,CL Q2,20,540,560,43.3,44.9,0.55,2001-11-21 12:57:00
,CL U2,20,545,567,41.4,43,0.53,2001-11-21 12:57:00
,CL V2,20.5,550,575,38.6,40.4,0.51,2001-11-21 12:57:00
,CL X2,20.5,550,575,37,38.7,0.49,2001-11-21 12:57:00
,CL Z2,20.5,550,575,35.6,37.2,0.47,2001-11-21 12:57:00
,CL M3,21,570,600,30.1,31.7,0.41,2001-11-21 12:57:00
,CL Z3,21,570,600,26.8,28.2,0.36,2001-11-21 12:57:00
,CL M4,21.5,570,600,23.9,25.2,0.33,2001-11-21 12:57:00
