,,,,
2000-03-01 00:00:00,,,,
"* Average of NYMEX L3D Closes (4, 5, & 6 to last trading days)",,Peak Price,Peak Price,Peak Price
,Average,2000-03-24 00:00:00,2000-03-27 00:00:00,2000-03-28 00:00:00
Cinergy,26.133333333333336,25.4,26.5,26.5
W.PJM,28.083333333333332,27.6,28.35,28.3
,,,,
,,,,
2000-04-01 00:00:00,,,,
"* Average of NYMEX L3D Closes (4, 5, & 6 to last trading days)",,Peak Price,Peak Price,Peak Price
,Average,2000-04-24 00:00:00,2000-04-25 00:00:00,2000-04-26 00:00:00
Cinergy,39.5,29,28,61.5
W.PJM,41.1,33.5,32.3,57.5
,,,,
,,,,
2000-05-01 00:00:00,,,,
"* Average of NYMEX L3D Closes (4, 5, & 6 to last trading days)",,Peak Price,Peak Price,Peak Price
,Average,2000-05-23 00:00:00,2000-05-24 00:00:00,2000-05-25 00:00:00
Cinergy,113.33333333333333,105,110,125
W.PJM,103.66666666666667,98,101,112
,,,,
,,,,
2000-06-01 00:00:00,,,,
"* Average of NYMEX L3D Closes (4, 5, & 6 to last trading days)",,Peak Price,Peak Price,Peak Price
,Average,2000-06-23 00:00:00,2000-06-26 00:00:00,2000-06-27 00:00:00
Cinergy,205,205,200,210
W.PJM,125.66666666666667,116,116,145
,,,,
,,,,
2000-07-01 00:00:00,,,,
"* Average of NYMEX L3D Closes (4, 5, & 6 to last trading days)",,Peak Price,Peak Price,Peak Price
,Average,2000-07-24 00:00:00,2000-07-25 00:00:00,2000-07-26 00:00:00
Cinergy,72.66666666666667,80,66,72
W.PJM,60.333333333333336,65,55,61
,,,,
,,,,
2000-08-01 00:00:00,,,,
"* Average of NYMEX L3D Closes (4, 5, & 6 to last trading days)",,Peak Price,Peak Price,Peak Price
,Average,2000-08-24 00:00:00,2000-08-25 00:00:00,2000-08-28 00:00:00
Cinergy,33.88333333333333,30.75,33.8,37.1
W.PJM,35.583333333333336,33,35.75,38
,,,,
,,,,
2000-09-01 00:00:00,,,,
"* Average of NYMEX L3D Closes (4, 5, & 6 to last trading days)",,Peak Price,Peak Price,Peak Price
,Average,2000-09-22 00:00:00,2000-09-25 00:00:00,2000-09-26 00:00:00
Cinergy,24.766666666666666,24.7,24.1,25.5
W.PJM,32,32.25,31.5,32.25
,,,,
,,,,
2000-10-01 00:00:00,,,,
"* Average of NYMEX L3D Closes (4, 5, & 6 to last trading days)",,Peak Price,Peak Price,Peak Price
,Average,10/24/200,2000-10-25 00:00:00,10/26/202
Cinergy,27.933333333333334,29,27.8,27
W.PJM,34.35,34.9,34.25,33.9
,,,,
,,,,
2000-11-01 00:00:00,,,,
"* Average of NYMEX L3D Closes (4, 5, & 6 to last trading days)",,Peak Price,Peak Price,Peak Price
,Average,2000-11-21 00:00:00,2000-11-22 00:00:00,2000-11-27 00:00:00
Cinergy,36.3,36.3,36.3,36.3
W.PJM,42.1,42.1,42.1,42.1
,,,,
,,,,
2000-12-01 00:00:00,,,,
"* Average of NYMEX L3D Closes (4, 5, & 6 to last trading days)",,Peak Price,Peak Price,Peak Price
,Average,2000-12-21 00:00:00,2000-12-22 00:00:00,2000-12-26 00:00:00
Cinergy,75.66666666666667,79,74,74
W.PJM,73,75,72,72
,,,,
,,,,
2001-01-01 00:00:00,,,,
"* Average of NYMEX L3D Closes (4, 5, & 6 to last trading days)",,Peak Price,Peak Price,Peak Price
,Average,2001-01-24 00:00:00,2001-01-25 00:00:00,2001-01-26 00:00:00
Cinergy,50,50,50,50
W.PJM,49.5,49.5,49.5,49.5
,,,,
,,,,
2001-02-01 00:00:00,,,,
"* Average of NYMEX L3D Closes (4, 5, & 6 to last trading days)",,Peak Price,Peak Price,Peak Price
,Average,2001-02-21 00:00:00,2001-02-22 00:00:00,2001-02-23 00:00:00
Cinergy,41.5,40.25,41,43.25
W.PJM,41.916666666666664,40.5,41.75,43.5
,,,,
,,,,
2001-03-01 00:00:00,,,,
"* Average of NYMEX L3D Closes (4, 5, & 6 to last trading days)",,Peak Price,Peak Price,Peak Price
,Average,2001-03-23 00:00:00,2001-03-26 00:00:00,2001-03-27 00:00:00
Cinergy,42.5,42.75,43.5,41.25
W.PJM,44.333333333333336,44,45,44
,,,,
,,,,
2001-04-01 00:00:00,,,,
"* Average of NYMEX L3D Closes (4, 5, & 6 to last trading days)",,Peak Price,Peak Price,Peak Price
,Average,2001-04-23 00:00:00,2001-04-24 00:00:00,2001-04-25 00:00:00
Cinergy,54.416666666666664,53,55.25,55
W.PJM,52.6,51.8,53,53
,,,,
,,,,
2001-05-01 00:00:00,,,,
"* Average of NYMEX L3D Closes (4, 5, & 6 to last trading days)",,Peak Price,Peak Price,Peak Price
,Average,2001-05-23 00:00:00,2001-05-24 00:00:00,2001-05-25 00:00:00
Cinergy,60,60,62.75,57.25
W.PJM,58.25,58.5,61,55.25
,,,,
,,,,
2001-06-01 00:00:00,,,,
"* Average of NYMEX L3D Closes (4, 5, & 6 to last trading days)",,Peak Price,Peak Price,Peak Price
,Average,2001-06-22 00:00:00,2001-06-25 00:00:00,2001-06-26 00:00:00
Cinergy,58,62.5,56.5,55
W.PJM,57.833333333333336,60.5,56.5,56.5
,,,,
,,,,
