Shipper,Ctrc,Type,Expire,Vol
"ADAMS RESOURCES MARKETING, LTD.",106092,IT,2000-09-30 00:00:00,10000
"ADAMS RESOURCES MARKETING, LTD.",106093,FT,2001-11-30 00:00:00,10000
"AEP ENERGY SERVICES, INC.",106098,IT,2000-11-17 00:00:00,999999999
"AEP ENERGY SERVICES, INC.",106099,ID,2000-11-17 00:00:00,50000
"AEP ENERGY SERVICES, INC.",108007,IT,2002-06-04 00:00:00,50000
AG PROCESSING INC,105506,FT,2003-10-31 00:00:00,8500
"AGRA RESOURCES COOP., D/B/A EXOL",104520,FT,2008-10-31 00:00:00,1600
AL-CORN CLEAN FUELS,24192,FT,2005-10-31 00:00:00,1450
AL-CORN CLEAN FUELS,106443,FT,2003-10-31 00:00:00,250
"AMARILLO NATURAL GAS COMPANY, INC.",107937,IT,2002-05-09 00:00:00,1000
"AMARILLO NATURAL GAS COMPANY, INC.",108170,ID,2002-07-25 00:00:00,1000
"AMARILLO NATURAL GAS COMPANY, INC.",108254,IT,2001-06-30 00:00:00,999999999
AMERADA HESS CORPORATION,106403,IT,2000-04-30 00:00:00,999999999
AMERADA HESS CORPORATION,107769,IT,2002-03-31 00:00:00,100000
AMOCO PRODUCTION COMPANY,23146,IT,1996-09-07 00:00:00,99999999
ANADARKO ENERGY SERVICES COMPANY,6361,FT,2002-02-28 00:00:00,20000
ANADARKO ENERGY SERVICES COMPANY,22360,IT,1993-06-13 00:00:00,50000
ANADARKO ENERGY SERVICES COMPANY,22701,ID,1994-12-04 00:00:00,0
ANADARKO ENERGY SERVICES COMPANY,22701,ID,1994-12-04 00:00:00,10000
ANADARKO ENERGY SERVICES COMPANY,62657,IT,1993-03-06 00:00:00,100000
ANADARKO ENERGY SERVICES COMPANY,75155,IT,1993-01-01 00:00:00,0
ANADARKO ENERGY SERVICES COMPANY,75155,IT,1993-01-01 00:00:00,10000
ANADARKO ENERGY SERVICES COMPANY,105535,IT,1999-06-30 00:00:00,999999999
ANADARKO PETROLEUM CORPORATION,77963,IT,1991-11-30 00:00:00,0
ANADARKO PETROLEUM CORPORATION,77963,IT,1991-11-30 00:00:00,999999999
ANR PIPELINE COMPANY,20253,IT,1991-07-31 00:00:00,0
ANR PIPELINE COMPANY,20253,IT,1991-07-31 00:00:00,10000
ANR PIPELINE COMPANY,21624,FT,2003-10-31 00:00:00,34375
ANR PIPELINE COMPANY,22054,FT,2003-10-31 00:00:00,52137
ANR PIPELINE COMPANY,77958,IT,1991-06-30 00:00:00,0
ANR PIPELINE COMPANY,77958,IT,1991-06-30 00:00:00,999999999
"AOG GAS TRANSMISSION COMPANY, L.P.",22954,IT,1993-11-30 00:00:00,0
"AOG GAS TRANSMISSION COMPANY, L.P.",22954,IT,1993-11-30 00:00:00,999999999
APACHE CORPORATION,22035,IT,1995-05-15 00:00:00,50000
APACHE CORPORATION,22064,FT,2002-05-28 00:00:00,25000
APACHE CORPORATION,22990,FT,2010-12-07 00:00:00,10000
APACHE CORPORATION,107127,FT,2001-10-31 00:00:00,54000
AQUILA ENERGY MARKETING CORPORATION,21230,ID,1995-08-09 00:00:00,0
AQUILA ENERGY MARKETING CORPORATION,21230,ID,1995-08-09 00:00:00,700000
AQUILA ENERGY MARKETING CORPORATION,59947,IT,1991-11-11 00:00:00,250000
AQUILA ENERGY MARKETING CORPORATION,104877,IT,1999-11-01 00:00:00,999999999
AQUILA ENERGY MARKETING CORPORATION,105961,IT,2000-10-31 00:00:00,999999999
AQUILA ENERGY MARKETING CORPORATION,106666,ID,1995-08-09 00:00:00,500000
AQUILA ENERGY MARKETING CORPORATION,107645,ID,1995-08-09 00:00:00,310000
AQUILA ENERGY MARKETING CORPORATION,107646,ID,1995-08-09 00:00:00,310000
AQUILA ENERGY MARKETING CORPORATION,107647,ID,1995-08-09 00:00:00,310000
AQUILA ENERGY MARKETING CORPORATION,107811,FT,2001-10-31 00:00:00,20000
AQUILA ENERGY MARKETING CORPORATION,107907,ID,1995-08-09 00:00:00,267716
AQUILA ENERGY MARKETING CORPORATION,108016,ID,1995-08-09 00:00:00,332242
AQUILA ENERGY MARKETING CORPORATION,108026,ID,1995-08-09 00:00:00,310000
AQUILA ENERGY MARKETING CORPORATION,108027,ID,1995-08-09 00:00:00,310000
AQUILA ENERGY MARKETING CORPORATION,108028,ID,1995-08-09 00:00:00,310000
AQUILA ENERGY MARKETING CORPORATION,108090,ID,2002-06-30 00:00:00,100000
AQUILA ENERGY MARKETING CORPORATION,108104,ID,1995-08-09 00:00:00,36000
AQUILA ENERGY MARKETING CORPORATION,108105,FT,2001-10-31 00:00:00,25000
AQUILA ENERGY MARKETING CORPORATION,108115,ID,1995-08-09 00:00:00,930000
AQUILA ENERGY MARKETING CORPORATION,108140,ID,1995-08-09 00:00:00,50000
AQUILA ENERGY MARKETING CORPORATION,108197,ID,1995-08-09 00:00:00,351695
AQUILA ENERGY MARKETING CORPORATION,108306,ID,1995-08-09 00:00:00,287000
AQUILA ENERGY MARKETING CORPORATION,108333,ID,1995-08-09 00:00:00,200000
AQUILA ENERGY TRANSPORTATION CORPORATION,103724,FT,2003-10-31 00:00:00,0
AQUILA ENERGY TRANSPORTATION CORPORATION,103859,FT,2003-10-31 00:00:00,67
AQUILA GAS PROCESSING CORPORATION,22828,IT,1993-09-30 00:00:00,0
AQUILA GAS PROCESSING CORPORATION,22828,IT,1993-09-30 00:00:00,999999999
ARIZONA PUBLIC SERVICE COMPANY,107166,IT,2001-10-31 00:00:00,5000
"ARKLA, A DIVISION OF NORAM ENERGY CORP",103861,FT,2003-01-07 00:00:00,500
ASTRA POWER LLC,107565,IT,2002-02-28 00:00:00,100000
ASTRA POWER LLC,107566,ID,2002-02-28 00:00:00,100000
"AURORA NATURAL GAS, LLC",22976,IT,1994-11-30 00:00:00,10500
"AURORA NATURAL GAS, LLC",103464,IT,1998-08-31 00:00:00,5000
"AXIA ENERGY, LP",20510,FT,2011-11-13 00:00:00,35000
"AXIA ENERGY, LP",22641,ID,1994-03-31 00:00:00,0
"AXIA ENERGY, LP",22641,ID,1994-03-31 00:00:00,2000000
"AXIA ENERGY, LP",62418,IT,1991-09-01 00:00:00,100000
"AXIA ENERGY, LP",102817,FD,2002-05-31 00:00:00,34689
"AXIA ENERGY, LP",102817,FD,2002-05-31 00:00:00,4000000
"AXIA ENERGY, LP",103514,FT,2006-10-31 00:00:00,40000
"AXIA ENERGY, LP",104845,FT,2001-10-31 00:00:00,20000
"BEAR PAW ENERGY, LLC",102518,IT,1997-12-31 00:00:00,30000
"BEAR PAW ENERGY, LLC",104442,FT,2003-10-31 00:00:00,20000
"BEAR PAW ENERGY, LLC",105396,IT,1999-05-31 00:00:00,999999999
BP CANADA ENERGY MARKETING CORP.,106752,IT,2001-07-31 00:00:00,999999999
BP ENERGY COMPANY,6425,FT,2002-11-12 00:00:00,20835
BP ENERGY COMPANY,67794,IT,1992-12-31 00:00:00,0
BP ENERGY COMPANY,67794,IT,1992-12-31 00:00:00,50000
BP ENERGY COMPANY,67815,IT,1998-11-28 00:00:00,500000
BP ENERGY COMPANY,80457,IT,2001-01-28 00:00:00,25000
BP ENERGY COMPANY,100360,ID,1996-06-30 00:00:00,100000
BP ENERGY COMPANY,104850,IT,1999-10-31 00:00:00,999999999
BP ENERGY COMPANY,107213,IT,2001-10-31 00:00:00,999999999
BP ENERGY COMPANY,107232,IT,2000-12-31 00:00:00,12000
BP ENERGY COMPANY,107248,FT,2001-10-31 00:00:00,13000
BP ENERGY COMPANY,107576,FT,2001-10-31 00:00:00,50000
BP ENERGY COMPANY,107634,FT,2001-10-31 00:00:00,50000
BUNGE CORPORATION,104198,FT,2003-10-31 00:00:00,7000
"BURLINGTON RESOURCES TRADING, INC.",21998,IT,1994-01-31 00:00:00,50000
"CAMBRIAN ENERGY CO., INC.",106798,IT,2001-07-13 00:00:00,999999999
CARDINAL IG,100985,FT,2003-10-31 00:00:00,2116
CARDINAL IG,104204,FT,2008-04-30 00:00:00,350
"CARGILL, INC.",104625,IT,1998-09-30 00:00:00,7500
"CARGILL, INC.",105427,ID,2000-04-30 00:00:00,35000
"CARGILL, INC.",105531,IT,2000-05-30 00:00:00,999999999
"CARGILL, INC.",106856,FT,2003-10-31 00:00:00,500
CEDAR FALLS UTILITIES,21286,FT,2006-10-31 00:00:00,0
CHEYENNE PETROLEUM COMPANY,107503,IT,2002-03-31 00:00:00,3500
CIG FIELD SERVICES COMPANY,102536,IT,1996-10-31 00:00:00,999999999
"CINERGY MARKETING & TRADING, LLC",101206,IT,1997-03-31 00:00:00,150000
"CINERGY MARKETING & TRADING, LLC",102612,ID,1998-01-27 00:00:00,30000
"CINERGY MARKETING & TRADING, LLC",105860,IT,2000-09-30 00:00:00,999999999
"CINERGY MARKETING & TRADING, LLC",107984,IT,2002-04-30 00:00:00,999999999
"CINERGY TRANSPORTATION, LLC",107162,ID,2001-11-30 00:00:00,100000
"CINERGY TRANSPORTATION, LLC",107163,IT,2001-11-30 00:00:00,100000
CIRCLE PINES UTILITIES,21287,FT,2003-10-31 00:00:00,1650
CIRCLE PINES UTILITIES,22326,FD,2003-05-31 00:00:00,503
CIRCLE PINES UTILITIES,22326,FD,2003-05-31 00:00:00,29000
CIRCLE PINES UTILITIES,22737,FT,2003-10-31 00:00:00,1025
"CITY OF DULUTH, MN",21395,ID,1995-01-21 00:00:00,0
"CITY OF DULUTH, MN",21395,ID,1995-01-21 00:00:00,20000
"CITY OF DULUTH, MN",22334,FD,2003-05-31 00:00:00,13008
"CITY OF DULUTH, MN",22334,FD,2003-05-31 00:00:00,750000
CITY OF FAIRBANK,21280,FT,2003-10-31 00:00:00,450
CITY OF FREMONT,102065,FT,2003-10-31 00:00:00,0
"CITY OF GILMORE, IOWA",21579,FT,2003-10-31 00:00:00,275
"CITY OF HARTLEY, IOWA",22836,FT,2003-10-31 00:00:00,1050
"CITY OF HARTLEY, IOWA",103962,FD,2003-05-31 00:00:00,173
"CITY OF HARTLEY, IOWA",103962,FD,2003-05-31 00:00:00,10000
"CITY OF HAWARDEN, IOWA",21270,FT,2003-10-31 00:00:00,775
"CITY OF HAWARDEN, IOWA",22740,FT,2003-10-31 00:00:00,1028
"CITY OF PONCA, NE",21590,FT,2003-10-31 00:00:00,340
"CITY OF RANKIN, TEXAS",107369,IT,2001-09-30 00:00:00,999999999
"CITY OF REMSEN, IOWA",21591,FT,2003-10-31 00:00:00,400
"CITY OF REMSEN, IOWA",22339,FD,2003-05-31 00:00:00,314
"CITY OF REMSEN, IOWA",22339,FD,2003-05-31 00:00:00,18125
"CITY OF REMSEN, IOWA",22733,FT,2003-10-31 00:00:00,784
"CITY OF ROLFE, IOWA",21593,FT,2003-10-31 00:00:00,240
"CITY OF ROLFE, IOWA",22340,FD,2003-05-31 00:00:00,86
"CITY OF ROLFE, IOWA",22340,FD,2003-05-31 00:00:00,4975
"CITY OF ROLFE, IOWA",22745,FT,2003-10-31 00:00:00,210
"CITY OF ROUND LAKE, MN",21594,FT,2003-10-31 00:00:00,125
"CITY OF SAC CITY, IOWA",21558,FT,2003-10-31 00:00:00,1200
"CITY OF SANBORN, IA",21295,FT,2003-10-31 00:00:00,600
"CITY OF SANBORN, IA",22336,FD,2003-05-31 00:00:00,254
"CITY OF SANBORN, IA",22336,FD,2003-05-31 00:00:00,14634
"CITY OF SANBORN, IA",22734,FT,2003-10-31 00:00:00,356
CITY OF SCRIBNER,106883,FT,2003-11-30 00:00:00,1700
CITY OF TIPTON,21560,FT,2003-10-31 00:00:00,0
"CITY OF TWO HARBORS, MINNESOTA",21561,FT,2003-10-31 00:00:00,0
"CITY OF TWO HARBORS, MINNESOTA",103038,FT,2007-10-31 00:00:00,0
"CITY OF VIRGINIA, MN",21316,FT,2003-10-31 00:00:00,4000
"CITY OF VIRGINIA, MN",103070,FT,2007-10-31 00:00:00,1000
CITY OF WAHOO,105905,FT,2003-10-31 00:00:00,2500
CITY OF WHITTEMORE,21330,FT,2003-10-31 00:00:00,475
CLAYTON ENERGY CORPORATION,105507,IT,2000-05-30 00:00:00,999999999
CMS CONTINENTAL NATURAL GAS INC.,22224,IT,1994-04-06 00:00:00,40000
CMS CONTINENTAL NATURAL GAS INC.,22952,IT,1993-11-30 00:00:00,0
CMS CONTINENTAL NATURAL GAS INC.,22952,IT,1993-11-30 00:00:00,999999999
CMS CONTINENTAL NATURAL GAS INC.,59991,IT,1991-12-18 00:00:00,75000
CMS CONTINENTAL NATURAL GAS INC.,104913,IT,1999-11-16 00:00:00,999999999
CMS CONTINENTAL NATURAL GAS INC.,105476,FT,2003-10-31 00:00:00,50000
"CMS MARKETING, SERVICES, AND TRADING COM",105792,FT,2003-10-31 00:00:00,50000
"CMS MARKETING, SERVICES, AND TRADING COM",106837,IT,2001-07-31 00:00:00,999999999
"CMS MARKETING, SERVICES, AND TRADING COM",106838,IT,2001-07-31 00:00:00,999999999
"CMS MARKETING, SERVICES, AND TRADING COM",107180,IT,2001-10-31 00:00:00,100000
"CMS MARKETING, SERVICES, AND TRADING COM",108208,ID,2002-08-08 00:00:00,20000
"CMS MARKETING, SERVICES, AND TRADING COM",108377,FT,2001-10-31 00:00:00,5000
COAST ENERGY GROUP INC,6298,IT,1992-08-06 00:00:00,0
COAST ENERGY GROUP INC,6298,IT,1992-08-06 00:00:00,50000
COAST ENERGY GROUP INC,106350,IT,2001-02-22 00:00:00,999999999
COKINOS NATURAL GAS COMPANY,100193,IT,1996-05-31 00:00:00,20000
"CONOCO, INC.",22290,IT,1994-02-28 00:00:00,0
"CONOCO, INC.",22290,IT,1994-02-28 00:00:00,999999999
"CONOCO, INC.",104424,FT,2003-06-30 00:00:00,6000
