,Forecasted Cash Transactions in 2001 ,,,,,,,
,,,,,,Pre/Post,Commercial,
,Name,Date,,Check/Wire,Amount,Bankruptcy,Contact,Transaction details (e.g. bank information)
,,,,,Money out (in),,,
,2018-07-07 00:00:00,,,,,,,
,,,,,,,,
,5 Day Forecast,,,,,,,
,,,,,,,,
10.0,"Hymet, Inc.",2001-12-21 00:00:00,Ipayit,Pay by check,3120,Post Petition,Steve Thome,Data feed for fundamentals
11.0,Open Access Technology International,2001-12-21 00:00:00,Ipayit,Pay by check,600,Post Petition,Steve Thome,Power tagging service
14.0,Parking Management,2001-12-27 00:00:00,Ipayit,Wire,2385,Post Petition,Steve Thome,Employee parking 
31.0,Comsys,2002-01-11 00:00:00,Ipayit,Pay by check,1858.5,Post Petition,Steve Thome,Contractor Payment
32.0,United Parcel Service,2002-01-11 00:00:00,Ipayit,Pay by check,45.61,Post Petition,Steve Thome,Office parcels and mail services
33.0,Coca Cola USA,2002-01-11 00:00:00,Ipayit,Pay by check,35,Post Petition,Steve Thome,Office drinks
40.0,Tek Systems,2002-01-14 00:00:00,Ipayit,Wire,10200,Post Petition,Steve Thome,Contractor Payment
41.0,WeatherBank,2002-01-15 00:00:00,Ipayit,Pay by check,175,Post Petition,Steve Thome,Essential Data Feed
45.0,PGE Transmission,2002-01-18 00:00:00,,Wire,94768.6,Post Petition,Steve Thome,Transmission tariff necessary for ongoing deliveries
46.0,Pacificorp - NWPP,2002-01-18 00:00:00,Ipayit,Pay by check,2647.39,Post Petition,Steve Thome,Dues fo NWPP
47.0,United Parcel Service,2002-01-18 00:00:00,Ipayit,Pay by check,90.77,Post Petition,Steve Thome,Office parcels and mail services
48.0,ATT Broadband,2002-01-18 00:00:00,Ipayit,Pay by check,190.43,Post Petition,Steve Thome,Cable service
49.0,Qwest,2002-01-18 00:00:00,Ipayit,Pay by check,70.31,Post Petition,Steve Thome,Bloomberg circuit
50.0,US Bancorp,2002-01-18 00:00:00,Ipayit,Pay by check,2467.84,Post Petition,Steve Thome,Office printer leases
51.0,Sierra Springs,2002-01-18 00:00:00,Ipayit,Pay by check,29.95,Post Petition,Steve Thome,Drinking water
52.0,Snohomish PUD,2002-01-21 00:00:00,,Wire,8864,Post Petition,Steve Thome,Transmission tariff necessary for ongoing deliveries
53.0,Avista,2002-01-17 00:00:00,,Wire,"[1,500,000]",Post Petition,Steve Thome,Power pre-pay
54.0,AEP,2002-01-18 00:00:00,,Wire,848400,Post Petition,Steve Thome,Power pre-pay
55.0,PNM,2002-01-18 00:00:00,,Wire,97200,Post Petition,Steve Thome,Power pre-pay
,,,,,,,,
,,,,,,,,
,Parking Management #14 account is being reviewed for possible double payment in December,,,,,,,
,"OATI #11, Coca Cola #33, and USBancorp #50 are being reviewed for pre-petition amounts.  Vendors requested to send post-petition only invoice.",,,,,,,
